k,kmeans_silhouette
2,0.309920380924315
3,0.3093632975404348
4,0.2659291899560387
5,0.2920887505218257
6,0.2985877145419935
7,0.3211454722334825
8,0.3097916528686714
9,0.3094979014043267
10,0.3065839559789752
11,0.3064863871604978
12,0.3027607346373024
