point_id,lat,lon,population,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
RJP_0001,26.875,75.875,2742833.876691699,2,0.9999999999991438,3,0.8272520491132644,50,8.57130065305127e-13,2.1008856897373055e-20,0.9999999999991438
RJP_0002,26.875,75.625,1321002.166765213,2,0.9999999999999503,3,0.8272520491132644,50,4.8958372793567265e-14,5.109992140293438e-20,0.9999999999999503
RJP_0003,25.125,75.875,1184473.7975344956,0,1.0,3,0.8272520491132644,50,1.0,4.875903547772095e-31,1.8199790343247158e-23
RJP_0004,26.375,73.125,765090.6806398034,1,1.0,3,0.8272520491132644,50,1.631446547136238e-46,1.0,4.583689607417325e-33
RJP_0005,26.375,74.625,703935.1239979863,1,0.9827201464498296,3,0.8272520491132644,50,4.628621774196428e-11,0.9827201464498296,0.017279853503886576
RJP_0006,24.625,73.625,701123.3191981912,0,1.0,3,0.8272520491132644,50,1.0,2.8525745110168605e-61,2.113044360819737e-43
RJP_0007,27.625,76.625,670955.2634944618,2,1.0,3,0.8272520491132644,50,1.422898172285726e-34,4.511355689301924e-31,1.0
RJP_0008,28.125,73.375,657708.8739934117,1,1.0,3,0.8272520491132644,50,2.78925589903023e-98,1.0,1.5718467720238835e-61
RJP_0009,25.375,74.625,556660.7704209685,0,0.9999999999950369,3,0.8272520491132644,50,0.9999999999950369,4.3936923915457555e-23,4.962785997263187e-12
RJP_0010,26.875,76.625,491123.77503216267,2,0.999999999999865,3,0.8272520491132644,50,1.3332022408506129e-13,5.177987983721907e-26,0.999999999999865
RJP_0011,27.125,77.375,474688.5578681231,2,1.0,3,0.8272520491132644,50,2.206531302271235e-40,2.631178338894288e-35,1.0
RJP_0012,27.625,75.125,473220.9202796221,2,0.9999935869162798,3,0.8272520491132644,50,5.797827906544776e-25,6.413083720808e-06,0.9999935869162798
RJP_0013,27.625,76.125,463242.7318748832,2,1.0,3,0.8272520491132644,50,1.6867939467894854e-32,2.2731377233093712e-26,1.0
RJP_0014,27.125,75.875,461256.095228076,2,1.0,3,0.8272520491132644,50,6.345828085171496e-20,1.5300380464960704e-18,1.0
RJP_0015,27.125,76.625,455782.20474520326,2,1.0,3,0.8272520491132644,50,1.2189013918857766e-28,6.7143747544913175e-31,1.0
RJP_0016,23.625,74.125,455467.8696575165,0,1.0,3,0.8272520491132644,50,1.0,4.489466259516895e-92,4.10963959328912e-83
RJP_0017,23.375,74.375,446141.2500662804,0,1.0,3,0.8272520491132644,50,1.0,1.8357148807995063e-94,1.76661962269765e-89
RJP_0018,27.125,75.625,442390.8795146942,2,1.0,3,0.8272520491132644,50,6.070349818092662e-21,9.995563160308486e-17,1.0
RJP_0019,26.875,76.375,438017.5918968916,2,0.9999999999997158,3,0.8272520491132644,50,2.84809710285005e-13,3.0711286392361746e-25,0.9999999999997158
RJP_0020,26.125,74.375,435141.01568478346,1,0.9998993076641783,3,0.8272520491132644,50,4.035552235622276e-10,0.9998993076641783,0.00010069193226849114
RJP_0021,28.125,76.875,422225.856395781,2,1.0,3,0.8272520491132644,50,3.1270167382150663e-50,2.659939936869326e-32,1.0
RJP_0022,27.875,76.375,421737.7472658157,2,1.0,3,0.8272520491132644,50,4.22959888482321e-39,1.928294492675355e-28,1.0
RJP_0023,27.625,77.125,409875.52309674025,2,1.0,3,0.8272520491132644,50,8.146089289940746e-43,1.4063565280990688e-35,1.0
RJP_0024,26.625,74.875,398900.5337185264,2,0.9707697385593237,3,0.8272520491132644,50,3.0804335677695635e-13,0.02923026144036898,0.9707697385593237
RJP_0025,27.375,75.875,388324.2154954672,2,1.0,3,0.8272520491132644,50,3.0422678434010888e-21,9.254502334751384e-19,1.0
RJP_0026,27.375,77.125,386566.85621380806,2,1.0,3,0.8272520491132644,50,2.913516364991421e-41,1.1650656837317543e-34,1.0
RJP_0027,26.875,77.875,383851.6025726795,2,1.0,3,0.8272520491132644,50,1.032935720455283e-20,1.0916064645362122e-31,1.0
RJP_0028,23.625,74.375,382106.88644075394,0,1.0,3,0.8272520491132644,50,1.0,2.2301463658787892e-92,6.085302517581992e-85
RJP_0029,27.125,77.125,377731.64031112194,2,1.0,3,0.8272520491132644,50,9.179592058896629e-39,2.2635898969634093e-33,1.0
RJP_0030,26.125,73.125,376786.1268905252,1,1.0,3,0.8272520491132644,50,1.0418724015317735e-41,1.0,1.1528343254606481e-33
RJP_0031,27.875,76.625,374308.9735670686,2,1.0,3,0.8272520491132644,50,2.1874126308453575e-39,1.4321097298601209e-30,1.0
RJP_0032,26.625,76.875,372735.6868137717,2,0.9999999999999929,3,0.8272520491132644,50,5.838840748199192e-15,8.44360745406204e-28,0.9999999999999929
RJP_0033,29.875,73.875,366981.5729411245,2,1.0,3,0.8272520491132644,50,1.1406373819950425e-80,4.976845052834771e-19,1.0
RJP_0034,29.625,74.375,364302.2188515067,2,1.0,3,0.8272520491132644,50,1.2119224077484353e-77,4.9643999851825623e-26,1.0
RJP_0035,23.625,73.875,362251.59481680393,0,1.0,3,0.8272520491132644,50,1.0,5.5004820417178495e-59,1.2032930682632934e-55
RJP_0036,27.375,76.875,359881.0615261793,2,1.0,3,0.8272520491132644,50,2.0170826027599564e-33,1.0154755459179736e-31,1.0
RJP_0037,26.875,77.125,356995.65363645554,2,1.0,3,0.8272520491132644,50,8.272885746821886e-19,6.60654736811627e-29,1.0
RJP_0038,26.375,72.875,356387.3596659601,1,1.0,3,0.8272520491132644,50,3.8527980451523555e-84,1.0,4.098795560781976e-53
RJP_0039,27.125,76.875,351152.97289443016,2,1.0,3,0.8272520491132644,50,5.610901149579788e-31,8.691862243241063e-30,1.0
RJP_0040,26.625,77.125,350523.20013064146,2,1.0,3,0.8272520491132644,50,1.6557098556981796e-16,8.229715854071099e-29,1.0
RJP_0041,24.875,74.625,348176.0788972974,0,1.0,3,0.8272520491132644,50,1.0,1.7205893354530108e-45,4.638674786762406e-23
RJP_0042,23.875,74.125,342884.25374019146,0,1.0,3,0.8272520491132644,50,1.0,2.2058867214100068e-90,1.6540871138863572e-81
RJP_0043,25.125,73.875,332687.63337373734,0,0.9999997998187085,3,0.8272520491132644,50,0.9999997998187085,2.0427386229599326e-19,2.001812891607944e-07
