draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated
0,0,savE® OM46,True,1.0222212141657785,0.9609062236451126,0.47361111602385986,0.9006856593185676,-0.05339630814351559,0.6942102649246555,assam,0,savE® OM46,20.584210264924657,633.8693709596729,0.6597760481639785,,317.5400411007331,3.128154863225652e-09,700.5305017404098,66.8921553884534,10.612952106580959,10.620757003172503,2.2689336011230663e-12,0.7547113574605886,66.86601878893401,66.35282371713954,16,0.0,123,8760
1,0,savE® OM46,True,1.043629018627816,0.95771372661531,-0.4282577796353775,0.8488852016549504,0.09147691641123246,1.2555615562432352,assam,0,savE® OM46,21.145561556243237,571.4222838277664,0.6446326795351632,,305.41139406915073,2.9885226394161707e-09,651.0651653570586,79.79391844842583,12.370730772300188,12.377807989675585,3.824731741843383e-12,0.7547113574605886,70.32556164965278,70.31124767922213,2852,0.0,172,8760
2,0,savE® OM46,True,1.0676899051490787,1.0663687634147874,-1.0693155836678916,1.0235459196580403,0.03027434062541212,-0.9180986562317512,assam,0,savE® OM46,18.97190134376825,697.7653756225534,0.6013632349337448,,450.7302573793218,3.1235029434231067e-09,773.2495328947,75.7718730177941,13.478605249295404,13.486924282956219,4.0597217646144536e-12,0.7547113574605886,72.89857129373486,72.88518042451905,4158,0.0,177,8760
3,0,savE® OM46,True,1.0655005907771562,1.0450406883485188,-1.11479640261427,0.8044699192860442,-0.44270998708789,-0.2516338702320442,assam,0,savE® OM46,19.638366129767956,641.2260372934936,0.7104073203219186,,250.76343225930327,3.0174540978676452e-09,723.0441616712133,82.03916381671435,11.769508135519796,11.777221630104405,4.927822391472247e-12,0.7547113574605886,68.18658716356978,68.14232658345341,1260,0.0,139,8760
4,0,savE® OM46,True,0.9769090719998109,0.9905299962258551,-0.6385869428626153,1.1480956997962768,0.1575111718730886,0.17688261751477619,assam,0,savE® OM46,20.06688261751478,672.0618842769204,0.5430340279110575,,555.1727245450243,3.1856321931943332e-09,738.3257265566479,66.55832755961086,11.27398620394556,11.282367427357576,4.7361289212162175e-12,0.7547113574605886,69.20891779041847,69.1886437623377,1594,0.0,143,8760
5,0,savE® OM46,True,0.9877349385101666,0.9982554113126831,-0.749338464801133,1.138321348175081,-0.278481345222495,0.7575615499377824,assam,0,savE® OM46,20.647561549937784,689.4233325991622,0.5752817561177538,,499.6867566911935,3.192025473351021e-09,752.3135386027296,63.21918983217761,9.961222482852822,9.969916945696477,8.803162469569715e-14,0.7547113574605886,64.95199674131857,64.66286501876091,0,0.0,97,8760
6,0,savE® OM46,True,1.0743020952190019,0.9735300458586368,0.13350935848467893,1.1574017309183984,0.3570843620338656,1.94830206494842,assam,0,savE® OM46,21.838302064948422,647.917338292719,0.5562384316258353,,504.8865442325352,3.1525214698927357e-09,716.0421442455182,68.3408362967867,12.334110478318042,12.341778711435824,3.736632400881128e-12,0.7547113574605886,69.83823722245108,69.80105798659869,1853,0.0,154,8760
7,0,savE® OM46,True,1.0113767885477696,1.0321868706250104,1.393306554393563,0.8210721703089998,0.45975376746815644,0.7172781893808278,assam,0,savE® OM46,20.60727818938083,636.7844097130785,0.7131581958861941,,243.82241479862233,3.041161475257139e-09,718.1308966472039,81.43012332686776,14.768394064661743,14.774859324579435,5.865311719343644e-12,0.7547113574605886,75.45202692554514,75.43240513497511,6834,0.0,229,8760
8,0,savE® OM46,True,1.0260619642599542,0.9777254755303512,0.640937350635387,0.9918695284880414,-0.48042391363154346,1.907317138732735,assam,0,savE® OM46,21.797317138732737,650.9558067861755,0.6461445866979685,,345.62741561669714,3.1401204965146892e-09,717.9530009103852,67.20333530529842,11.029686656953219,11.037265248071305,5.018113490978557e-12,0.7547113574605886,68.43712728364156,68.12730806192157,38,0.0,121,8760
9,0,savE® OM46,True,1.0169314744894913,1.0389873556369937,-1.1139175795665581,0.986213473595776,0.32884547494614047,-1.674592250275611,assam,0,savE® OM46,18.21540774972439,685.3933821863537,0.5977931995986024,,450.91529611695427,3.1417374739866582e-09,758.0747021301481,72.99531223749145,12.403184856319687,12.411743290176307,4.490438054376889e-12,0.7547113574605886,71.31795393539336,71.281336089984,3309,0.0,159,8760
