case_id,state,regime_id,pcm_id,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,cluster_id_x,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt,is_no_pcm,cluster_id_y,GHI_daily_kWh,Ta_mean,DTR,RH_mean,wind_mean,monsoon_index,Tm_target_C,L_required_kJ_per_kg,T_mains_est_C,name,Tm_C,latent_heat_kJ_kg,TC_W_mK,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,supercooling_K,rho_H_MJ_m3,any_property_imputed,split
c0_baseline_noPCM,assam,0,NONE_plain_tank,baseline,0,0.08,8,0.030000000000000002,sim_v1_assam,0.9912779331207275,True,,0.04,0.04289321169701264,0.9571067883029873,1.3858140714189671e-05,6.929070357094836e-10,46.70409175705556,1.1900646595720985,True,0.0,,19.89,680.9192438591011,0.6251220495571477,1841.0,399.5086595122355,2.4578567401673506e-09,745.8930363774859,65.26369899973587,0.0,0.0,3.0721126796237727e-12,0.0,66.83513286602312,66.83513286602312,0.0,0.0,0.0,8760.0,0.0,0.0,0.0,1,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
c0_savE__OM48_lhs_000,assam,0,savE® OM48,lhs,20260976,0.030923667670120083,12,0.02935528884940851,sim_v1_assam,9.059906005859375e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_001,assam,0,savE® OM48,lhs,20260976,0.043861157718435656,8,0.015488870018859348,sim_v1_assam,1.7238459587097168,True,,0.021930578859217828,0.007069014575824502,0.9929309854241755,5.443699105261066e-07,1.4052791310528264e-11,13.220367112686013,4.107229948207374,True,0.0,savE® OM48,19.89,685.5741237473129,0.6276276296156258,1834.0,396.83845463814066,4.9944596205924146e-11,749.7922503361021,64.51754825308947,3.0724990243989816,3.076327390060267,2.5438361518907555e-12,0.3393126996395761,66.69628421929406,66.36281101881816,8.0,0.0,59.0,8760.0,0.07253356977700766,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,holdout
c0_savE__OM48_lhs_002,assam,0,savE® OM48,lhs,20260976,0.03673969343109834,10,0.03646925642018135,sim_v1_assam,9.298324584960938e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_003,assam,0,savE® OM48,lhs,20260976,0.07242188999524789,18,0.03974979047422037,sim_v1_assam,1.44706392288208,True,,0.036210944997623944,0.07159961488065877,0.9284003851193412,9.188344994376234e-05,6.087246472188448e-09,56.0206814473773,0.6260416407241625,True,0.0,savE® OM48,19.89,676.8217366425697,0.6203245627273566,1896.0,404.62135693851326,2.152010718098962e-08,741.9486276130324,65.44110017537083,26.49153251490908,26.530234583352307,1.160398372672794e-12,3.4367815142716216,66.80243980844955,62.04646855513305,0.0,0.0,32.0,8760.0,0.05558965186669999,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_004,assam,0,savE® OM48,lhs,20260976,0.07997483439527527,21,0.012545361137921797,sim_v1_assam,1.4704561233520508,True,,0.03998741719763763,0.11248845738026717,0.8875115426197329,2.207678130974733e-05,4.6160199048950415e-10,19.52451283056619,0.42065701849429377,False,0.0,savE® OM48,19.89,672.5423229333857,0.6164011866171333,1930.0,408.80251170823493,1.6274419288567382e-09,738.1161744027291,65.90051631414501,38.85417344530369,38.91507179965212,1.148478427746384e-12,5.399445954252824,67.59620103821797,60.80068405722142,0.0,0.0,21.0,8760.0,0.04905234130028008,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_005,assam,0,savE® OM48,lhs,20260976,0.059974683040645516,14,0.04275178760643604,sim_v1_assam,1.4515199661254883,True,,0.029987341520322758,0.03162718493098302,0.968372815069017,1.981866769649422e-05,1.4121391200050932e-09,49.896022798410236,1.2242179794730308,True,0.0,savE® OM48,19.89,680.4946651549268,0.6233260156141549,1861.0,401.42269876729404,5.003895358698239e-09,745.2986646271029,65.10510347640465,12.68916226200204,12.706219996759167,4.389693527728259e-12,1.5181048766871852,66.2414030792947,63.63642820688086,0.0,0.0,46.0,8760.0,0.06423039711017471,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_006,assam,0,savE® OM48,lhs,20260976,0.0473931785135804,23,0.02248709996594467,sim_v1_assam,1.798949956893921,True,,0.0236965892567902,0.025639170084438424,0.9743608299155616,4.635184202385426e-06,1.737197508660143e-10,20.739246626887418,1.2007163673589727,True,0.0,savE® OM48,19.89,684.441627395105,0.6269038939489057,1844.0,397.60974210839856,6.169343291351555e-10,748.6973333344979,64.56178248278536,10.929639631310309,10.94354904968942,3.83902586247273e-12,1.2306801640530445,66.31062707209928,65.90572031789642,5.0,0.0,54.0,8760.0,0.07002203459799235,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_007,assam,0,savE® OM48,lhs,20260976,0.0605350645739782,13,0.019939663917504333,sim_v1_assam,1.449031114578247,True,,0.0302675322869891,0.030199030472748384,0.9698009695272516,4.313663290240021e-06,1.4335499376776995e-10,23.489216629482893,1.29600108337288,True,0.0,savE® OM48,19.89,680.5088235718299,0.6233255345524263,1857.0,401.4232114363536,5.079863845823141e-10,745.3227349691379,65.11444298810417,11.966268339292272,11.982550927371664,2.1148042900622516e-12,1.4495534626919224,66.30749683034921,63.08245630019104,0.0,0.0,46.0,8760.0,0.06305420388156797,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_008,assam,0,savE® OM48,lhs,20260976,0.054246324946642166,16,0.025019300043702952,sim_v1_assam,1.5022609233856201,True,,0.027123162473321083,0.02674604457547878,0.9732539554245212,5.857559234047379e-06,2.4425338666732376e-10,26.411262747715668,1.315969050366101,True,0.0,savE® OM48,19.89,680.9724636787586,0.6237068739823753,1856.0,401.01681675697034,8.657730910824776e-10,745.734323380557,65.06137173941964,11.026993587717183,11.041417121739382,5.3284968392131324e-14,1.2838101396229815,66.33006257748437,65.33386470462295,2.0,0.0,51.0,8760.0,0.0670263724797538,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_009,assam,0,savE® OM48,lhs,20260976,0.06610863668907978,16,0.046713194601540914,sim_v1_assam,1.559185266494751,True,,0.03305431834453989,0.048408675923709496,0.9515913240762905,3.8528253528401175e-05,2.999629674549516e-09,60.09543164663308,0.86635166003413,True,0.0,savE® OM48,19.89,679.0194180858883,0.6221518317086867,1879.0,402.6740304008037,1.0618980678571184e-08,743.9433657981397,65.23066243319728,18.69626691671401,18.722401381201298,2.4926181368067297e-13,2.3236164443380556,66.41840563577543,62.66515090622159,0.0,0.0,40.0,8760.0,0.06011837738933308,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_010,assam,0,savE® OM48,lhs,20260976,0.02137996537054907,22,0.03157651186292276,sim_v1_assam,9.059906005859375e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_lhs_011,assam,0,savE® OM48,lhs,20260976,0.025732219517318446,20,0.0456279658834637,sim_v1_assam,1.9073486328125e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,holdout
c0_savE__OM48_bnd_dmin_fmin,assam,0,savE® OM48,boundary,0,0.02,16,0.01,sim_v1_assam,1.1920928955078125e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_bnd_dmin_fmax,assam,0,savE® OM48,boundary,0,0.02,16,0.05,sim_v1_assam,1.430511474609375e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_bnd_dmax_fmin,assam,0,savE® OM48,boundary,0,0.08,16,0.01,sim_v1_assam,1.671522617340088,True,,0.04,0.08578642339402529,0.9142135766059747,9.646162092929935e-06,1.6076936821549893e-10,15.568030585685188,0.5683656631193826,True,0.0,savE® OM48,19.89,674.8915156295486,0.618502466792601,1911.0,406.5631705435464,5.675582950505259e-10,740.2576680584006,65.68415041610061,29.653986499652248,29.70033567511631,4.491158652263816e-12,4.117748322913214,67.2708311954634,61.2869234112827,0.0,0.0,23.0,8760.0,0.0492247082411664,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,holdout
c0_savE__OM48_bnd_dmax_fmax,assam,0,savE® OM48,boundary,0,0.08,16,0.05,sim_v1_assam,1.5924911499023438,True,,0.04,0.08578642339402529,0.9142135766059747,0.00017926413952761594,1.4938678293967998e-08,77.84015292842594,0.5683656631193826,True,0.0,savE® OM48,19.89,675.2019498618306,0.6188313795475182,1910.0,406.2126471434418,5.275345261535713e-08,740.5080423709124,65.62444728461784,30.42829354023176,30.474671519968467,6.797064753342952e-12,4.117748322913214,67.1602547347557,61.51825471877118,0.0,0.0,27.0,8760.0,0.05145432928882092,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
c0_savE__OM48_bnd_nmin,assam,0,savE® OM48,boundary,0,0.05,8,0.030000000000000002,sim_v1_assam,1.42745041847229,True,,0.025,0.010471975511965978,0.989528024488034,2.988850618139812e-06,1.4944253090699062e-10,29.19005734815973,3.149765528504569,True,0.0,savE® OM48,19.89,682.1140629458058,0.624503395383084,1839.0,400.16796129162753,5.300602035830632e-10,746.8182366049797,64.99789357530456,4.4458301186136255,4.451469899898986,2.749060982937302e-12,0.5026548245743669,66.67737889813746,66.21340512092614,6.0,0.0,57.0,8760.0,0.07023224478339667,0.0,1.0,0,0,3.950975800067895,25.889316524950583,6.339496119446357,75.83645867315907,1.6578687779103154,0.6571821353508098,44.0,252.0866420531137,19.89,savE® OM48,51.0,165.0,0.15,875.0,960.0,2.35,2.02,3.0,158.4,1.0,train
