regime_id,regime_name,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,feasibility_proba,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.07433147688032578,10,0.021238141387703583,True,0.03716573844016289,0.04300776791364926,0.9569922320863508,7.252919424033672e-06,2.5673088033541465e-10,30.720830962020916,1.0,678.6735212971303,0.6222277121389166,402.5495605645365,2.7301906195674883e-09,2.0273480819908296
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.07888241962282612,22,0.037537224116945475,True,0.03944120981141306,0.11308160647230518,0.8869183935276949,0.00015577071671050494,9.745333840032414e-09,57.62169987697602,1.0,672.537103297351,0.6160237670127142,408.85715053986104,2.959844067072487e-08,5.123109157202114
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.06670922255286811,17,0.03378695114024857,True,0.033354611276434055,0.05284880568362586,0.9471511943163742,2.3020930423266986e-05,1.2963450856899725e-09,43.861004360128014,1.0,678.3983488959116,0.621936615680363,402.9483582206534,2.937055440235816e-09,2.5231939093802356
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.04841106775330044,19,0.046286544149069915,True,0.02420553387665022,0.02257439934557462,0.9774256006544254,1.615476409975433e-05,1.246247002868481e-09,43.60568441368582,1.0,682.7666340390725,0.6250560091609937,399.4044703587831,2.9708192287819273e-09,1.0926901332045886
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.07414359987939687,19,0.0311066311569669,True,0.03707179993969843,0.08109670784159184,0.9189032921584082,6.835176390128855e-05,3.5436551810091134e-09,44.88180734725959,1.0,673.3421854951082,0.6192971309020212,405.92235362354154,5.3543795018326605e-09,3.859484612505372
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.04310669368350446,8,0.016749551440006782,True,0.02155334684175223,0.006710467003435145,0.9932895329965649,6.014967624146075e-07,1.679133493843501e-11,14.050493666509587,0.9966666666666667,683.7095668488477,0.6269793300731941,397.95703394642686,2.724094239159069e-09,0.5061084242597551
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.046212518287044334,9,0.024008101198466955,True,0.023106259143522167,0.009301436675683594,0.9906985633243164,1.7122345053917415e-06,6.851249880158658e-11,21.590422330524063,1.0,683.1724491200862,0.6255456297337468,398.5727299000212,2.724094239159069e-09,0.5122382103242878
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.05299507789511068,23,0.044981360068837614,True,0.02649753894755534,0.03584784544755986,0.9641521545524402,2.563999380480947e-05,1.9222029891615008e-09,46.388657783295464,1.0,680.45156294874,0.6234411530598725,401.1825141272316,3.1698296279132944e-09,1.675419658074695
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.06046654458079577,18,0.02666034149470401,True,0.030233272290397885,0.04167221417441414,0.9583277858255859,1.1065080906321683e-05,4.916647260484417e-10,31.37072447011059,1.0,679.7795997209182,0.6228665702118077,401.809787133652,2.724094239159069e-09,1.9855786109726914
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.0737918198814146,19,0.027377027455901856,True,0.0368959099407073,0.07994786722955116,0.9200521327704488,5.2883440902531154e-05,2.4129856892519313e-09,39.31318244820271,1.0,673.7946233597247,0.6194566709750047,406.0062332412637,4.332953911731523e-09,3.7886883830089877
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.04635259116757049,8,0.01157806802413695,True,0.023176295583785245,0.008343353704228134,0.9916566462957719,3.6693387400074337e-07,7.080642255901173e-12,10.443685925857546,1.0,683.1553694417584,0.6254985129829848,398.55967492851073,2.724094239159069e-09,0.502575323837879
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.06930564227643303,18,0.03478659309742873,True,0.034652821138216515,0.06274901327223575,0.9372509867277643,6.0323882149032273e-05,3.4974372372927172e-09,46.91634584288236,1.0,677.0687610199478,0.620556284649512,404.13061182804176,4.8206140410998625e-09,2.945069962456581
