regime_id,regime_name,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,feasibility_proba,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,best_regime_useful_energy_kWh,useful_energy_fraction_of_best
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.041500311470370164,23,0.028129898592879413,True,0.020750155735185082,0.01721513856246688,0.9827848614375331,4.608629688105168e-06,2.1606714296421976e-10,22.717639938085902,0.9966666666666667,683.9928095594017,0.6271610505422796,397.71162854016063,2.724094239159069e-09,0.8037913582708714,684.8876536919299,0.9986934439134587
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM48,0.04150501380544547,23,0.014158064389262842,True,0.020752506902722734,0.01722099108644827,0.9827790089135517,1.2381976857400038e-06,2.921747093557202e-11,11.435315069767931,0.9966666666666667,683.9764063882452,0.6271167573724762,397.71461255924544,2.724094239159069e-09,0.8065423042654887,684.8876536919299,0.9986694937501464
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM50,0.04037015643922093,23,0.030088482468751315,True,0.020185078219610464,0.01584666040493452,0.9841533395950655,4.80843518970095e-06,2.4113086317907324e-10,23.637655883383157,0.9966666666666667,682.5154101342557,0.6269246239884839,399.2700368379737,2.724094239159069e-09,0.7515096931601389,684.8876536919299,0.9965363026404601
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM50,0.04033484142749476,24,0.02912705923730413,True,0.02016742071374738,0.01649228842609974,0.9835077115739003,4.718583919731137e-06,2.2906412224366592e-10,22.862340157730667,0.9966666666666667,682.5100940165764,0.6268456727559142,399.278447369073,2.724094239159069e-09,0.7880260002099936,684.8876536919299,0.9965285406116797
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM46,0.0403088642885048,24,0.046251407473841356,True,0.0201544321442524,0.01646044400132145,0.9835395559986786,1.1617680010586303e-05,8.955567534505479e-10,36.280160896230505,0.9966666666666667,684.8876536919299,0.6273441682650437,396.8761122716229,2.8936275824952946e-09,0.7574682251084434,684.8876536919299,1.0
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",savE® OM46,0.04021003104140071,21,0.04469910589222297,True,0.020105015520700355,0.014297204785410331,0.9857027952145897,9.32985778485131e-06,6.950605018074158e-10,34.976547110410024,0.9966666666666667,684.794633633026,0.6273449909189157,396.8765328708768,2.847115725621916e-09,0.6661813066459412,684.8876536919299,0.9998641820181712
0,"Lower Brahmaputra Valley, moist valley regime, medoid ASP_0012 (33 pts)",NONE_plain_tank,0.04217508760352589,21,0.04164162202410463,True,0.021087543801762944,0.016497414747394187,0.9835025852526058,9.43307037748776e-06,6.546805853102056e-10,34.176479190426605,0.9966666666666667,684.3775218094454,0.6271494243987633,397.3735962058247,2.7745339997231877e-09,0.6720914890866283,684.8876536919299,0.9992551597627222
1,"Upper Assam Tea Belt, warm valley regime, medoid ASP_0092 (61 pts)",savE® OM48,0.042994815600206834,18,0.032315620493959064,True,0.021497407800103417,0.01498129635010703,0.985018703649893,5.158732781179497e-06,2.7784608464390434e-10,27.03785776489011,1.0,709.2529031143935,0.6275516928732582,409.1865166863755,2.724094239159069e-09,0.6775705606215248,709.4913963737132,0.9996638532045086
1,"Upper Assam Tea Belt, warm valley regime, medoid ASP_0092 (61 pts)",savE® OM48,0.04023894311551962,21,0.02914209959197088,True,0.02011947155775981,0.014328067168978791,0.9856719328310212,4.04654578543197e-06,1.9654140047088087e-10,22.819761052354465,1.0,709.4913963737132,0.6272709586437435,409.33195731835696,2.724094239159069e-09,0.6556013451042101,709.4913963737132,1.0
1,"Upper Assam Tea Belt, warm valley regime, medoid ASP_0092 (61 pts)",savE® OM50,0.04211119257379578,19,0.02068815401870601,True,0.02105559628689789,0.014858495630898296,0.9851415043691018,2.1543931616517352e-06,7.428402924183015e-11,16.95364053302702,1.0,709.3989258483736,0.6274702130041283,409.25007880625526,2.724094239159069e-09,0.6902385138625334,709.4913963737132,0.9998696664599285
1,"Upper Assam Tea Belt, warm valley regime, medoid ASP_0092 (61 pts)",savE® OM50,0.041371449903373964,19,0.02399054867861731,True,0.020685724951686982,0.0140891386580744,0.9859108613419256,2.7117644615622822e-06,1.0842786220009066e-10,19.314550759793953,1.0,709.4227437537448,0.6275381385184837,409.33227919128365,2.724094239159069e-09,0.6702257993186341,709.4913963737132,0.9999032368534428
1,"Upper Assam Tea Belt, warm valley regime, medoid ASP_0092 (61 pts)",savE® OM46,0.04082754726945885,21,0.032439577141990625,True,0.020413773634729425,0.014966070393270149,0.9850339296067299,5.222178796450878e-06,2.8234211986122666e-10,25.77342669965445,1.0,709.4133089012092,0.6274575367863665,409.2049883862538,2.724094239159069e-09,0.6885211173732974,709.4913963737132,0.9998899388027774
1,"Upper Assam Tea Belt, warm valley regime, medoid ASP_0092 (61 pts)",savE® OM46,0.042165233342359616,18,0.03062838518368878,True,0.021082616671179808,0.014130731593098213,0.9858692684069018,4.3682201262567165e-06,2.2298588099022062e-10,25.13172491395533,1.0,709.3277615444898,0.6278182189684263,409.21956186752556,2.724094239159069e-09,0.6610848780188431,709.4913963737132,0.9997693631944521
1,"Upper Assam Tea Belt, warm valley regime, medoid ASP_0092 (61 pts)",NONE_plain_tank,0.04212695854141699,19,0.022171117134901983,True,0.021063479270708493,0.014875190452023207,0.9851248095479768,2.46571247487858e-06,9.111266683587009e-11,18.17570942055818,1.0,709.4386782123356,0.6277188048816923,409.25301028674403,2.724094239159069e-09,0.6106425165457005,709.4913963737132,0.9999256958412082
2,"Barak Valley & Southern Hills, elevated cooler hill regime, medoid ASP_0028 (35 pts)",savE® OM48,0.040045041578405,21,0.027787008221103617,True,0.0200225207892025,0.014121933415517115,0.9858780665844828,3.632147560168676e-06,1.6821085685778077e-10,21.65380530739706,1.0,656.118934187654,0.5355260798713073,560.0416969235064,2.724094239159069e-09,0.6581076191788313,656.1429393802133,0.99996341469043
2,"Barak Valley & Southern Hills, elevated cooler hill regime, medoid ASP_0028 (35 pts)",savE® OM48,0.04046384369034464,21,0.035874979349796526,True,0.02023192184517232,0.014569656599253735,0.9854303434007463,6.181031198355305e-06,3.695739443357411e-10,28.24896127465385,1.0,656.1307212878933,0.5355135519629238,560.0615032127365,2.724094239159069e-09,0.6841566160734176,656.1429393802133,0.9999813789167166
2,"Barak Valley & Southern Hills, elevated cooler hill regime, medoid ASP_0028 (35 pts)",savE® OM50,0.040141466811142154,20,0.03350181445775307,True,0.020070733405571077,0.013546850176545553,0.9864531498234544,4.9998806052085235e-06,2.791751205776901e-10,26.170092412862076,1.0,655.8858881149655,0.5354930191643912,560.1426691880065,2.724094239159069e-09,0.6608886571479211,656.1429393802133,0.9996082389220089
2,"Barak Valley & Southern Hills, elevated cooler hill regime, medoid ASP_0028 (35 pts)",savE® OM50,0.0407561487592922,20,0.04940290394683482,True,0.0203780743796461,0.014178752767438973,0.985821247232561,1.1243937462248582e-05,9.258052707194739e-10,39.18224409194925,1.0,655.7982834584516,0.5354472899259796,560.1661559654445,3.855944699610707e-09,0.676389524700971,656.1429393802133,0.9994747243305135
2,"Barak Valley & Southern Hills, elevated cooler hill regime, medoid ASP_0028 (35 pts)",savE® OM46,0.04095313750538013,21,0.03623919101932127,True,0.020476568752690064,0.01510460774428581,0.9848953922557142,6.547898108210028e-06,3.9548421719745924e-10,28.88080956919208,1.0,655.4556162321038,0.5350108341232933,560.6501735878275,2.724094239159069e-09,0.709972751004828,656.1429393802133,0.9989524795484979
2,"Barak Valley & Southern Hills, elevated cooler hill regime, medoid ASP_0028 (35 pts)",savE® OM46,0.04149806731297877,19,0.04001935189058667,True,0.020749033656489384,0.014218894482686631,0.9857811055173133,7.43896678261464e-06,4.961710489597344e-10,32.317786754959265,1.0,655.4110378066505,0.5350169021878496,560.6845695152603,2.751425009146437e-09,0.6694121641397285,656.1429393802133,0.9988845394354862
2,"Barak Valley & Southern Hills, elevated cooler hill regime, medoid ASP_0028 (35 pts)",NONE_plain_tank,0.041037184289643806,19,0.029679155629304947,True,0.020518592144821903,0.013750385775562072,0.9862496142244379,3.999761009513822e-06,1.9784921580231097e-10,23.701333698445957,1.0,655.6974438616954,0.5352688749176586,560.4735604135911,2.724094239159069e-09,0.6002978522824639,656.1429393802133,0.9993210389203628
