state,regime_id,pcm_id,n_draws,weather_source,nominal_latent_heat_kJ_kg,demand_nominal_L_day,delivery_target_temp_C,max_water_temp_limit_C,max_pcm_temp_limit_C,p_meets_delivery_temp,p_meets_annual_demand,p_temperature_violation,p_temp_safe,p_exceeds_max_safe_temp,useful_energy_p05_kWh,useful_energy_p50_kWh,useful_energy_p95_kWh,solar_fraction_p05,solar_fraction_p95,pump_energy_p05_kWh,pump_energy_p95_kWh,pcm_mass_p05_kg,pcm_mass_p95_kg,max_water_temp_p95_C,robust_per_framework_rule,robustness_status,caveat_reason
assam,0,savE® OM46,100,medoid + noise,177.0,100.0,45.0,75.0,65.0,1.0,1.0,0.87,0.13,0.87,602.0825862119319,669.0116178841379,753.3924912470599,0.5428709165769081,0.706080943087068,3.0138948816866523e-09,3.284454393280193e-09,0.7547113574605886,0.7547113574605886,75.35716545015167,False,CAVEAT / NOT ROBUST,Failed thresholds: P(temp-safe)=0.13 < 0.95
assam,1,savE® OM48,100,medoid + noise,165.0,100.0,45.0,75.0,65.0,1.0,1.0,0.99,0.010000000000000009,0.99,621.1690463021667,692.9852481488449,765.1907596979327,0.535982573529039,0.6991094720390769,9.29568421039369e-10,9.99514629258978e-10,0.7191022248051357,0.7191022248051357,76.98822806839773,False,CAVEAT / NOT ROBUST,Failed thresholds: P(temp-safe)=0.01 < 0.95
assam,2,savE® OM48,100,medoid + noise,165.0,100.0,45.0,75.0,65.0,0.96,0.74,0.99,0.010000000000000009,0.99,583.936707373203,640.894651532325,715.4861933615241,0.4624143423138174,0.5990322993194659,5.571870156587372e-10,6.077327427612527e-10,0.6778528039448215,0.6778528039448215,77.01365907483968,False,CAVEAT / NOT ROBUST,Failed thresholds: P(demand)=0.74 < 0.75; P(temp-safe)=0.01 < 0.95
