cluster_id,name,top3_inclusion_probability,top1_retention_probability,mean_consensus_rank,std_consensus_rank,n_draws
2,Myristic acid (C14),0.0942,0.0198,12.9236,6.962137821100658,5000
2,PlusICE A62,0.0496,0.011,15.0806,7.005719352072249,5000
2,PlusICE A52,0.036,0.0096,16.4176,7.01116325868969,5000
2,Palmitic acid (C16),0.031,0.0064,16.9102,6.872796807705002,5000
2,PureTemp 63,0.0288,0.0058,16.6594,6.898680427444106,5000
2,RT54HC,0.0264,0.0048,17.2424,6.902524338240312,5000
2,savE® OM55,0.0128,0.0026,19.0356,6.552307428684929,5000
2,Palmitic-stearic acid/Expanded graphite,0.0104,0.001,19.7738,6.428703878699042,5000
2,RT55,0.0082,0.0008,20.127,6.332461685632199,5000
2,RT60,0.006,0.0016,20.8276,6.137481424819121,5000
2,Paraffin/Expanded graphite (92% paraffin),0.0044,0.0004,21.6274,5.995178833029074,5000
2,RT65,0.0036,0.001,23.3866,5.429727473824106,5000
2,Palmitic acid/Expanded graphite (80/20),0.0018,0.0002,23.3684,5.446639463008324,5000
2,Myristic acid/NBR-0.5,0.0016,0.0,23.024,5.512587777078991,5000
2,Myristic acid/NBR-1.0,0.001,0.0002,24.3566,5.015160659440636,5000
3,n-Octacosane (C28),0.3852,0.1764,6.4964,5.311759316836596,5000
3,RT64HC,0.3154,0.126,7.3178,5.532992242900751,5000
3,n-Hexacosane (C26),0.3112,0.1224,7.6622,5.853690388122704,5000
3,RT57HC,0.296,0.1188,7.6512,5.735184265566436,5000
3,n-Nonacosane (C29),0.2004,0.068,9.4762,6.133044395730415,5000
3,n-Heptacosane (C27),0.1894,0.061,9.8292,6.297525494986096,5000
3,n-Pentacosane (C25),0.1838,0.0644,9.776,6.262477465029324,5000
3,CrodaTherm 60,0.1608,0.0512,10.6312,6.499506639738146,5000
3,PureTemp 58,0.1542,0.0516,10.6854,6.501540343641643,5000
3,PlusICE A58,0.1424,0.044,10.8334,6.511378075338615,5000
3,RT62HC,0.1386,0.035,11.1908,6.529410031541886,5000
3,PureTemp 60,0.129,0.0374,11.3978,6.544948827913008,5000
3,PureTemp 53,0.125,0.0344,11.3064,6.385367572818367,5000
3,Myristic acid (C14),0.0972,0.028,12.2648,6.511549812448646,5000
3,PlusICE A62,0.0708,0.0134,13.6376,6.659929897528883,5000
3,PureTemp 63,0.0432,0.0104,14.8924,6.512297769604799,5000
3,Palmitic acid (C16),0.0398,0.008,15.325,6.517129352713553,5000
3,RT54HC,0.0302,0.0064,15.967,6.496053494237879,5000
3,savE® OM55,0.019,0.0028,17.581,6.302240791972325,5000
3,Palmitic-stearic acid/Expanded graphite,0.0146,0.0014,18.224,6.16047270913522,5000
3,RT55,0.0128,0.0014,18.48,6.104228042922366,5000
3,RT60,0.008,0.0014,18.9012,5.925693086888665,5000
3,Paraffin/Expanded graphite (92% paraffin),0.0044,0.0004,19.915,5.6979799051945115,5000
3,RT65,0.0038,0.0008,21.2092,5.3627078383965525,5000
3,Myristic acid/NBR-0.5,0.0032,0.0004,21.3292,5.285000223273244,5000
3,Palmitic acid/Expanded graphite (80/20),0.003,0.0,21.0744,5.368059671799457,5000
3,Myristic acid/NBR-1.0,0.0016,0.0002,22.3322,4.932772360447966,5000
4,n-Octacosane (C28),0.3848,0.181,6.5724,5.486269975128813,5000
4,n-Hexacosane (C26),0.3072,0.121,7.7956,5.9840304678369325,5000
4,RT64HC,0.3066,0.1152,7.621,5.710530535773342,5000
4,RT57HC,0.2868,0.1054,8.0506,5.986621721806105,5000
4,n-Tetracosane (C24),0.232,0.0804,9.3076,6.51049784885949,5000
4,n-Nonacosane (C29),0.1828,0.0586,10.078,6.512197478578151,5000
4,n-Heptacosane (C27),0.182,0.058,10.0604,6.5022728210988125,5000
4,n-Pentacosane (C25),0.178,0.0604,10.2022,6.55619669930685,5000
4,CrodaTherm 60,0.1354,0.0394,11.2742,6.720878987156204,5000
4,PureTemp 58,0.1348,0.0442,11.4402,6.816921883078947,5000
4,PlusICE A58,0.1216,0.0364,11.6834,6.817826958789729,5000
4,RT62HC,0.1194,0.038,11.8182,6.887056610773598,5000
4,PureTemp 60,0.1,0.0298,12.4546,6.892774393522517,5000
4,PureTemp 53,0.0958,0.027,12.3508,6.745705252974132,5000
4,Myristic acid (C14),0.094,0.0232,13.2136,7.052203559172137,5000
4,PlusICE A62,0.0558,0.012,14.7542,7.016878391421683,5000
4,PureTemp 63,0.0338,0.007,16.3478,6.816834687741817,5000
4,PlusICE A52,0.0306,0.0058,16.6012,6.824731391051221,5000
4,Palmitic acid (C16),0.03,0.0066,16.673,6.87639956663373,5000
4,RT54HC,0.0216,0.0046,17.442,6.784086968782179,5000
4,savE® OM55,0.0116,0.0022,19.41,6.495159736295946,5000
4,RT55,0.0102,0.0014,20.281,6.2979075096415995,5000
4,RT60,0.0084,0.0012,20.775,6.19425338519499,5000
4,Palmitic-stearic acid/Expanded graphite,0.0076,0.0014,19.9354,6.347190468230762,5000
4,Palmitic acid/Expanded graphite (80/20),0.0032,0.001,23.311,5.407354158920969,5000
4,RT65,0.0024,0.0,23.1658,5.483895546051163,5000
4,Myristic acid/NBR-0.5,0.0018,0.0004,23.2598,5.456986710630615,5000
4,Paraffin/Expanded graphite (92% paraffin),0.0018,0.0006,21.9328,5.795436494346278,5000
4,Myristic acid/NBR-1.0,0.001,0.0,24.4178,5.011191790382713,5000
