cluster_id,Tm_target_C,L_required_kJ_per_kg,name,manufacturer,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,pass_melting_window,pass_absolute_band,pass_latent_heat,latent_heat_floor_used,cycling_known,pass_cycling,cycling_flag,supercooling_known,pass_supercooling,passes_all,window_lo,window_hi,window_relax_applied
0,56.99999999999999,128.1599165225614,RT42,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),40.5,40.0,165.0,760.0,880.0,2.0,2.0,0.1785,1564.0,Estimated via MICE-RF-PMM,Yes,0.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,145.2,2.0,0.9676689614899936,False,low_organic,False,False,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,RT44HC,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),42.5,42.5,250.0,750.0,800.0,2.0,2.0,0.24,1216.0,Estimated via MICE-RF-PMM,No,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.0,2.0,0.9345833545300116,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,savE® OM42,Pluss Advanced Technologies,PLUSS savE,Organic,44.0,43.0,199.0,863.0,903.0,2.78,2.71,0.145,2000.0,Reported by manufacturer,Yes,1.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,179.697,2.745,1.0,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,RT47,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),44.5,44.5,160.0,770.0,880.0,2.0,2.0,0.178,1665.0,Estimated via MICE-RF-PMM,No,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,140.8,2.0,0.9758963538841574,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,n-Docosane (C22),Literature,n-Alkane,Organic n-alkane,44.5,44.3,249.0,880.0,880.0,2.06,2.0,0.24,1440.0,Estimated via MICE-RF-PMM,No,0.2000000000000028,7,True,literature_MICE_RF_PMM_completed,219.12,2.03,0.9568093196316532,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,Lauric acid (C12),Literature,Fatty acid,Organic fatty acid,44.8,44.8,184.0,870.0,960.0,1.6,2.0,0.1639999999999999,2000.0,Estimated via MICE-RF-PMM,Yes,0.0,7,True,literature_MICE_RF_PMM_completed,176.64,1.8,1.0,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,RT45HC,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),45.0,45.0,240.0,770.0,880.0,2.0,2.0,0.24,1216.0,Estimated via MICE-RF-PMM,No,0.0,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,211.2,2.0,0.9345833545300116,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,savE® OM46,Pluss Advanced Technologies,PLUSS savE,Organic,47.0,45.0,177.0,880.0,917.0,2.7,2.5,0.15,2000.0,Reported by manufacturer,No,2.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,162.309,2.6,1.0,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,n-Tricosane (C23),Literature,n-Alkane,Organic n-alkane,47.5,44.9,232.0,780.0,797.0,2.39,2.06,0.239,1216.0,Estimated via MICE-RF-PMM,No,2.6000000000000014,10,True,literature_MICE_RF_PMM_completed,184.904,2.225,0.9345833545300116,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,RT50,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),48.0,48.5,160.0,770.0,880.0,2.0,2.0,0.177,1675.0,Estimated via MICE-RF-PMM,Yes,-0.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,140.8,2.0,0.9766836373421076,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,Paraffin/Expanded graphite (85.56% paraffin),Literature,Composite,Organic/composite blend,48.8,46.6,161.0,869.0,937.0,2.01,2.0,0.166,2000.0,Estimated via MICE-RF-PMM,Yes,2.199999999999996,10,True,literature_MICE_RF_PMM_completed,150.857,2.005,1.0,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,savE® OM49,Pluss Advanced Technologies,PLUSS savE,Organic,49.0,45.5,224.0,780.0,816.0,2.4,2.1,0.3,1200.0,Reported by manufacturer,No,3.5,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,182.784,2.25,0.9328423243457084,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,Paraffin/HDPE PCM3,Literature,Blend,Organic blend,49.9,50.0,187.0,851.0,952.0,2.19,2.02,0.174,2000.0,Estimated via MICE-RF-PMM,Yes,-0.1000000000000014,11,True,literature_MICE_RF_PMM_completed,178.024,2.105,1.0,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,savE® OM50,Pluss Advanced Technologies,PLUSS savE,Organic,50.0,50.0,189.0,859.0,961.0,2.78,3.33,0.175,2000.0,Reported by manufacturer,Yes,0.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,181.629,3.055,1.0,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,PlusICE A50,PCM Products Ltd.,PCM Products,Organic PCM,50.0,48.9,190.0,810.0,810.0,2.15,2.15,0.18,1526.0,Estimated via MICE-RF-PMM,Yes,1.1000000000000014,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,153.9,2.15,0.9644352426742184,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,Paraffin/HDPE PCM6,Literature,Blend,Organic blend,50.3,49.3,187.0,851.0,953.0,2.19,2.02,0.1745,2000.0,Estimated via MICE-RF-PMM,Yes,1.0,11,True,literature_MICE_RF_PMM_completed,178.211,2.105,1.0,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,Paraffin/HDPE PCM2,Literature,Blend,Organic blend,50.6,49.2,187.0,846.0,954.0,2.06,2.02,0.177,2000.0,Estimated via MICE-RF-PMM,Yes,1.3999999999999986,11,True,literature_MICE_RF_PMM_completed,178.398,2.04,1.0,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,savE® OM48,Pluss Advanced Technologies,PLUSS savE,Organic,51.0,48.0,165.0,875.0,960.0,2.35,2.02,0.15,2000.0,Reported by manufacturer,Yes,3.0,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,158.4,2.185,1.0,True,low_organic,False,True,True,100.0,True,True,,True,True,False,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,PlusICE A52,PCM Products Ltd.,PCM Products,Organic PCM,52.0,49.2,220.0,810.0,810.0,2.15,2.15,0.18,1447.0,Estimated via MICE-RF-PMM,Yes,2.799999999999997,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,178.2,2.15,0.957446830545145,True,low_organic,True,True,True,100.0,True,True,,True,True,True,51.99999999999999,65.0,0.0
0,56.99999999999999,128.1599165225614,n-Tetracosane (C24),Literature,n-Alkane,Organic n-alkane,52.0,49.3,255.0,799.0,799.0,2.39,2.0,0.2395,1368.0,Estimated via MICE-RF-PMM,Yes,2.700000000000003,7,True,literature_MICE_RF_PMM_completed,203.745,2.1950000000000003,0.9500662519113888,True,low_organic,True,True,True,100.0,True,True,,True,True,True,51.99999999999999,65.0,0.0
