k,kmeans_silhouette
2,0.2541587896885871
3,0.3403348675711392
4,0.3766964985580036
5,0.38016954178052464
6,0.32232401339937006
7,0.3420076062460823
8,0.3618260832749862
9,0.3750329519240723
10,0.36629569055771416
