,PC1,PC2
Ta_mean,-0.39397503635453374,-0.15280133417552821
Ta_p95,-0.39545365630042184,-0.02267323335774485
Ta_p05,-0.3852731399620911,-0.33027506968992576
HDD18,0.3597763036530993,0.6021667123880338
CDD24,-0.3580913001516611,0.5852234954388359
RH_mean,0.37827071965449593,-0.3594687739295718
elevation_m,0.37310531865586977,-0.18096122941753914
