cluster_id,Tm_target_C,L_required_kJ_per_kg,name,manufacturer,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_tested_status,flammable,supercooling_K,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,pass_melting_window,pass_absolute_band,pass_latent_heat,latent_heat_floor_used,cycling_known,pass_cycling,cycling_flag,supercooling_known,pass_supercooling,pass_corrosion,cluster_hsi,hsi_p75_across_clusters,passes_all,window_lo,window_hi,window_relax_applied,f_Tm,cycles_confidence_imputed,topsis_score,gra_grade,promethee_flow,vikor_Q,vikor_S,vikor_R,topsis_rank,gra_rank,promethee_rank,vikor_rank,vikor_compromise_note,borda_score,consensus_rank,kendall_w,weight_f_Tm,weight_latent_heat_kJ_kg,weight_rho_H_MJ_m3,weight_TC_W_mK,weight_cycles_confidence
0,57.0,122.93818683243596,RT55,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),54.0,56.5,170.0,770.0,880.0,2.0,2.0,0.172,2000.0,Estimated via MICE-RF-PMM,Yes,-2.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,149.6,2.0,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.7548396019890073,False,0.5919368983879688,0.6132920547837601,-0.049604426730890036,0.2267940471679109,0.4243548100341911,0.13313884598594436,8,11,17,9,single VIKOR winner acceptable,75.0,11,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,CrodaTherm 60,CrodaTherm,CrodaTherm,Organic PCM,59.8,61.5,217.0,824.0,922.0,2.3,1.4,0.2299999999999999,1533.0,Estimated via MICE-RF-PMM,Yes,-1.7000000000000028,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,200.074,1.85,0.9650369312189438,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.7827045382418686,False,0.5771555242720783,0.5787027278364743,0.16275608625180873,0.3344386510092098,0.39353686861628556,0.17371242956386096,12,16,7,11,single VIKOR winner acceptable,74.0,12,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,n-Heptacosane (C27),Literature,n-Alkane,Organic n-alkane,59.0,59.7,236.0,773.0,773.0,2.38,2.2,0.2415,1404.0,Estimated via MICE-RF-PMM,Yes,-0.7000000000000028,7,True,literature_MICE_RF_PMM_completed,182.428,2.29,0.9534809845274094,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.8824969025845955,False,0.5547485258785545,0.6156605113354188,0.16812192550664604,0.5703067549195486,0.3986355123766248,0.23112762924978153,14,10,6,18,single VIKOR winner acceptable,72.0,13,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,Myristic acid (C14),Literature,Fatty acid,Organic fatty acid,53.0,51.2,199.0,861.0,990.0,2.04,1.7,0.2329999999999999,1686.0,Estimated via MICE-RF-PMM,Yes,1.7999999999999972,5,True,literature_MICE_RF_PMM_completed,197.01,1.87,0.977544241901108,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.6065306597126334,False,0.569250997480155,0.5506311151458833,0.07472153449692086,0.16592407671137926,0.4152543565430801,0.12169703328365236,13,23,12,7,single VIKOR winner acceptable,65.0,14,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,n-Pentacosane (C25),Literature,n-Alkane,Organic n-alkane,54.0,50.6,238.0,801.0,801.0,2.39,2.05,0.239,1404.0,Estimated via MICE-RF-PMM,Yes,3.3999999999999986,8,True,literature_MICE_RF_PMM_completed,190.638,2.22,0.9534809845274094,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.7548396019890073,False,0.5293119076286943,0.5847238467990081,0.10586168554614235,0.6219367816539587,0.42873832591326844,0.23112762924978153,16,14,8,20,single VIKOR winner acceptable,62.0,15,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,Myristic acid/NBR-0.5,Literature,Polymer blend,Organic/polymer blend,54.6,50.5,142.0,778.0,865.0,2.77,2.93,0.157,2000.0,Estimated via MICE-RF-PMM,Yes,4.100000000000001,9,True,literature_MICE_RF_PMM_completed,122.83,2.85,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.8352702114112722,False,0.5485007772411938,0.6076301306578162,-0.0922873183165751,0.5116823852656821,0.4904806699129574,0.17648637723718205,15,12,19,15,single VIKOR winner acceptable,59.0,16,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,RT64HC,Rubitherm Technologies,Rubitherm RT,Organic (RT-line),64.0,62.5,250.0,780.0,880.0,2.0,2.0,0.283,1404.0,Estimated via MICE-RF-PMM,Yes,1.5,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,220.0,2.0,0.9534809845274094,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.2162651668298873,False,0.45717236392463917,0.637500580822827,-0.007870303191984705,0.7940259545623467,0.49745123021832505,0.24483864390576615,23,9,15,24,single VIKOR winner acceptable,49.0,17,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,n-Tetracosane (C24),Literature,n-Alkane,Organic n-alkane,52.0,49.3,255.0,799.0,799.0,2.39,2.0,0.2395,1368.0,Estimated via MICE-RF-PMM,Yes,2.700000000000003,7,True,literature_MICE_RF_PMM_completed,203.745,2.1950000000000003,0.9500662519113888,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.45783336177161427,False,0.4660324795869217,0.5858225842115466,-0.017714003150086834,0.8060144111759266,0.49693382648572887,0.248093574165958,21,13,16,25,single VIKOR winner acceptable,45.0,18,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,Myristic acid/NBR-1.0,Literature,Polymer blend,Organic/polymer blend,54.1,49.2,128.0,778.0,860.0,2.77,2.89,0.1545,2000.0,Estimated via MICE-RF-PMM,Yes,4.899999999999999,9,True,literature_MICE_RF_PMM_completed,110.08,2.83,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.7688860499307921,False,0.5120966253049127,0.5791065119110957,-0.16988523861553975,0.701231908061752,0.551008309249519,0.1981601428628009,18,15,23,22,single VIKOR winner acceptable,42.0,19,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
0,57.0,122.93818683243596,Palmitic acid/Expanded graphite (80/20),Literature,Composite,Organic/composite blend,60.9,60.8,148.0,778.0,860.0,2.78,2.94,0.1645,2000.0,Estimated via MICE-RF-PMM,Yes,0.1000000000000014,8,True,literature_MICE_RF_PMM_completed,127.28,2.86,1.0,True,low_organic,True,True,True,100.0,True,True,,True,True,True,20.215460619932777,20.215460619932777,True,52.0,65.0,0.0,0.6216907477471935,False,0.5122577995772671,0.5648399462693179,-0.2120513601647085,0.5515635375306875,0.5351571503140025,0.16719762054048826,17,20,24,17,single VIKOR winner acceptable,42.0,19,0.795935960591133,0.24483864390576615,0.1981601428628009,0.14324276383039525,0.16566487523507967,0.248093574165958
