point_id,n_days_used,GHI_daily_kWh_mean,kt_daily_mean,kt_daily_std,SAI_true,cloudy_frac_true,CCI_true,DTR_true_mean,Ta_mean_true,Ta_p95_true,Ta_p05_true,HDD18_true,CDD24_true,RH_mean_true,wind_mean_true,seasonality_true
UKP_0001,3653,4.704781313988502,0.8517615109857662,0.18124944999947767,0.8531673670318173,0.02491103202846975,4,11.092507528059128,23.209128227940507,33.20975,12.0985,3696.3050000000003,8996.882916666666,55.304773359795604,2.522901268363902,0.26584328616624614
UKP_0002,3653,4.900847810019163,0.7710209504761179,0.19750374488326636,0.7601712440185309,0.04872707363810567,6,10.604456611004654,18.024801418925083,26.538666666666664,7.87375,9586.43625,1082.8429166666665,60.141539716214986,2.350138698786386,0.20887363392445235
UKP_0003,3653,4.883610454421024,0.8386686731735411,0.18795501829726652,0.835787928271479,0.031480974541472764,3,11.092507528059128,23.209128227940507,33.20975,12.0985,3696.3050000000003,8996.882916666666,55.304773359795604,2.522901268363902,0.2383343108772401
UKP_0004,3653,4.800499507254311,0.8152630591129895,0.19596450568578658,0.8054689170705216,0.036134683821516564,4,11.721401587736107,24.67607480153299,34.62483333333333,13.443333333333333,2401.482916666667,11878.51875,54.48356328132129,2.815986746053472,0.2162995834492806
UKP_0005,3653,4.800499507254311,0.8152630591129895,0.19596450568578658,0.8054689170705216,0.036134683821516564,4,11.721401587736107,24.67607480153299,34.62483333333333,13.443333333333333,2401.482916666667,11878.51875,54.48356328132129,2.815986746053472,0.2162995834492806
UKP_0006,3653,4.800499507254311,0.8152630591129895,0.19596450568578658,0.8054689170705216,0.036134683821516564,4,11.721401587736107,24.67607480153299,34.62483333333333,13.443333333333333,2401.482916666667,11878.51875,54.48356328132129,2.815986746053472,0.2162995834492806
UKP_0007,3653,4.923982931836847,0.817574876293176,0.19301629932218245,0.8131403990298898,0.035313441007391186,3,10.604456611004654,18.024801418925083,26.538666666666664,7.87375,9586.43625,1082.8429166666665,60.141539716214986,2.350138698786386,0.23294452760897705
UKP_0008,3653,4.900847810019163,0.7710209504761179,0.19750374488326636,0.7601712440185309,0.04872707363810567,6,11.092507528059128,23.209128227940507,33.20975,12.0985,3696.3050000000003,8996.882916666666,55.304773359795604,2.522901268363902,0.20887363392445235
UKP_0009,3653,4.563353156309883,0.8460114949501736,0.1874889520657418,0.8472934186587969,0.027922255680262797,3,11.721401587736107,24.67607480153299,34.62483333333333,13.443333333333333,2401.482916666667,11878.51875,54.48356328132129,2.815986746053472,0.28319609760316306
UKP_0010,3653,4.563353156309883,0.8460114949501736,0.1874889520657418,0.8472934186587969,0.027922255680262797,3,11.306966876539832,23.967596610092162,33.07708333333333,13.437583333333334,2470.043333333333,9731.137499999999,56.62509934756821,2.6128539328405878,0.28319609760316306
