point_id,Ta_mean_proxy,Ta_p95_proxy,Ta_p05_proxy,DTR_proxy,GHI_mean,GHI_daily_kWh_proxy,kt_mean_proxy,kt_std_proxy,SAI_proxy,cloudy_frac_proxy,CCI_proxy,HDD18_proxy,CDD24_proxy,RH_mean_proxy,HSI,wind_mean_proxy,seasonality_proxy,monsoon_index,elevation_m,lat,lon,population,n_days_used,GHI_daily_kWh_mean,kt_daily_mean,kt_daily_std,SAI_true,cloudy_frac_true,CCI_true,DTR_true_mean,Ta_mean_true,Ta_p95_true,Ta_p05_true,HDD18_true,CDD24_true,RH_mean_true,wind_mean_true,seasonality_true,GHI_daily_kWh,DTR,kt_mean,kt_std,SAI,cloudy_frac,CCI,HDD18,CDD24,Ta_mean,Ta_p95,Ta_p05,seasonality,RH_mean,wind_mean,Tm_target_C,T_mains_est_C,L_required_kJ_per_kg,int_GHI_x_ktstd,int_DTR_x_cloudyfrac,int_RH_x_TaMinusTm,int_CCI_x_1minusSAI,PC1,PC2,GHI_mean_z,HSI_z,monsoon_index_z,n_days_used_z,GHI_daily_kWh_mean_z,kt_daily_mean_z,kt_daily_std_z,GHI_daily_kWh_z,DTR_z,kt_mean_z,kt_std_z,SAI_z,cloudy_frac_z,CCI_z,seasonality_z,wind_mean_z,Tm_target_C_z,L_required_kJ_per_kg_z,int_GHI_x_ktstd_z,int_DTR_x_cloudyfrac_z,int_RH_x_TaMinusTm_z,int_CCI_x_1minusSAI_z,PC1_z,PC2_z
UKP_0001,24.65822716675313,32.43540039062502,13.19462585449221,8.221988155945144,729.0010248106236,5.693406399490102,0.8463956407207917,0.2056006470234512,0.8898974725600077,0.04526635385040022,4,2383.1577067057115,11519.392984687007,68.50088874959665,19.41142122998967,1.810744342988457,0.17496409272469968,0.7396220971254963,306.43851405997464,29.875,77.875,1061040.7233288288,3653,4.704781313988502,0.8517615109857662,0.1812494499994776,0.8531673670318173,0.0249110320284697,4,11.092507528059128,23.209128227940507,33.20975,12.0985,3696.305,8996.882916666666,55.3047733597956,2.522901268363902,0.2658432861662461,4.704781313988502,11.092507528059128,0.8517615109857662,0.1812494499994776,0.8531673670318173,0.0249110320284697,4,3696.305,8996.882916666666,23.209128227940507,33.20975,12.0985,0.2658432861662461,55.3047733597956,2.522901268363902,57.0,21.209128227940507,120.51858923784103,0.8527390255282356,0.2763258103075222,-1868.7965049836646,0.5873305318727309,-2.292291959944586,0.30575936873152715,1.5958804063620262,-0.1782238028953978,-0.5273023740191698,0.0,-0.982704532272339,1.2150331131137992,-1.2887833922672172,-0.982704532272339,-0.031125890919196538,1.2150331131137992,-1.2887833922672172,1.3638855064292674,-1.7802545458406382,-0.06274558051381562,1.8497349111469854,0.22266427933591668,0.0,-0.7856528096009886,-1.3290944965804323,-2.0934758472124475,0.833724231070487,-0.7918715307082559,-0.9097583573401417,0.44219049911177183
UKP_0002,18.95832640152759,25.572314453125024,9.127032470703147,7.844768897953396,704.76534044837,5.479392030519423,0.7723717928358335,0.22592813174113277,0.8042964815100588,0.07783604747446868,5,7294.878060913053,815.2474548340019,70.65786345219252,21.40733686153924,1.436826054999023,0.19101659175493865,0.7638665880219768,1300.4785416656046,30.375,78.125,1050761.2446246743,3653,4.900847810019163,0.7710209504761179,0.1975037448832663,0.7601712440185309,0.0487270736381056,6,10.604456611004654,18.024801418925083,26.538666666666664,7.87375,9586.43625,1082.8429166666665,60.141539716214986,2.350138698786386,0.2088736339244523,4.900847810019163,10.604456611004654,0.7710209504761179,0.1975037448832663,0.7601712440185309,0.0487270736381056,6,9586.43625,1082.8429166666665,18.024801418925083,26.538666666666664,7.87375,0.2088736339244523,60.141539716214986,2.350138698786386,57.0,16.024801418925083,142.2201812603796,0.967935795581739,0.5167241381765195,-2344.0284534110833,1.4389725358888148,1.061352375050182,-0.5623316662656392,0.05536761630964682,0.2998206507431742,0.15412004228377987,0.0,0.705828739491312,-0.8017321611719576,0.8100275724895565,0.705828739491312,-0.8262579232627607,-0.8017321611719576,0.8100275724895565,-0.8396361358661858,1.6735098480969761,1.8196218349006599,-0.545883354897525,-0.6937103297792022,0.0,0.3483020455782906,0.8802088120453455,1.6530578816232613,-0.44926668035342066,1.8004507606488558,0.4212265322904388,-0.8132464467203027
UKP_0003,24.376045997360634,32.150097656250026,13.031045532226585,8.212899935261966,723.3352151378539,5.642767620679983,0.8373453665384168,0.21075993298542928,0.8783732178741623,0.05106265525807342,4,2574.732901000958,10867.304012722489,68.19589516226408,19.368914193201697,1.7191919640893694,0.17629810171876764,0.7629815135194326,362.6208941286016,29.875,78.125,838310.5553430319,3653,4.883610454421024,0.8386686731735411,0.1879550182972665,0.835787928271479,0.0314809745414727,3,11.092507528059128,23.209128227940507,33.20975,12.0985,3696.305,8996.882916666666,55.3047733597956,2.522901268363902,0.2383343108772401,4.883610454421024,11.092507528059128,0.8386686731735411,0.1879550182972665,0.835787928271479,0.0314809745414727,3,3696.305,8996.882916666666,23.209128227940507,33.20975,12.0985,0.2383343108772401,55.3047733597956,2.522901268363902,57.0,21.209128227940507,120.51858923784103,0.9178990923174255,0.34920294709192373,-1868.7965049836646,0.4926362151855631,-2.2598981302912904,0.29004791422661336,1.2357398740608956,-0.18840472079387915,0.12924389170973755,0.0,0.557379876304986,0.8879957421211148,-0.422937142463958,0.557379876304986,-0.031125890919196538,0.8879957421211148,-0.422937142463958,0.9520837215969838,-0.8274919544095727,-1.0039292882210533,0.6929610659634295,0.22266427933591668,0.0,-0.7856528096009886,-0.07942099374895417,-0.9577081676114373,0.833724231070487,-1.0801125837039682,-0.8969019857398804,0.4194685268035416
UKP_0004,22.31193445107244,29.244002278645855,12.036991373697939,7.3070610313826165,712.6945929401663,5.542111010356198,0.8048396169244472,0.21193731577174674,0.8392727862563324,0.059619100193210046,8,3502.643978881814,5456.302432590102,69.11112392096119,21.561856768422064,1.6616444099837686,0.18253937021643915,0.7795353106062198,812.674238032993,29.125,79.625,505832.9260216504,3653,4.800499507254311,0.8152630591129895,0.1959645056857865,0.8054689170705216,0.0361346838215165,4,11.721401587736109,24.67607480153299,34.62483333333333,13.443333333333332,2401.482916666667,11878.51875,54.48356328132129,2.815986746053472,0.2162995834492806,4.800499507254311,11.721401587736109,0.8152630591129895,0.1959645056857865,0.8054689170705216,0.0361346838215165,4,2401.482916666667,11878.51875,24.67607480153299,34.62483333333333,13.443333333333332,0.2162995834492806,54.48356328132129,2.815986746053472,57.0,22.67607480153299,114.3779508807829,0.9407275129839526,0.4235491403178658,-1761.1226240513731,0.7781243317179136,-2.7259887080257297,0.3563164984154053,0.5593812309691798,0.33682992272564516,0.5945095249635509,0.0,-0.1583752495317176,0.3033623266147385,0.6112756654919751,-0.1583752495317176,0.9934676388250331,0.3033623266147385,0.6112756654919751,0.2336817582725253,-0.15261845214590047,-0.06274558051381562,-0.2336163912710133,1.7772608028299237,0.0,-1.10651436997197,0.3583942790736677,0.20095430313302073,1.1244130433252222,-0.21111222332438315,-1.081882697525674,0.5153064350234603
UKP_0005,25.007307171696585,32.65240885416669,13.610525512695334,8.262312890099386,720.6111664366547,5.613036835746147,0.8411254694907182,0.21101434002766606,0.8816799997356277,0.05023461219983439,9,2059.5204793294106,12120.768415323942,67.91526760859388,18.96428716460414,1.8820615782602164,0.18086291055634413,0.7415172705005267,276.34334267117214,29.125,79.125,374134.08246964216,3653,4.800499507254311,0.8152630591129895,0.1959645056857865,0.8054689170705216,0.0361346838215165,4,11.721401587736109,24.67607480153299,34.62483333333333,13.443333333333332,2401.482916666667,11878.51875,54.48356328132129,2.815986746053472,0.2162995834492806,4.800499507254311,11.721401587736109,0.8152630591129895,0.1959645056857865,0.8054689170705216,0.0361346838215165,4,2401.482916666667,11878.51875,24.67607480153299,34.62483333333333,13.443333333333332,0.2162995834492806,54.48356328132129,2.815986746053472,57.0,22.67607480153299,114.3779508807829,0.9407275129839526,0.4235491403178658,-1761.1226240513731,0.7781243317179136,-3.0352282176536485,0.5063019289323037,1.062588920194754,-0.28531748792479467,-0.47403610309435046,0.0,-0.1583752495317176,0.3033623266147385,0.6112756654919751,-0.1583752495317176,0.9934676388250331,0.3033623266147385,0.6112756654919751,0.2336817582725253,-0.15261845214590047,-0.06274558051381562,-0.2336163912710133,1.7772608028299237,0.0,-1.10651436997197,0.3583942790736677,0.20095430313302073,1.1244130433252222,-0.21111222332438315,-1.204612800505474,0.7322160023570964
UKP_0006,22.981184831816357,30.021235148112,12.35530395507815,7.673213528099555,717.4122592081455,5.584482774549296,0.8180704660345214,0.2089325225702177,0.8554540734598308,0.05520287054926856,8,3165.632395087327,7114.549404568188,68.58031972969982,20.44979448375721,1.6603563228858544,0.17941387850061627,0.7647149997862341,694.5409114127914,29.125,79.375,373862.8488861621,3653,4.800499507254311,0.8152630591129895,0.1959645056857865,0.8054689170705216,0.0361346838215165,4,11.721401587736109,24.67607480153299,34.62483333333333,13.443333333333332,2401.482916666667,11878.51875,54.48356328132129,2.815986746053472,0.2162995834492806,4.800499507254311,11.721401587736109,0.8152630591129895,0.1959645056857865,0.8054689170705216,0.0361346838215165,4,2401.482916666667,11878.51875,24.67607480153299,34.62483333333333,13.443333333333332,0.2162995834492806,54.48356328132129,2.815986746053472,57.0,22.67607480153299,114.3779508807829,0.9407275129839526,0.4235491403178658,-1761.1226240513731,0.7781243317179136,-2.794102427206686,0.3893525923729819,0.8592541421851629,0.07047838016472895,0.17796573972030533,0.0,-0.1583752495317176,0.3033623266147385,0.6112756654919751,-0.1583752495317176,0.9934676388250331,0.3033623266147385,0.6112756654919751,0.2336817582725253,-0.15261845214590047,-0.06274558051381562,-0.2336163912710133,1.7772608028299237,0.0,-1.10651436997197,0.3583942790736677,0.20095430313302073,1.1244130433252222,-0.21111222332438315,-1.1089154779730184,0.5630833745704248
UKP_0007,21.166166399075625,27.90263671875002,10.93338317871096,7.87668263127124,709.3473960805964,5.520795348928208,0.8022502594303214,0.22491043485429285,0.8375489847618716,0.06789953077560033,4,4787.72718607582,3734.891865030962,69.46286697341375,19.128011854947772,1.5571640142201786,0.1874050557328703,0.8440760842451059,896.1590715866275,30.375,77.875,369114.1082303375,3653,4.923982931836847,0.817574876293176,0.1930162993221824,0.8131403990298898,0.0353134410073911,3,10.604456611004654,18.024801418925083,26.538666666666664,7.87375,9586.43625,1082.8429166666665,60.141539716214986,2.350138698786386,0.232944527608977,4.923982931836847,10.604456611004654,0.817574876293176,0.1930162993221824,0.8131403990298898,0.0353134410073911,3,9586.43625,1082.8429166666665,18.024801418925083,26.538666666666664,7.87375,0.232944527608977,60.141539716214986,2.350138698786386,57.0,16.024801418925083,142.2201812603796,0.9504089634287382,0.37447985294815145,-2344.0284534110833,0.5605788029103307,0.8282284663932061,-0.44926335282222024,0.3466205968596819,-0.24610356580039056,2.408510491651445,0.0,0.9050694242912131,0.3611076850822508,0.2305930282851568,0.9050694242912131,-0.8262579232627607,0.3611076850822508,0.2305930282851568,0.41545575032950366,-0.27171377607478703,-1.0039292882210533,0.46631647995347913,-0.6937103297792022,0.0,0.3483020455782906,0.5440701490657418,-0.563775392827046,-0.44926668035342066,-0.8733014073401557,0.3287049739974844,-0.6497265710654953
UKP_0008,22.37129072778437,29.565877278645857,11.810389200846377,7.9735252765736595,711.0886202349188,5.537710294959415,0.8109328518544279,0.21810172187493468,0.846773134210972,0.05906707148771736,4,3780.92911071775,6160.416928439713,68.57077642806823,19.23565160816819,1.5763739346956887,0.18441643158584453,0.8167129246378448,726.0429725141869,30.125,78.125,325783.2721641809,3653,4.900847810019163,0.7710209504761179,0.1975037448832663,0.7601712440185309,0.0487270736381056,6,11.092507528059128,23.209128227940507,33.20975,12.0985,3696.305,8996.882916666666,55.3047733597956,2.522901268363902,0.2088736339244523,4.900847810019163,11.092507528059128,0.7710209504761179,0.1975037448832663,0.7601712440185309,0.0487270736381056,6,3696.305,8996.882916666666,23.209128227940507,33.20975,12.0985,0.2088736339244523,55.3047733597956,2.522901268363902,57.0,21.209128227940507,120.51858923784103,0.967935795581739,0.5405054311509778,-1868.7965049836646,1.4389725358888148,-2.0503549801953027,0.1884165941639579,0.4572994636079077,-0.2203226228563763,1.6394339036184131,0.0,0.705828739491312,-0.8017321611719576,0.8100275724895565,0.705828739491312,-0.031125890919196538,-0.8017321611719576,0.8100275724895565,-0.8396361358661858,1.6735098480969761,1.8196218349006599,-0.545883354897525,0.22266427933591668,0.0,-0.7856528096009886,0.8802088120453455,2.0236819913412143,0.833724231070487,1.8004507606488558,-0.81373909228899,0.27248887960472135
UKP_0009,25.76766728243162,33.466186523437514,14.40129597981773,8.027671249183278,726.4341884871346,5.6593523713890885,0.8511439037574196,0.20955853656147522,0.8925035294268384,0.04775048302511731,9,1603.472740003784,13763.886830308755,66.18506425853877,16.89792559733601,2.0226561613168292,0.18001096469203118,0.7352067178594485,196.33385931039143,28.875,79.375,324165.7969491482,3653,4.563353156309883,0.8460114949501736,0.1874889520657418,0.8472934186587969,0.0279222556802627,3,11.721401587736109,24.67607480153299,34.62483333333333,13.443333333333332,2401.482916666667,11878.51875,54.48356328132129,2.815986746053472,0.283196097603163,4.563353156309883,11.721401587736109,0.8460114949501736,0.1874889520657418,0.8472934186587969,0.0279222556802627,3,2401.482916666667,11878.51875,24.67607480153299,34.62483333333333,13.443333333333332,0.283196097603163,54.48356328132129,2.815986746053472,57.0,22.67607480153299,114.3779508807829,0.855578301182435,0.3272879720638048,-1761.1226240513731,0.4581197440236092,-3.081360360355179,0.5286766548917426,1.4327224724988359,-0.7802345429495752,-0.651402253913989,0.0,-2.2006900353500387,1.0714072503012197,-0.48311723172778165,-2.2006900353500387,0.9934676388250331,1.0714072503012197,-0.48311723172778165,1.2247036572695202,-1.343571691434739,-1.0039292882210533,2.5794341529304443,1.7772608028299237,0.0,-1.10651436997197,-1.2746413978172453,-1.2992462882683429,1.1244130433252222,-1.1851776429544139,-1.222921594977597,0.7645744261742935
UKP_0010,24.580944070334354,31.993050130208353,13.64427897135419,7.327132353228559,716.8181296040727,5.576645107190184,0.835660661274977,0.21612699955945994,0.8727867193773163,0.054650841843775874,7,1996.8075232611602,10488.922300889806,67.95402753773666,17.5746408509134,1.7718935338338582,0.18706533005945142,0.7932931046409688,380.7686561064431,28.875,79.875,290412.3912399858,3653,4.563353156309883,0.8460114949501736,0.1874889520657418,0.8472934186587969,0.0279222556802627,3,11.306966876539832,23.96759661009216,33.07708333333333,13.437583333333334,2470.043333333333,9731.1375,56.62509934756821,2.612853932840588,0.283196097603163,4.563353156309883,11.306966876539832,0.8460114949501736,0.1874889520657418,0.8472934186587969,0.0279222556802627,3,2470.043333333333,9731.1375,23.96759661009216,33.07708333333333,13.437583333333334,0.283196097603163,56.62509934756821,2.612853932840588,57.0,21.96759661009216,117.34364059015422,0.855578301182435,0.31571602009500654,-1870.4631236424805,0.4581197440236092,-2.3613138974981354,-0.011460396870645699,0.8214889922375752,-0.6181535568839787,0.9811899173952134,0.0,-2.2006900353500387,1.0714072503012197,-0.48311723172778165,-2.2006900353500387,0.31827105037065107,1.0714072503012197,-0.48311723172778165,1.2247036572695202,-1.343571691434739,-1.0039292882210533,2.5794341529304443,0.6997950487512309,0.0,-0.9515507045687972,-1.2746413978172453,-1.4795915874386227,0.8292248353561502,-1.1851776429544139,-0.9371515889294846,-0.016574074682563448
