cluster_id,year,ghi_daily_kWh_mean,ta_mean_true_mean,n_days,ghi_10yr_mean,ta_10yr_mean,ghi_scale,tamb_offset_C
0,2016,4.910356803278688,22.07071015958988,366,4.800468184542256,21.383645308833945,1.022891229461801,0.6870648507559345
0,2017,4.88464394520548,21.9116188630088,365,4.800468184542256,21.383645308833945,1.0175349064773045,0.5279735541748565
0,2018,4.831005123287672,21.472612889213707,365,4.800468184542256,21.383645308833945,1.0063612417729892,0.08896758037976227
0,2019,4.748992301369863,21.162851706299886,365,4.800468184542256,21.383645308833945,0.9892769035865818,-0.22079360253405866
0,2020,4.8307673224043715,20.482254646123515,366,4.800468184542256,21.383645308833945,1.0063117047540655,-0.9013906627104298
0,2021,4.802767753424658,21.088135170658916,365,4.800468184542256,21.383645308833945,1.0004790301266462,-0.2955101381750289
0,2022,4.862028246575343,21.52063384741721,365,4.800468184542256,21.383645308833945,1.0128237621137275,0.13698853858326387
0,2023,4.739133890410959,21.140191490450018,365,4.800468184542256,21.383645308833945,0.9872232682785408,-0.24345381838392655
0,2024,4.774702295081967,21.723823044329254,366,4.800468184542256,21.383645308833945,0.9946326298873814,0.3401777354953097
0,2025,4.620284164383562,21.263621271248258,365,4.800468184542256,21.383645308833945,0.962465323540963,-0.12002403758568647
1,2016,5.091837076502732,19.94752461411803,366,4.900771524403025,19.005991581615707,1.0389868311853165,0.9415330325023241
1,2017,4.950653863013699,19.35860659391523,365,4.900771524403025,19.005991581615707,1.0101784664643696,0.3526150122995233
1,2018,4.954570410958905,18.970655931159015,365,4.900771524403025,19.005991581615707,1.0109776361309628,-0.03533565045669107
1,2019,4.7961607397260275,18.584239446822714,365,4.900771524403025,19.005991581615707,0.9786542212473902,-0.42175213479299245
1,2020,4.984590519125683,18.130683887641656,366,4.900771524403025,19.005991581615707,1.0171032243199438,-0.875307693974051
1,2021,4.9706137808219175,18.876000634709218,365,4.900771524403025,19.005991581615707,1.01425127779802,-0.1299909469064886
1,2022,4.981569506849315,19.0816061768765,365,4.900771524403025,19.005991581615707,1.0164867882626158,0.07561459526079517
1,2023,4.740136191780822,18.634796750159463,365,4.900771524403025,19.005991581615707,0.9672224400133058,-0.37119483145624343
1,2024,4.904558333333333,19.444290850015598,366,4.900771524403025,19.005991581615707,1.0007726964849213,0.4382992683998914
1,2025,4.633024821917808,19.031510930739632,365,4.900771524403025,19.005991581615707,0.9453664180931529,0.025519349123925394
2,2016,4.895997841530054,10.271934033644326,366,4.573236354120818,9.446569051164133,1.0705761658520896,0.8253649824801936
2,2017,4.587130383561644,9.56416131897306,365,4.573236354120818,9.446569051164133,1.003038117509126,0.11759226780892718
2,2018,4.660630109589041,9.50088815745706,365,4.573236354120818,9.446569051164133,1.0191098269805092,0.0543191062929278
2,2019,4.423851726027397,8.658784253507745,365,4.573236354120818,9.446569051164133,0.9673350300474162,-0.7877847976563874
2,2020,4.666650382513661,8.41103377812378,366,4.573236354120818,9.446569051164133,1.0204262411035614,-1.0355352730403524
