point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean,cluster_id,GHI_daily_kWh,GHIcs_daily_kWh,Ta_mean_C,Ta_max_C,Ta_min_C,DTR_C,RH_mean_pct,wind_mean_ms
RJP_0083,2016-01-01,24,4026.11,4034.67,0.9978783890627982,10.62,26.57,17.334999999999997,32.21208333333333,2.464166666666667,2,4.02611,4.03467,17.334999999999997,26.57,10.62,15.950000000000001,32.21208333333333,2.464166666666667
RJP_0083,2016-01-02,24,3453.54,3565.08,0.9687131845568684,11.23,25.48,17.585416666666667,28.601666666666663,1.3554166666666667,2,3.45354,3.56508,17.585416666666667,25.48,11.23,14.25,28.601666666666663,1.3554166666666667
RJP_0083,2016-01-03,24,3721.92,3777.89,0.9851848518617534,11.27,28.06,19.48,21.7775,0.91625,2,3.72192,3.7778899999999997,19.48,28.06,11.27,16.79,21.7775,0.91625
RJP_0083,2016-01-04,24,3802.75,3941.44,0.9648123528456604,12.89,27.83,18.64708333333333,25.8025,2.160833333333333,2,3.80275,3.94144,18.64708333333333,27.83,12.89,14.939999999999998,25.8025,2.160833333333333
RJP_0083,2016-01-05,24,4043.9,4083.05,0.9904115795789912,12.96,28.89,20.10333333333333,28.633333333333336,2.052083333333333,2,4.0439,4.08305,20.10333333333333,28.89,12.96,15.93,28.633333333333336,2.052083333333333
RJP_0083,2016-01-06,24,3966.89,4166.46,0.9521008242008804,12.41,28.23,19.04083333333333,35.345,2.5483333333333333,2,3.96689,4.16646,19.04083333333333,28.23,12.41,15.82,35.345,2.5483333333333333
RJP_0083,2016-01-07,24,3712.68,4080.67,0.9098211813256158,11.72,28.28,20.036666666666665,35.435,2.3916666666666666,2,3.7126799999999998,4.0806700000000005,20.036666666666665,28.28,11.72,16.560000000000002,35.435,2.3916666666666666
RJP_0083,2016-01-08,24,4078.83,4087.04,0.9979912112433448,10.17,27.41,18.05666666666667,39.47416666666667,3.1004166666666664,2,4.07883,4.08704,18.05666666666667,27.41,10.17,17.240000000000002,39.47416666666667,3.1004166666666664
RJP_0083,2016-01-09,24,4210.27,4224.48,0.9966362723932888,9.21,25.89,17.07375,32.44625,2.617083333333333,2,4.21027,4.22448,17.07375,25.89,9.21,16.68,32.44625,2.617083333333333
RJP_0083,2016-01-10,24,4367.58,4412.51,0.9898175868156672,11.52,27.28,18.59125,25.254166666666663,1.53,2,4.36758,4.41251,18.59125,27.28,11.52,15.760000000000002,25.254166666666663,1.53
RJP_0083,2016-01-11,24,4295.1,4337.4,0.9902476137778394,10.39,27.4,18.26458333333333,23.71333333333334,1.9825,2,4.295100000000001,4.3374,18.26458333333333,27.4,10.39,17.009999999999998,23.71333333333334,1.9825
