point_id,cluster,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2
ASP_0001,0,0.9999998196917772,0.9999998196917772,1.803082226781935e-07,1.0003504464527695e-37
ASP_0002,0,0.9999920626780902,0.9999920626780902,7.937321909701995e-06,2.520767117486256e-38
ASP_0003,0,1.0,1.0,1.5989297085931494e-16,1.4733855972908545e-45
ASP_0004,0,0.9999999999710187,0.9999999999710187,2.8981337088336388e-11,2.3827407300561554e-37
ASP_0005,0,0.9999997292324505,0.9999997292324505,2.7076754941479557e-07,1.8887258052062127e-21
ASP_0006,0,0.9468989184264267,0.9468989184264267,0.053101081472434725,1.0113830275998337e-10
ASP_0007,0,0.9999994384537052,0.9999994384537052,5.615462948851987e-07,8.963817072976648e-36
ASP_0008,1,0.9994625709800541,0.00046831684180298537,0.9994625709800541,6.911217814289827e-05
ASP_0009,0,0.9998160822981854,0.9998160822981854,0.00018391770181438674,2.1035119846546157e-35
ASP_0010,1,0.9997254359530876,0.00027456147699441336,0.9997254359530876,2.5699181846667883e-09
ASP_0011,0,1.0,1.0,1.259380475813236e-16,1.0845697360542303e-34
ASP_0012,0,0.9999999782292275,0.9999999782292275,2.177077259085012e-08,2.5219954798638234e-30
ASP_0013,1,0.7560979955384034,2.0440037180967756e-06,0.7560979955384034,0.24389996045787887
ASP_0014,2,0.7804632930348828,0.21953670378329915,3.1818178008793023e-09,0.7804632930348828
ASP_0015,0,0.9999992157443984,0.9999992157443984,7.842556013132253e-07,2.4583888028436157e-21
ASP_0016,0,0.9999999999998788,0.9999999999998788,1.1214553675351095e-13,8.92262393597506e-15
ASP_0017,1,0.8676326796420326,0.007124777319477885,0.8676326796420326,0.12524254303848953
ASP_0018,0,0.9336679486754227,0.9336679486754227,1.5142841921759763e-11,0.0663320513094344
ASP_0019,1,0.9512773406101134,0.04870716895341797,0.9512773406101134,1.5490436468973274e-05
ASP_0020,2,0.9999999795410546,2.045894387760172e-08,1.3183818819554408e-15,0.9999999795410546
ASP_0021,2,0.9999995055625993,4.873609601178687e-07,7.0764406825014944e-09,0.9999995055625993
ASP_0022,1,0.9999957098356712,1.9057816863952912e-08,0.9999957098356712,4.271106511890999e-06
ASP_0023,0,0.9999975158822848,0.9999975158822848,2.4841177148564487e-06,3.549304157713006e-46
ASP_0024,2,0.9998658856907001,1.2346060698911758e-24,0.00013411430929978068,0.9998658856907001
ASP_0025,1,0.9908290760169167,7.350359343400555e-05,0.9908290760169167,0.00909742038964944
ASP_0026,1,0.9885116193885973,0.00018507094709076642,0.9885116193885973,0.011303309664311825
ASP_0027,0,0.9999970201312267,0.9999970201312267,2.97986877311368e-06,9.998395181021147e-29
ASP_0028,2,0.9999988147137494,8.329637878602555e-22,1.1852862504145026e-06,0.9999988147137494
ASP_0029,1,0.9866036048452654,0.0015221411181620744,0.9866036048452654,0.011874254036572779
ASP_0030,1,0.8661876743095199,7.867640883070848e-05,0.8661876743095199,0.13373364928164969
ASP_0031,0,0.9929979515011005,0.9929979515011005,0.007002048498899601,1.4120470132217805e-18
ASP_0032,1,0.9667860390934225,4.358086803308502e-05,0.9667860390934225,0.0331703800385445
ASP_0033,2,0.9999999889009699,1.109903010572344e-08,1.316506503448942e-19,0.9999999889009699
ASP_0034,1,0.9598190908054325,0.0009384946096973483,0.9598190908054325,0.03924241458487028
ASP_0035,1,0.9999993941266624,1.025079575145432e-13,0.9999993941266624,6.058732349524783e-07
ASP_0036,1,1.0,7.445603524097272e-24,1.0,2.661024190998641e-24
ASP_0037,2,0.9960565489041857,0.003942298289838708,1.1528059755738174e-06,0.9960565489041857
ASP_0038,0,0.9999994428503223,0.9999994428503223,5.571496777151267e-07,3.1963942480257807e-43
ASP_0039,1,0.9999999999953193,5.772233447375006e-22,0.9999999999953193,4.680593191001172e-12
ASP_0040,2,0.8991231157188485,5.746813944103852e-11,0.10087688422368352,0.8991231157188485
ASP_0041,2,0.9999999999999982,2.212832860945274e-109,1.7282184732380788e-15,0.9999999999999982
ASP_0042,2,0.9999978921617753,2.107838223209937e-06,1.073471503753784e-15,0.9999978921617753
ASP_0043,1,0.9793427463722743,0.00012559218584466735,0.9793427463722743,0.020531661441881396
ASP_0044,1,0.9982557866123578,0.001709873645726878,0.9982557866123578,3.433974191515842e-05
ASP_0045,0,0.9999999999999662,0.9999999999999662,3.352946366076476e-14,4.190419548035037e-28
