point_id,lat,lon,population,weight,elevation_m
RJP_0001,26.875,75.875,2742833.876691699,0.0390143519457789,414.3336509058904
RJP_0002,26.875,75.625,1321002.166765213,0.0187900710623706,411.0876870701259
RJP_0003,25.125,75.875,1184473.7975344956,0.0168480774575026,308.16087847595765
RJP_0004,26.375,73.125,765090.6806398034,0.0108827287494786,258.61541697789255
RJP_0005,26.375,74.625,703935.1239979863,0.0100128458044927,427.63298095233847
RJP_0006,24.625,73.625,701123.3191981912,0.0099728504030233,756.0445371412511
RJP_0007,27.625,76.625,670955.2634944618,0.009543736867294,339.5709261221977
RJP_0008,28.125,73.375,657708.8739934117,0.0093553188568573,191.1842924348529
RJP_0009,25.375,74.625,556660.7704209685,0.0079180002099898,450.3499478829417
RJP_0010,26.875,76.625,491123.77503216267,0.0069857952283845,331.743409207655
RJP_0011,27.125,77.375,474688.5578681231,0.0067520190043878,194.01161496599246
RJP_0012,27.625,75.125,473220.9202796221,0.0067311431759633,378.6431851250172
RJP_0013,27.625,76.125,463242.7318748832,0.0065892123949883,414.3009881209435
RJP_0014,27.125,75.875,461256.095228076,0.0065609542704312,466.61959972633366
RJP_0015,27.125,76.625,455782.20474520326,0.00648309308765,363.0869363040641
RJP_0016,23.625,74.125,455467.8696575165,0.0064786219529436,208.87756370995703
RJP_0017,23.375,74.375,446141.2500662804,0.0063459591539717,209.93512095427593
RJP_0018,27.125,75.625,442390.8795146942,0.0062926134964494,455.82056603491003
RJP_0019,26.875,76.375,438017.5918968916,0.0062304074023323,379.50157904648887
RJP_0020,26.125,74.375,435141.01568478346,0.006189490685614,385.71905965913436
RJP_0021,28.125,76.875,422225.856395781,0.006005784127875,246.02072676767807
RJP_0022,27.875,76.375,421737.7472658157,0.0059988412132689,303.44269935770626
RJP_0023,27.625,77.125,409875.52309674025,0.0058301117132708,228.23823032393835
RJP_0024,26.625,74.875,398900.5337185264,0.0056740023324434,434.0093938966161
RJP_0025,27.375,75.875,388324.2154954672,0.0055235636912441,490.4885273162854
RJP_0026,27.375,77.125,386566.85621380806,0.0054985668315755,223.2503840665518
RJP_0027,26.875,77.875,383851.6025726795,0.0054599447837449,174.04947511701243
RJP_0028,23.625,74.375,382106.88644075394,0.0054351277615421,194.49438686057422
RJP_0029,27.125,77.125,377731.64031112194,0.0053728938093507,216.49396750228163
RJP_0030,26.125,73.125,376786.1268905252,0.0053594447289401,217.60171390395803
RJP_0031,27.875,76.625,374308.9735670686,0.0053242094445847,299.479349233046
RJP_0032,26.625,76.875,372735.6868137717,0.005301830851544,276.63292614259205
RJP_0033,29.875,73.875,366981.5729411245,0.0052199837423657,170.0893116055177
RJP_0034,29.625,74.375,364302.2188515067,0.0051818723334582,182.3430342070177
RJP_0035,23.625,73.875,362251.59481680393,0.0051527040456964,272.07925592901245
RJP_0036,27.375,76.875,359881.0615261793,0.0051189853356842,289.4749771997828
RJP_0037,26.875,77.125,356995.65363645554,0.0050779429962726,235.42085639910164
RJP_0038,26.375,72.875,356387.3596659601,0.0050692905600996,261.2587125987213
RJP_0039,27.125,76.875,351152.97289443016,0.0049948361028099,276.84164930493597
RJP_0040,26.625,77.125,350523.20013064146,0.0049858781500658,250.9085930369953
RJP_0041,24.875,74.625,348176.0788972974,0.004952492455571,438.5260197321461
RJP_0042,23.875,74.125,342884.25374019146,0.004877220988761,240.84526866016938
RJP_0043,25.125,73.875,332687.63337373734,0.0047321832090344,611.2304951391403
RJP_0044,28.375,75.625,330821.5254701376,0.0047056394977515,264.0191162533842
RJP_0045,23.375,74.125,329354.86923897266,0.004684777628255,188.36772472314706
RJP_0046,27.375,75.625,328853.0743364096,0.004677640045808,479.6050483759745
RJP_0047,27.875,75.375,326767.62616693974,0.0046479764159616,360.60456464809596
RJP_0048,26.875,76.875,324430.9313597083,0.0046147390280272,264.69985649087613
RJP_0049,27.875,73.375,323311.6623095572,0.0045988184296214,222.39796504476556
RJP_0050,24.625,73.875,319973.6179908514,0.0045513377429611,637.8932858219932
RJP_0051,27.375,77.375,317377.86096024513,0.0045144154272429,190.21755366575232
RJP_0052,27.375,76.625,317296.92674696445,0.004513264210646,376.2556152107244
RJP_0053,24.625,76.125,314299.2565076351,0.0044706250399953,336.40940753532044
RJP_0054,23.875,73.625,314095.24462109804,0.0044677231538803,410.1476361862869
RJP_0055,26.625,76.375,312614.9599727988,0.004446667432373,330.51018991258485
RJP_0056,26.375,76.625,309943.33269801736,0.0044086659304767,276.92290794065764
RJP_0057,26.125,75.875,309619.64065110683,0.0044040617014173,288.1461595097459
RJP_0058,28.125,75.375,305722.7351038456,0.0043486317150035,299.35825793275484
RJP_0059,27.875,75.125,301127.8346581459,0.0042832733771662,326.7734876493247
RJP_0060,26.125,76.375,297003.9912921488,0.0042246154038133,270.37123127227443
RJP_0061,27.875,75.875,296026.15887868404,0.0042107066147149,377.04987854223924
RJP_0062,27.625,76.875,294541.73929446936,0.0041895920774526,284.2365834822544
RJP_0063,26.125,72.875,290171.8888748288,0.0041274348743967,205.26872429996484
RJP_0064,26.625,77.875,288408.0163585544,0.0041023453698072,184.24305230698047
RJP_0065,28.125,75.625,285513.65574777126,0.0040611756859679,306.7739050956494
RJP_0066,25.875,71.375,278261.2186641097,0.0039580162729057,220.63775959744154
RJP_0067,27.625,76.375,274115.8854869455,0.0038990526262624,365.0530766272122
RJP_0068,28.125,75.875,273337.30431365967,0.0038879780073542,310.5508383501247
RJP_0069,26.875,76.125,269202.63855326176,0.0038291660951472,403.25220362266936
RJP_0070,27.625,75.625,264251.3094598055,0.0037587378794638,461.0629430188954
RJP_0071,26.875,77.375,262379.18062359095,0.0037321085258144,212.88871303210067
RJP_0072,27.125,75.375,259541.31671750543,0.0036917424569296,435.50670375778174
RJP_0073,27.625,75.375,250760.0825597048,0.0035668372766115,438.8626057477579
RJP_0074,27.625,75.875,250488.64097464085,0.0035629762635103,451.00081362200655
RJP_0075,27.125,77.625,250348.7077510357,0.0035609858389056,185.32411082339536
RJP_0076,26.625,76.125,249670.85011845827,0.0035513439220286,348.18912142844397
RJP_0077,25.375,75.625,248577.6117837429,0.0035357935872039,314.40743693373884
RJP_0078,24.875,73.875,248015.15831047297,0.0035277931909911,638.6935240531935
RJP_0079,27.125,76.375,247375.5610191524,0.0035186954931541,422.70886695826306
RJP_0080,26.375,76.875,247342.3022249341,0.003518222416635,274.5588392984608
RJP_0081,24.875,74.375,247328.23723113537,0.0035180223547126,483.33418243296643
RJP_0082,27.125,74.625,246473.33833390477,0.0035058621846279,351.8493449757308
RJP_0083,26.625,75.875,245699.89906430244,0.003494860704688,357.31358990136795
RJP_0084,27.125,74.875,245114.97891533372,0.003486540740163,387.5637103553456
RJP_0085,27.375,74.875,241122.78571403027,0.0034297553723306,368.9594660415382
RJP_0086,26.625,77.625,238182.0851955116,0.0033879265448644,221.96777226741548
RJP_0087,26.875,75.375,237684.6666400433,0.0033808512120298,390.4296705711176
RJP_0088,27.375,76.125,235059.48790171745,0.0033435103989066,456.7761516579311
RJP_0089,24.875,74.125,232701.203148067,0.0033099659133477,547.8013584053933
RJP_0090,24.375,76.625,232049.1296108961,0.003300690752103,339.0232269843678
RJP_0091,26.625,74.625,228218.0480888486,0.0032461970534126,406.38743265093075
RJP_0092,25.875,74.625,227816.60461860892,0.0032404868800888,444.54832028840127
RJP_0093,24.125,73.875,226396.3227298856,0.0032202846440221,427.78633671093087
RJP_0094,24.125,74.125,223620.37957692143,0.0031807993423158,355.11323351055154
RJP_0095,27.375,75.375,223427.61685168743,0.0031780574654314,453.3222613131141
RJP_0096,28.125,74.875,222331.13432770967,0.003162460984924,294.9037710539532
RJP_0097,23.625,74.625,221087.84905278683,0.0031447763669466,270.2736412440793
RJP_0098,24.625,74.625,220036.03256851435,0.0031298152207946,457.56922000950885
RJP_0099,27.625,74.375,219504.5435451269,0.0031222552661105,321.16943007104874
RJP_0100,27.875,76.125,215635.17670226097,0.0030672169930683,353.7828225139319
RJP_0101,27.375,74.625,215306.43787515163,0.0030625409780868,339.4358933893073
RJP_0102,24.875,73.125,211904.16696301103,0.0030141467257374,357.3713472649937
RJP_0103,25.125,76.375,211428.65474897623,0.0030073829909627,243.2491699669357
RJP_0104,25.875,73.375,210554.3588542044,0.0029949469159845,213.44876029594715
RJP_0105,26.375,76.375,210334.80665534732,0.0029918239828643,289.2734239170614
RJP_0106,26.375,75.875,209796.76630586383,0.0029841708414422,307.3921080497673
RJP_0107,25.875,72.125,209182.70184344053,0.0029754363251968,144.53625895756963
RJP_0108,24.625,74.125,206863.26502126452,0.0029424444166217,520.5263396681079
RJP_0109,26.875,77.625,206813.25684535503,0.00294173309517,193.6610875177813
RJP_0110,26.875,75.125,206802.49238288403,0.0029415799803456,404.45315845943827
RJP_0111,24.875,71.875,206562.5920379758,0.0029381676130973,52.070703059276106
RJP_0112,27.375,75.125,205180.63191342357,0.0029185104697565,419.45453826293897
RJP_0113,26.875,78.125,203674.11956173184,0.002897081682691,166.5589425447273
RJP_0114,23.125,74.375,202617.4611782432,0.0028820516648652,258.6823358543692
RJP_0115,25.125,76.125,199409.46216326952,0.0028364207560175,265.7705585145029
RJP_0116,27.875,75.625,199173.86278420687,0.002833069566151,377.3410553202419
RJP_0117,25.125,76.625,197976.9415908456,0.0028160444356515,242.13186372576263
RJP_0118,24.375,73.875,197109.5594609976,0.0028037067027786,552.1482970898575
RJP_0119,23.875,73.875,196152.9215787649,0.0027900993868783,322.65439180619785
RJP_0120,25.125,74.125,195385.73548704383,0.0027791868527855,532.223201618927
RJP_0121,26.625,76.625,191316.62574929,0.0027213074162058,308.8101509084397
RJP_0122,25.875,76.375,191300.5448462963,0.0027210786797831,276.6396976955688
RJP_0123,23.875,74.375,190888.12331342697,0.0027152123533642,238.42862090074084
RJP_0124,24.625,74.375,190469.1880244017,0.002709253374606,455.9309025157674
RJP_0125,26.875,74.625,186913.95091682675,0.0026586833153165,378.08313786117077
RJP_0126,25.375,75.875,186431.55415457487,0.0026518216540179,278.391936609979
RJP_0127,24.375,74.375,185256.09791989625,0.0026351018433045,455.3194711146263
RJP_0128,25.375,72.625,184161.57769060132,0.0026195332746791,174.3135656831079
RJP_0129,27.875,76.875,183961.2129585147,0.0026166832660651,278.07208031348625
RJP_0130,27.125,76.125,183945.3443194032,0.0026164575489058,455.5616537152086
RJP_0131,24.625,72.875,183860.47188133,0.0026152503145933,358.506578205223
RJP_0132,24.375,74.125,183768.93134105208,0.0026139482325073,452.5319812480562
RJP_0133,24.125,73.625,182408.7084117532,0.0025946002812736,553.4090009234806
RJP_0134,28.125,75.125,182219.9357922077,0.002591915160064,298.7121721134383
RJP_0135,27.875,74.875,180944.66272342205,0.0025737755444076,318.1134680452805
RJP_0136,24.125,74.375,178975.02300938964,0.0025457591859753,368.7037403350023
RJP_0137,25.625,76.125,178632.26099410653,0.0025408837037189,272.44332648317726
RJP_0138,24.875,72.875,177376.41205763817,0.0025230203789239,268.67435976161585
RJP_0139,25.625,74.125,176844.40739649534,0.0025154530897552,479.6162015220539
RJP_0140,25.875,75.125,176729.14035964012,0.0025138135195349,371.08613200290114
RJP_0141,26.625,77.375,176223.818587631,0.0025066257705332,240.49354623202115
RJP_0142,27.625,74.875,176120.4236819744,0.0025051550707314,336.2974777478803
RJP_0143,29.625,73.625,175994.9861960709,0.0025033708349949,165.59140712233537
RJP_0144,24.625,75.875,175744.46833446622,0.0024998074430941,387.2127845804888
RJP_0145,27.125,73.625,175640.26943281293,0.0024983253071704,307.4757566453631
RJP_0146,24.375,75.875,174819.19602274895,0.0024866462743037,396.7435462320212
RJP_0147,25.625,75.375,174636.23337239027,0.0024840437946951,330.9475525695574
RJP_0148,24.375,73.625,174561.526496768,0.0024829811563913,683.8171614574039
RJP_0149,26.125,74.125,173267.87823933363,0.0024645801701564,318.7017965009713
RJP_0150,23.625,73.625,172635.30561310053,0.0024555823918801,300.3253950285011
RJP_0151,25.125,74.375,172585.31641834974,0.0024548713404183,493.42777963486515
RJP_0152,25.125,73.125,172009.07541239262,0.0024466748289187,226.6202274891273
RJP_0153,26.875,74.875,171736.5136014223,0.0024427978816086,415.0112045302168
RJP_0154,24.625,72.625,170288.25447186828,0.0024221976943828,279.09617811956684
RJP_0155,28.125,74.625,168668.50561365485,0.0023991582195699,282.3305904826062
RJP_0156,27.125,75.125,168051.76268869638,0.0023903856045971,421.6385632612819
RJP_0157,25.125,73.375,167262.70728470013,0.002379161999151,338.7447966590273
RJP_0158,27.125,72.375,166947.40029221773,0.0023746770399706,222.1760971031137
RJP_0159,28.375,74.875,166911.48915231228,0.0023741662362129,251.72556098731474
RJP_0160,26.625,73.625,166903.75944805145,0.0023740562881022,306.7089778524012
RJP_0161,25.625,73.875,166565.73541077971,0.0023692481993338,356.90211847636556
RJP_0162,26.625,75.625,166509.86539453268,0.0023684534984605,354.9471312992969
RJP_0163,25.125,72.375,165486.68257898092,0.0023538996405656,139.146899441323
RJP_0164,24.875,73.625,165248.98565983772,0.0023505186150727,689.9442219214768
RJP_0165,25.875,74.375,164897.5169093609,0.0023455192873169,445.8273471477263
RJP_0166,24.875,72.375,164484.4794948697,0.0023396442005344,165.667487511663
RJP_0167,24.375,76.125,164298.8150048256,0.0023370032896794,362.861483422601
RJP_0168,25.625,71.375,164223.63896855712,0.0023359339779862,212.99825285966668
RJP_0169,26.625,75.125,163525.46529254317,0.002326003083612,397.3812671917781
RJP_0170,24.875,75.875,162847.8391391039,0.0023163644593181,348.71610758069784
RJP_0171,29.375,74.375,162469.69998911023,0.002310985769049,180.4211081415417
RJP_0172,24.875,76.375,161690.06592437625,0.0022998961737043,270.18122946227817
RJP_0173,25.375,73.625,161198.9485692382,0.0022929104697931,307.43751728737647
RJP_0174,29.875,73.625,159992.51377093792,0.0022757500167958,165.60176361512342
RJP_0175,27.375,76.375,159990.09639282525,0.0022757156317602,427.153793997568
RJP_0176,25.375,75.125,159491.98526245356,0.0022686304476688,368.1950772084504
RJP_0177,29.125,75.125,159433.59140253067,0.0022677998473828,199.6415637762386
RJP_0178,25.625,74.375,158713.45566415787,0.0022575565623685,510.6418639551988
RJP_0179,24.875,73.375,158594.16088251024,0.0022558597010909,483.80699616140583
RJP_0180,23.875,74.625,157249.98878404498,0.0022367400585303,319.81193286252187
RJP_0181,25.125,74.625,156024.7826846242,0.0022193126006099,446.1687130830865
RJP_0182,24.875,72.125,154999.20437151194,0.0022047246689105,100.53470771428063
RJP_0183,26.375,73.625,153306.3565185666,0.0021806454264574,280.57357164844774
RJP_0184,24.125,74.875,152870.61702758074,0.0021744474229974,461.4564897448415
RJP_0185,27.875,73.625,152513.89314338565,0.0021693733456777,234.2210965422698
RJP_0186,25.625,74.625,152031.59045749903,0.0021625130225311,455.71819608696654
RJP_0187,25.375,76.125,151372.57834368944,0.0021531391662567,240.86518499245412
RJP_0188,26.375,74.875,151251.68192607164,0.0021514195231438,454.83829252662736
RJP_0189,25.875,75.875,150872.3965445757,0.0021460245287596,295.8243039321532
RJP_0190,26.625,73.375,150667.94226294756,0.0021431163499712,290.6747370566147
RJP_0191,28.375,75.375,149994.7195224166,0.0021335403602767,260.9145583768412
RJP_0192,26.875,73.375,149925.8997913003,0.0021325614613235,300.9105368710263
RJP_0193,25.625,73.375,149828.27576187253,0.0021311728470604,216.42824360574204
RJP_0194,26.375,77.125,149528.4080236554,0.002126907497425,276.88666021589944
RJP_0195,27.625,74.625,149449.6518546939,0.0021257872615551,324.61256559643203
RJP_0196,26.875,73.875,148928.59369140863,0.0021183756765009,317.50084166420237
RJP_0197,26.375,76.125,148495.17669969797,0.0021122107085101,296.18917113960936
RJP_0198,24.625,76.375,148171.64057411253,0.0021076086972917,302.3564625948974
RJP_0199,29.375,73.875,148152.94856008887,0.0021073428201564,171.85310199265297
RJP_0200,25.375,73.375,147863.63673877716,0.0021032276189717,219.28703394189148
RJP_0201,26.375,75.375,147686.3273421526,0.0021007055518273,344.91686803406367
RJP_0202,26.875,73.625,147494.9588805735,0.0020979835070929,312.57473603689846
RJP_0203,26.625,74.125,147291.10003101826,0.0020950837977917,314.90295528098284
