name,family,pcm_type,Tm_C,Tm_freezing_C,latent_heat_kJ_kg,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested,cycles_status,flammability,supercooling_K,n_properties_imputed,any_property_imputed,rho_H_MJ_m3,Cp_avg_kJ_kgK,pcm_id,manufacturer,source_type,Tm_C_status,Tm_freezing_C_status,latent_heat_status,density_liquid_status,density_solid_status,Cp_liquid_status,Cp_solid_status,TC_liquid_W_mK,TC_solid_W_mK,TC_status,supercooling_status,supercooling_is_derived,flammability_status,is_inorganic,data_source_detail,rho_H_status,rho_H_is_derived,Cp_avg_status,Cp_avg_is_derived
PlusICE A50,Organic PCM,Organic PCM,50.0,48.9,190.0,810.0,810.0,2.15,2.15,0.18,1526.0,Imputed,Yes,1.1,4,True,153.9,2.15,16,PCM Products Ltd.,Manufacturer,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.18,0.18,Reported,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Paraffin/HDPE PCM6,Organic blend,Organic blend,50.3,49.3,187.0,851.0,953.0,2.19,2.02,0.1745,2000.0,Imputed,Yes,1.0,11,True,178.211,2.105,17,Literature,Literature,Reported,Imputed,Imputed,Imputed,Imputed,Imputed,Imputed,0.143,0.206,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
Paraffin/HDPE PCM2,Organic blend,Organic blend,50.6,49.2,187.0,846.0,954.0,2.06,2.02,0.177,2000.0,Imputed,Yes,1.4,11,True,178.398,2.04,18,Literature,Literature,Reported,Imputed,Imputed,Imputed,Imputed,Imputed,Imputed,0.146,0.208,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
savE® OM48,Pluss savE,Organic,51.0,48.0,165.0,875.0,960.0,2.35,2.02,0.15,2000.0,Reported,Yes,3.0,1,True,158.4,2.185,19,Pluss Advanced Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.1,0.2,Reported,Reported,True,Reported,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
PlusICE A52,Organic PCM,Organic PCM,52.0,49.2,220.0,810.0,810.0,2.15,2.15,0.18,1447.0,Imputed,Yes,2.8,4,True,178.2,2.15,20,PCM Products Ltd.,Manufacturer,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.18,0.18,Reported,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
n-Tetracosane (C24),Organic n-alkane,Organic n-alkane,52.0,49.3,255.0,799.0,799.0,2.39,2.0,0.2395,1368.0,Imputed,Yes,2.7,7,True,203.745,2.1950000000000003,21,Literature,Literature,Reported,Reported,Reported,Reported,Reported,Imputed,Imputed,0.173,0.306,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
Paraffin/Expanded graphite (92% paraffin),Organic/composite blend,Organic/composite blend,52.2,49.2,170.0,791.0,871.0,2.77,3.2,0.157,2000.0,Imputed,Yes,3.0,10,True,148.07,2.9850000000000003,22,Literature,Literature,Reported,Imputed,Reported,Imputed,Imputed,Imputed,Imputed,0.129,0.185,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
Palmitic-Stearic eutectic (64.2/35.8),Eutectic,Organic eutectic,52.3,,181.7,,,,,,,Missing,Unknown,,0,False,,,23,Singh2025_Table2,Literature,Reported,Missing,Reported,Missing,Missing,Missing,Missing,,,Missing,Missing,False,Missing,False,Singh2025_Table2_Literature,Missing,False,Missing,False
Myristic acid (C14),Organic fatty acid,Organic fatty acid,53.0,51.2,199.0,861.0,990.0,2.04,1.7,0.2329999999999999,1686.0,Imputed,Yes,1.8,5,True,197.01,1.87,24,Literature,Literature,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.25,0.216,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
PureTemp 53,Organic bio-based PCM,Organic bio-based PCM,53.0,51.1,225.0,840.0,920.0,2.6,2.36,0.2,1686.0,Imputed,Yes,1.9,4,True,207.0,2.48,25,PureTemp,Manufacturer,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.15,0.25,Reported,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
RT54HC,Organic (RT-line),Organic (RT-line),53.5,53.5,200.0,800.0,850.0,2.0,2.0,0.1855,1474.0,Imputed,Yes,0.0,4,True,170.0,2.0,26,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.172,0.199,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
RT55,Organic (RT-line),Organic (RT-line),54.0,56.5,170.0,770.0,880.0,2.0,2.0,0.172,2000.0,Imputed,Yes,0.0,4,True,149.6,2.0,27,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.147,0.197,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
n-Pentacosane (C25),Organic n-alkane,Organic n-alkane,54.0,50.6,238.0,801.0,801.0,2.39,2.05,0.239,1404.0,Imputed,Yes,3.4,8,True,190.638,2.22,28,Literature,Literature,Reported,Imputed,Reported,Reported,Reported,Imputed,Imputed,0.173,0.305,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
Myristic acid/NBR-1.0,Organic/polymer blend,Organic/polymer blend,54.1,49.2,128.0,778.0,860.0,2.77,2.89,0.1545,2000.0,Imputed,Yes,4.9,9,True,110.08,2.83,29,Literature,Literature,Reported,Reported,Reported,Imputed,Imputed,Imputed,Imputed,0.138,0.171,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
Myristic acid/NBR-0.5,Organic/polymer blend,Organic/polymer blend,54.6,50.5,142.0,778.0,865.0,2.77,2.93,0.157,2000.0,Imputed,Yes,4.1,9,True,122.83,2.85,30,Literature,Literature,Reported,Reported,Reported,Imputed,Imputed,Imputed,Imputed,0.138,0.176,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
savE® OM55,Pluss savE,Organic,55.0,54.0,188.0,841.0,935.0,2.76,2.68,0.13,2000.0,Reported,Yes,1.0,1,True,175.78,2.72,31,Pluss Advanced Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.1,0.16,Reported,Reported,True,Reported,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
Palmitic-stearic acid/Expanded graphite,Organic/eutectic composite,Organic/eutectic composite,55.2,54.9,176.0,777.0,856.0,2.83,3.24,0.16,2000.0,Imputed,Yes,0.3,9,True,150.656,3.035,32,Literature,Literature,Reported,Reported,Reported,Imputed,Imputed,Imputed,Imputed,0.139,0.181,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Imputed,True,Imputed,True
n-Hexacosane (C26),Organic n-alkane,Organic n-alkane,56.5,56.2,256.0,770.0,770.0,2.38,2.2,0.238,1404.0,Imputed,Yes,0.3,7,True,197.12,2.29,33,Literature,Literature,Reported,Imputed,Reported,Reported,Reported,Imputed,Imputed,0.177,0.299,Imputed,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Imputed,True
RT57HC,Organic (RT-line),Organic (RT-line),56.5,56.5,240.0,800.0,900.0,2.0,2.0,0.239,1404.0,Imputed,Yes,0.0,4,True,216.0,2.0,34,Rubitherm Technologies,Manufacturer,Reported,Reported,Reported,Reported,Reported,Reported,Reported,0.174,0.304,Imputed,Reported,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
PlusICE A58,Organic PCM,Organic PCM,58.0,58.2,215.0,910.0,910.0,2.22,2.22,0.22,1581.0,Imputed,Yes,0.0,4,True,195.65,2.22,35,PCM Products Ltd.,Manufacturer,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.22,0.22,Reported,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
PureTemp 58,Organic bio-based PCM,Organic bio-based PCM,58.0,58.1,225.0,810.0,890.0,2.71,2.47,0.2,1620.0,Imputed,Yes,0.0,4,True,200.25,2.59,36,PureTemp,Manufacturer,Reported,Imputed,Reported,Reported,Reported,Reported,Reported,0.15,0.25,Reported,Imputed,True,Imputed,False,MICE_RF_PMM_Cleaned_Dataset,Reported,True,Reported,True
