cluster_id,year,ghi_daily_kWh_mean,ta_mean_true_mean,n_days,ghi_baseline_mean,ta_baseline_mean,ghi_scale,tamb_offset_C
0,2016,5.374574836767282,26.010632871094007,366,5.163876099005877,25.629430647655898,1.0408024386568777,0.38120222343810894
0,2017,5.3169038526467105,26.005023212170244,365,5.163876099005877,25.629430647655898,1.0296342806656986,0.37559256451434564
0,2018,5.203444463153928,26.16584372171577,365,5.163876099005877,25.629430647655898,1.0076625316698957,0.5364130740598725
0,2019,5.091926192939593,25.160263594678188,365,5.163876099005877,25.629430647655898,0.9860666862088082,-0.4691670529777099
0,2020,5.277337046587024,25.337248337693545,366,5.163876099005877,25.629430647655898,1.0219720507242591,-0.29218230996235306
0,2021,5.069243645880471,25.755543717961565,365,5.163876099005877,25.629430647655898,0.9816741433545192,0.1261130703056672
0,2022,5.2818969072164,25.67184309071651,365,5.163876099005877,25.629430647655898,1.0228550813280055,0.04241244306061276
0,2023,5.0936645233414275,25.144748840635994,365,5.163876099005877,25.629430647655898,0.986403319073057,-0.4846818070199035
0,2024,4.941660024357361,25.853108672757475,366,5.163876099005877,25.629430647655898,0.9569671947219461,0.2236780251015773
0,2025,4.988109497168577,25.190050417135666,365,5.163876099005877,25.629430647655898,0.9659622735969328,-0.4393802305202321
1,2016,5.606899843434111,26.97806934634884,366,5.3809900512077835,26.56037556615002,1.0419829418148843,0.4176937801988174
1,2017,5.504200564511835,26.452911540270986,365,5.3809900512077835,26.56037556615002,1.0228973687242549,-0.10746402587903603
1,2018,5.428897319059567,26.933920238422868,365,5.3809900512077835,26.56037556615002,1.0089030582468799,0.37354467227284616
1,2019,5.331614962694473,26.1856964100079,365,5.3809900512077835,26.56037556615002,0.9908241628318513,-0.3746791561421219
1,2020,5.4473262916088965,26.11632683482875,366,5.3809900512077835,26.56037556615002,1.012327887576418,-0.44404873132127065
1,2021,5.3892754800662885,26.839156744489486,365,5.3809900512077835,26.56037556615002,1.0015397591855137,0.2787811783394645
1,2022,5.426153722256909,26.766312003821255,365,5.3809900512077835,26.56037556615002,1.0083931898441232,0.20593643767123382
1,2023,5.290947032592565,26.00318838325906,365,5.3809900512077835,26.56037556615002,0.9832664588192265,-0.55718718289096
1,2024,5.165009309049542,26.820405477866323,366,5.3809900512077835,26.56037556615002,0.9598622669614927,0.26002991171630185
1,2025,5.219575986803642,26.507768682184736,365,5.3809900512077835,26.56037556615002,0.9700029059953547,-0.05260688396528579
2,2016,5.257163552182656,26.41293818490979,366,5.033456846813169,25.690840919497525,1.04444395018726,0.7220972654122662
2,2017,5.187858070382981,26.233669566209787,365,5.033456846813169,25.690840919497525,1.0306749870454472,0.5428286467122625
2,2018,5.0717069069371385,25.937280016477025,365,5.033456846813169,25.690840919497525,1.0075991632168628,0.2464390969795005
2,2019,4.94892157278947,25.31544745891839,365,5.033456846813169,25.690840919497525,0.9832053245718754,-0.3753934605791365
2,2020,5.113198020295831,25.456186896370912,366,5.033456846813169,25.690840919497525,1.0158422284941508,-0.23465402312661254
2,2021,5.005072046716314,25.583567008424854,365,5.033456846813169,25.690840919497525,0.9943607741238853,-0.10727391107267081
2,2022,5.089092328189628,25.842440871775747,365,5.033456846813169,25.690840919497525,1.0110531356619623,0.15159995227822165
2,2023,4.957101075359508,25.208287252841362,365,5.033456846813169,25.690840919497525,0.9848303514309447,-0.4825536666561625
2,2024,4.8200424529432055,25.6793334539322,366,5.033456846813169,25.690840919497525,0.9576008297349201,-0.011507465565326669
2,2025,4.88441244233496,25.2392584851152,365,5.033456846813169,25.690840919497525,0.9703892555326915,-0.45158243438232404
