timestamp_utc,GHI_Wm2,T_amb_C,RH_pct,WS_ms,local_hour,local_date,point_id,cluster_id,year,wind_ms,GHI_clearsky_Wm2,Tmains_C,sp_Pa
2025-01-01 00:00:00+00:00,8.088888888888889,10.797265625000023,87.79082305164034,1.0689083971301856,5,2025-01-01,ASP_0028,2,2025,1.0689083971301856,8.124444444444444,9.933857218424501,96163.953125
2025-01-01 01:00:00+00:00,150.61333333333334,11.171105957031273,86.1387340978367,1.3329686815855202,6,2025-01-01,ASP_0028,2,2025,1.3329686815855202,152.90666666666667,9.933857218424501,96214.0
2025-01-01 02:00:00+00:00,150.61333333333334,13.490014648437523,81.10851680593554,1.0636835813722993,7,2025-01-01,ASP_0028,2,2025,1.0636835813722993,152.90666666666667,9.933857218424501,96256.75
2025-01-01 03:00:00+00:00,147.2888888888889,15.808923339843773,76.07829951403436,0.7943984811590783,8,2025-01-01,ASP_0028,2,2025,0.7943984811590783,160.62222222222223,9.933857218424501,96299.5
2025-01-01 04:00:00+00:00,126.89777777777778,18.127832031250023,71.04808222213319,0.5251133809458574,9,2025-01-01,ASP_0028,2,2025,0.5251133809458574,111.30666666666667,9.933857218424501,96342.25
2025-01-01 05:00:00+00:00,34.82666666666667,20.871484375000023,63.34921363504695,0.6167387298422043,10,2025-01-01,ASP_0028,2,2025,0.6167387298422043,49.19111111111111,9.933857218424501,96280.15625
2025-01-01 06:00:00+00:00,615.6977777777778,21.985253906250023,60.45977138438633,0.8273401266262727,11,2025-01-01,ASP_0028,2,2025,0.8273401266262727,617.2444444444444,9.933857218424501,96170.40625
2025-01-01 07:00:00+00:00,531.0577777777778,22.404687500000023,59.81521617404272,0.9335044794217802,12,2025-01-01,ASP_0028,2,2025,0.9335044794217802,535.0044444444444,9.933857218424501,96045.765625
2025-01-01 08:00:00+00:00,380.9422222222222,22.914697265625023,57.467105245377084,1.014169082445131,13,2025-01-01,ASP_0028,2,2025,1.014169082445131,396.46222222222224,9.933857218424501,95965.83203125
2025-01-01 09:00:00+00:00,218.77333333333334,23.424707031250023,55.118994316711444,1.0948336854684821,14,2025-01-01,ASP_0028,2,2025,1.0948336854684821,219.46666666666667,9.933857218424501,95885.8984375
