point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean,cluster_id,GHI_daily_kWh,GHIcs_daily_kWh,Ta_mean_C,Ta_max_C,Ta_min_C,DTR_C,RH_mean_pct,wind_mean_ms
RJP_0202,2016-01-01,24,4077.88,4113.03,0.9914539889084204,9.82,26.97,17.063333333333333,33.215,2.9120833333333334,1,4.07788,4.11303,17.063333333333333,26.97,9.82,17.15,33.215,2.9120833333333334
RJP_0202,2016-01-02,24,3921.22,3924.5,0.9991642247420054,10.41,26.75,16.769166666666667,30.652083333333334,2.61,1,3.92122,3.9245,16.769166666666667,26.75,10.41,16.34,30.652083333333334,2.61
RJP_0202,2016-01-03,24,3792.81,3995.24,0.9493322053243358,11.34,28.22,18.58875,23.345416666666665,1.7125,1,3.79281,3.99524,18.58875,28.22,11.34,16.88,23.345416666666665,1.7125
RJP_0202,2016-01-04,24,3923.37,4168.53,0.9411879007707754,11.83,28.9,20.50958333333333,26.061666666666667,2.7304166666666667,1,3.92337,4.16853,20.50958333333333,28.9,11.83,17.07,26.061666666666667,2.7304166666666667
RJP_0202,2016-01-05,24,4111.85,4162.98,0.9877179328269656,12.18,27.93,19.090416666666663,35.03333333333333,2.311666666666667,1,4.1118500000000004,4.162979999999999,19.090416666666663,27.93,12.18,15.75,35.03333333333333,2.311666666666667
RJP_0202,2016-01-06,24,3887.51,4212.56,0.9228378942970548,11.53,25.73,17.53333333333333,39.98666666666667,2.3875,1,3.8875100000000002,4.212560000000001,17.53333333333333,25.73,11.53,14.200000000000001,39.98666666666667,2.3875
RJP_0202,2016-01-07,24,3401.41,4111.81,0.8272293710069287,12.06,26.24,18.640416666666667,43.742916666666666,2.51125,1,3.40141,4.11181,18.640416666666667,26.24,12.06,14.179999999999998,43.742916666666666,2.51125
RJP_0202,2016-01-08,24,4071.18,4073.89,0.999334788126336,10.9,25.9,17.370416666666667,43.76083333333333,2.619166666666666,1,4.07118,4.07389,17.370416666666667,25.9,10.9,14.999999999999998,43.76083333333333,2.619166666666666
RJP_0202,2016-01-09,24,4296.01,4299.66,0.9991510956680296,10.83,25.48,17.471666666666668,34.38583333333333,2.1404166666666664,1,4.29601,4.29966,17.471666666666668,25.48,10.83,14.65,34.38583333333333,2.1404166666666664
RJP_0202,2016-01-10,24,4496.21,4498.2,0.9995576008181052,10.3,27.3,18.085416666666667,25.84833333333334,2.5591666666666666,1,4.49621,4.4982,18.085416666666667,27.3,10.3,17.0,25.84833333333334,2.5591666666666666
RJP_0202,2016-01-11,24,4357.59,4384.79,0.9937967382702478,9.47,27.16,17.520833333333332,27.360833333333336,2.6675000000000004,1,4.35759,4.38479,17.520833333333332,27.16,9.47,17.689999999999998,27.360833333333336,2.6675000000000004
RJP_0202,2016-01-12,24,4176.28,4262.700000000001,0.9797264644474156,10.62,25.01,17.124166666666667,43.75583333333333,3.2833333333333337,1,4.176279999999999,4.262700000000001,17.124166666666667,25.01,10.62,14.390000000000002,43.75583333333333,3.2833333333333337
RJP_0202,2016-01-13,24,4324.59,4332.320000000001,0.9982157366030208,8.1,23.96,14.77125,40.39625,3.4133333333333336,1,4.32459,4.332320000000001,14.77125,23.96,8.1,15.860000000000001,40.39625,3.4133333333333336
RJP_0202,2016-01-14,24,3691.58,4139.9800000000005,0.8916902980207633,7.89,22.12,13.898333333333332,42.97166666666667,2.51125,1,3.69158,4.13998,13.898333333333332,22.12,7.89,14.23,42.97166666666667,2.51125
RJP_0202,2016-01-15,24,4283.85,4286.16,0.9994610560501708,7.06,22.52,13.48625,44.93208333333333,3.202916666666667,1,4.28385,4.28616,13.48625,22.52,7.06,15.46,44.93208333333333,3.202916666666667
RJP_0202,2016-01-16,24,4354.59,4366.120000000001,0.9973592113821882,6.36,23.37,13.772916666666667,35.92166666666667,2.66625,1,4.35459,4.3661200000000004,13.772916666666667,23.37,6.36,17.01,35.92166666666667,2.66625
RJP_0202,2016-01-17,24,4220.1900000000005,4229.360000000001,0.9978318232545822,6.53,24.79,14.910833333333334,29.469583333333333,3.5925,1,4.2201900000000006,4.229360000000001,14.910833333333334,24.79,6.53,18.259999999999998,29.469583333333333,3.5925
RJP_0202,2016-01-18,24,3369.96,3403.73,0.9900785314933912,7.24,24.64,15.374166666666667,31.2525,2.8191666666666664,1,3.36996,3.40373,15.374166666666667,24.64,7.24,17.4,31.2525,2.8191666666666664
RJP_0202,2016-01-19,24,3721.38,3729.25,0.9978896560970704,8.33,22.71,14.121666666666668,30.955416666666668,3.092916666666666,1,3.72138,3.72925,14.121666666666668,22.71,8.33,14.38,30.955416666666668,3.092916666666666
RJP_0202,2016-01-20,24,4405.099999999999,4421.47,0.9962976114278732,7.17,23.07,14.0325,26.720416666666665,2.39875,1,4.405099999999999,4.42147,14.0325,23.07,7.17,15.9,26.720416666666665,2.39875
RJP_0202,2016-01-21,24,4819.24,4851.18,0.9934160348616212,6.37,23.65,15.33625,20.56,2.172083333333333,1,4.81924,4.85118,15.33625,23.65,6.37,17.279999999999998,20.56,2.172083333333333
RJP_0202,2016-01-22,24,4882.27,4913.05,0.9937350525640896,7.04,24.69,15.97,17.863333333333333,2.1791666666666667,1,4.88227,4.91305,15.97,24.69,7.04,17.650000000000002,17.863333333333333,2.1791666666666667
RJP_0202,2016-01-23,24,4881.66,4903.59,0.995527766391562,6.64,24.95,14.78375,23.24083333333333,2.64625,1,4.88166,4.90359,14.78375,24.95,6.64,18.31,23.24083333333333,2.64625
RJP_0202,2016-01-24,24,4888.43,4892.629999999999,0.9991415659880272,5.74,24.37,13.599166666666669,24.29083333333333,2.8525000000000005,1,4.8884300000000005,4.89263,13.599166666666669,24.37,5.74,18.630000000000003,24.29083333333333,2.8525000000000005
RJP_0202,2016-01-25,24,4732.18,4844.28,0.976859306233331,4.76,25.22,14.391666666666666,19.35875,2.7433333333333336,1,4.7321800000000005,4.8442799999999995,14.391666666666666,25.22,4.76,20.46,19.35875,2.7433333333333336
RJP_0202,2016-01-26,24,4609.77,4693.83,0.9820913837953228,7.46,27.13,16.93375,18.61375,2.4916666666666667,1,4.60977,4.69383,16.93375,27.13,7.46,19.669999999999998,18.61375,2.4916666666666667
RJP_0202,2016-01-27,24,4217.18,4241.11,0.9943576092107964,10.47,25.67,16.829166666666666,22.61708333333333,2.707916666666667,1,4.21718,4.24111,16.829166666666666,25.67,10.47,15.200000000000001,22.61708333333333,2.707916666666667
RJP_0202,2016-01-28,24,4149.639999999999,4183.54,0.9918968146593552,10.19,27.66,19.203333333333333,26.969166666666663,1.7420833333333334,1,4.14964,4.18354,19.203333333333333,27.66,10.19,17.47,26.969166666666663,1.7420833333333334
