point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean
RJP_0055,2016-01-01,24,3958.19,3979.13,0.9947375431312876,11.2,26.74,17.366666666666664,30.260416666666668,2.4970833333333333
RJP_0055,2016-01-02,24,3458.1800000000003,3570.0,0.9686778711484596,11.23,25.82,17.45416666666667,28.13458333333333,1.5066666666666666
RJP_0055,2016-01-03,24,3691.12,3704.7800000000007,0.9963128714795478,10.84,28.03,19.617916666666662,21.352500000000003,0.9333333333333332
RJP_0055,2016-01-04,24,3666.83,3829.36,0.9575568763448724,13.26,27.24,18.695833333333333,24.95458333333333,1.9258333333333333
RJP_0055,2016-01-05,24,4024.43,4035.35,0.997293915025958,12.36,28.59,20.207916666666662,26.974166666666665,1.7879166666666666
RJP_0055,2016-01-06,24,4027.86,4134.34,0.9742449822704468,13.51,28.73,20.204166666666666,33.6275,1.985
RJP_0055,2016-01-07,24,3803.03,3993.97,0.952192930843246,11.92,28.7,20.326666666666668,34.013749999999995,2.305
RJP_0055,2016-01-08,24,3950.86,3958.12,0.998165795882894,10.38,27.85,18.419166666666666,38.14958333333333,2.9925
RJP_0055,2016-01-09,24,4196.62,4215.67,0.9954811453458168,9.27,25.82,16.874583333333334,31.66625,2.7783333333333338
RJP_0055,2016-01-10,24,4401.04,4433.01,0.9927881958308236,11.0,27.18,19.03125,25.06,1.2991666666666666
RJP_0055,2016-01-11,24,4474.75,4497.17,0.9950146425418652,10.96,27.48,18.464166666666667,23.826666666666668,1.9266666666666667
RJP_0055,2016-01-12,24,4195.009999999999,4208.02,0.9969082846564415,10.63,27.27,18.285,32.33583333333333,2.480833333333333
RJP_0055,2016-01-13,24,3945.48,4058.04,0.9722624715379838,9.19,27.01,17.0125,37.84708333333333,3.29875
RJP_0055,2016-01-14,24,3461.3500000000004,3834.84,0.902606106121768,8.48,25.27,15.871250000000002,36.58,2.6954166666666666
RJP_0055,2016-01-15,24,2797.59,3242.29,0.8628438541894773,7.24,24.62,14.851666666666665,41.51541666666667,2.268333333333333
RJP_0055,2016-01-16,24,3471.25,3806.15,0.9120108245865244,6.48,24.21,14.769166666666669,29.985,2.1791666666666667
RJP_0055,2016-01-17,24,3585.8,3792.93,0.9453905028566308,5.64,23.75,13.861666666666666,28.185416666666665,2.9029166666666666
RJP_0055,2016-01-18,24,2719.32,3345.4500000000003,0.8128413217952741,7.0,24.61,15.68,27.506666666666664,2.556666666666666
RJP_0055,2016-01-19,24,1892.3,2737.67,0.6912082172066027,5.72,18.64,11.435416666666669,68.88041666666668,2.615416666666667
RJP_0055,2016-01-20,24,2631.73,3498.3,0.7522882542949431,5.54,22.44,13.514583333333334,37.97416666666667,2.117083333333333
RJP_0055,2016-01-21,24,3716.82,4418.81,0.8411359619445056,6.79,23.09,15.013333333333335,20.106666666666666,1.1345833333333333
RJP_0055,2016-01-22,24,4749.29,4824.44,0.9844230625730656,6.51,23.78,13.842916666666667,20.30625,2.5108333333333337
RJP_0055,2016-01-23,24,4833.93,4885.77,0.9893895946800606,7.28,24.76,15.249583333333334,20.4775,2.1891666666666665
RJP_0055,2016-01-24,24,4817.9400000000005,4850.320000000001,0.9933241518085404,5.74,26.13,15.706666666666669,20.23,2.2775
RJP_0055,2016-01-25,24,4617.360000000001,4797.879999999999,0.9623750489799664,4.77,25.04,14.652916666666664,22.26875,2.3191666666666664
RJP_0055,2016-01-26,24,4267.68,4637.74,0.9202068248759095,7.1,26.92,16.012916666666666,24.565416666666668,2.313333333333333
RJP_0055,2016-01-27,24,4612.95,4622.36,0.9979642433735147,8.59,27.78,17.694166666666664,25.10625,2.330833333333333
RJP_0055,2016-01-28,24,4414.76,4429.38,0.9966993123191056,10.26,28.81,20.379583333333333,25.16625,1.7675
RJP_0055,2016-01-29,24,4442.45,4492.15,0.9889362554678718,12.57,30.16,21.04625,34.17875,2.401666666666667
RJP_0055,2016-01-30,24,4587.599999999999,4662.37,0.9839630917323164,14.12,30.22,21.065416666666668,45.092083333333335,2.9545833333333333
RJP_0055,2016-01-31,24,4345.08,4464.9400000000005,0.9731552943600584,13.36,29.19,21.109583333333333,36.46333333333333,2.9883333333333333
RJP_0055,2016-02-01,24,3573.62,4123.389999999999,0.8666703852897738,10.55,26.9,18.637083333333333,26.464166666666667,2.5500000000000003
RJP_0055,2016-02-02,24,4625.62,4641.8,0.9965142832521866,8.17,26.3,16.995833333333334,21.660416666666663,2.205833333333333
RJP_0055,2016-02-03,24,5235.75,5266.9400000000005,0.9940781554375026,7.42,25.91,15.479583333333332,18.7025,2.74875
RJP_0055,2016-02-04,24,5226.860000000001,5256.72,0.9943196517980796,8.82,26.96,16.62875,17.161666666666665,1.9116666666666664
RJP_0055,2016-02-05,24,5251.75,5278.15,0.994998247492019,7.89,27.13,17.096249999999998,17.70416666666667,2.1766666666666667
RJP_0055,2016-02-06,24,4759.9400000000005,4799.200000000001,0.991819469911652,8.05,29.58,18.860416666666666,21.971666666666668,2.61125
