cluster_id,medoid_point,weather_year,annual_solar_fraction,in_band_54_84pct,hours_target_met,mean_melt_fraction
0,RJP_0094,2025,0.6491590196099927,True,4296,0.4778687274344264
1,RJP_0192,2025,0.6578698361166626,True,4414,0.4898234973539725
2,RJP_0083,2025,0.6380762072414229,True,4312,0.478023076105488
