k,kmeans_silhouette
2,0.308292825649951
3,0.3043943639062116
4,0.2636746465834055
5,0.2883385555663367
6,0.3006320200826533
7,0.305609595839124
8,0.3090885118628369
9,0.3055927361609807
10,0.297761032226535
11,0.2957292305488684
12,0.3095892727540055
