cluster_id,point_id,lat,lon,population,max_membership_prob,cluster_n_points
0,RJP_0094,24.125,74.125,223620.37957692143,1.0,109
1,RJP_0192,26.875,73.375,149925.8997913003,1.0,83
2,RJP_0083,26.625,75.875,245699.89906430244,0.9999999999999432,128
