point_id,season,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4,prob_cluster5,prob_cluster6,prob_cluster7
RJP_0056,Monsoon,6,0.9999999999997478,8,0.8128013668447922,50,3.6283289667205215e-199,7.470660076512766e-21,0.0,0.0,0.0,2.5350059376455277e-13,0.9999999999997478,0.0
RJP_0056,Retreat,4,1.0,8,0.8128013668447922,50,3.4941555824314173e-23,0.0,0.0,0.0,1.0,0.0,0.0,3.585605015498982e-292
RJP_0057,Winter,2,0.9999688942725584,8,0.8128013668447922,50,0.0,0.0,0.9999688942725584,0.0,0.0,0.0,0.0,3.110572744166734e-05
RJP_0057,Summer,3,1.0,8,0.8128013668447922,50,1.8499894668900715e-35,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0057,Monsoon,6,0.9999999999842686,8,0.8128013668447922,50,4.638438415054418e-201,6.944174562877004e-21,0.0,0.0,0.0,1.57319279062691e-11,0.9999999999842686,0.0
RJP_0057,Retreat,4,1.0,8,0.8128013668447922,50,7.157763590261885e-22,0.0,0.0,0.0,1.0,0.0,0.0,1.3235120295419258e-279
RJP_0058,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.159218701899729e-25
RJP_0058,Summer,3,1.0,8,0.8128013668447922,50,8.462234793637842e-39,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0058,Monsoon,5,1.0,8,0.8128013668447922,50,6.480021887745396e-180,4.4434590796492734e-60,0.0,0.0,0.0,1.0,1.4051136055562477e-19,0.0
RJP_0058,Retreat,0,1.0,8,0.8128013668447922,50,1.0,0.0,0.0,0.0,1.2457074995465217e-17,0.0,0.0,0.0
RJP_0059,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.128273697831049e-20
RJP_0059,Summer,3,1.0,8,0.8128013668447922,50,2.114652303498098e-37,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0059,Monsoon,5,0.9999999999995062,8,0.8128013668447922,50,5.7788210707324495e-173,1.48011390635413e-51,0.0,0.0,0.0,0.9999999999995062,4.939614769961909e-13,0.0
RJP_0059,Retreat,0,0.9999999999999187,8,0.8128013668447922,50,0.9999999999999187,0.0,0.0,0.0,8.127295833844804e-14,0.0,0.0,0.0
RJP_0060,Winter,2,0.9999999945566227,8,0.8128013668447922,50,0.0,0.0,0.9999999945566227,0.0,0.0,0.0,0.0,5.4433774074579504e-09
RJP_0060,Summer,3,1.0,8,0.8128013668447922,50,1.968561044984296e-34,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0060,Monsoon,6,0.9999999999935749,8,0.8128013668447922,50,1.0852675265972864e-203,2.2385227055898352e-20,0.0,0.0,0.0,6.42467900923724e-12,0.9999999999935749,0.0
RJP_0060,Retreat,4,1.0,8,0.8128013668447922,50,1.1440808150291546e-21,0.0,0.0,0.0,1.0,0.0,0.0,1.0301685499852139e-287
RJP_0061,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.58127321906724e-28
RJP_0061,Summer,3,0.999999999999959,8,0.8128013668447922,50,4.1011598308262895e-14,0.0,0.0,0.999999999999959,0.0,0.0,0.0,0.0
RJP_0061,Monsoon,6,0.9954083183320719,8,0.8128013668447922,50,6.697790586846427e-162,5.200852717581179e-38,0.0,0.0,0.0,0.004591681667928133,0.9954083183320719,0.0
RJP_0061,Retreat,4,0.9999999999998126,8,0.8128013668447922,50,1.870772024979187e-13,0.0,0.0,0.0,0.9999999999998126,0.0,0.0,2.086102226054606e-309
RJP_0062,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4321487826352545e-31
RJP_0062,Summer,3,0.9999999999999964,8,0.8128013668447922,50,3.5942531594572075e-15,0.0,0.0,0.9999999999999964,0.0,0.0,0.0,0.0
RJP_0062,Monsoon,6,0.9999958710991691,8,0.8128013668447922,50,3.4852836780449286e-185,3.892181788311522e-36,0.0,0.0,0.0,4.128900830725498e-06,0.9999958710991691,0.0
RJP_0062,Retreat,4,1.0,8,0.8128013668447922,50,2.189378638402687e-21,0.0,0.0,0.0,1.0,0.0,0.0,1.2111279e-315
RJP_0063,Winter,7,1.0,8,0.8128013668447922,50,2.165807396896655e-245,0.0,9.43049827910103e-30,0.0,1.6240391071764454e-291,0.0,0.0,1.0
RJP_0063,Summer,3,1.0,8,0.8128013668447922,50,2.507680931337231e-59,0.0,0.0,1.0,0.0,6.446796e-318,0.0,0.0
RJP_0063,Monsoon,5,0.9999173519413098,8,0.8128013668447922,50,5.601989395120516e-199,1.111243131250765e-37,0.0,0.0,0.0,0.9999173519413098,8.264805869014733e-05,0.0
RJP_0063,Retreat,0,1.0,8,0.8128013668447922,50,1.0,0.0,0.0,6.45437478888e-312,4.327245221250202e-20,0.0,0.0,5e-324
RJP_0064,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.737213274054364e-20
RJP_0064,Summer,3,1.0,8,0.8128013668447922,50,1.1380652564134894e-32,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0064,Monsoon,6,0.9996833518353802,8,0.8128013668447922,50,3.802588325074839e-208,2.1633375413068823e-28,0.0,0.0,0.0,0.0003166481646198478,0.9996833518353802,0.0
RJP_0064,Retreat,4,1.0,8,0.8128013668447922,50,3.2326255879009985e-19,0.0,0.0,0.0,1.0,0.0,0.0,5.3104587e-316
RJP_0065,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.049463005204394e-29
RJP_0065,Summer,3,1.0,8,0.8128013668447922,50,1.7393875052255152e-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0065,Monsoon,5,0.9999999999970983,8,0.8128013668447922,50,6.58285319069025e-172,8.816089589962202e-54,0.0,0.0,0.0,0.9999999999970983,2.9014249533938376e-12,0.0
RJP_0065,Retreat,0,0.9946987097812348,8,0.8128013668447922,50,0.9946987097812348,0.0,0.0,0.0,0.005301290218765054,0.0,0.0,7e-323
RJP_0066,Winter,7,1.0,8,0.8128013668447922,50,1.1201407094685747e-260,0.0,2.5002791777654102e-31,0.0,4.2233e-320,0.0,0.0,1.0
RJP_0066,Summer,3,1.0,8,0.8128013668447922,50,2.0949713732255945e-48,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RJP_0066,Monsoon,5,1.0,8,0.8128013668447922,50,1.0857211056775683e-180,2.1017782874750633e-71,0.0,0.0,0.0,1.0,3.14200708340882e-29,0.0
RJP_0066,Retreat,0,1.0,8,0.8128013668447922,50,1.0,0.0,0.0,7.638854228511197e-288,5.750418174282165e-35,0.0,0.0,0.0
RJP_0067,Winter,2,1.0,8,0.8128013668447922,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1337047159313814e-29
RJP_0067,Summer,3,0.9999999997210107,8,0.8128013668447922,50,2.7898918468479773e-10,0.0,0.0,0.9999999997210107,0.0,0.0,0.0,0.0
RJP_0067,Monsoon,6,0.9999999976786391,8,0.8128013668447922,50,1.9468815305038563e-172,2.7014284170244658e-33,0.0,0.0,0.0,2.321360790606005e-09,0.9999999976786391,0.0
