point_id,lat,lon,population,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
RJP_0001,26.875,75.875,2742833.876691699,2,0.9999999999999964,3,0.8199561901545539,50,4.654143513527139e-15,1.6261565713991348e-29,0.9999999999999964
RJP_0002,26.875,75.625,1321002.166765213,2,0.9999999999999964,3,0.8199561901545539,50,5.13506288381154e-15,1.1844413415625923e-28,0.9999999999999964
RJP_0003,25.125,75.875,1184473.7975344956,0,1.0,3,0.8199561901545539,50,1.0,3.1525749295541547e-43,4.942063560876595e-19
RJP_0004,26.375,73.125,765090.6806398034,1,1.0,3,0.8199561901545539,50,3.9209417377395994e-50,1.0,5.623475647520768e-24
RJP_0005,26.375,74.625,703935.1239979863,2,0.9999999954324927,3,0.8199561901545539,50,4.539452730652722e-16,4.5675078353373355e-09,0.9999999954324927
RJP_0006,24.625,73.625,701123.3191981912,0,1.0,3,0.8199561901545539,50,1.0,5.414091475620547e-83,8.17823243738371e-39
RJP_0007,27.625,76.625,670955.2634944618,2,1.0,3,0.8199561901545539,50,2.532839604683002e-39,4.176420448667869e-38,1.0
RJP_0008,28.125,73.375,657708.8739934117,1,1.0,3,0.8199561901545539,50,8.566176973410629e-105,1.0,3.697480607753147e-55
RJP_0009,25.375,74.625,556660.7704209685,0,0.99999995142644,3,0.8199561901545539,50,0.99999995142644,2.84169055071752e-33,4.857356038814172e-08
RJP_0010,26.875,76.625,491123.77503216267,2,0.9999999999999787,3,0.8199561901545539,50,2.1118758489949923e-14,3.805966976093268e-35,0.9999999999999787
RJP_0011,27.125,77.375,474688.5578681231,2,1.0,3,0.8199561901545539,50,2.1450569570499867e-42,3.799409732487823e-42,1.0
RJP_0012,27.625,75.125,473220.9202796221,2,0.9999999999462403,3,0.8199561901545539,50,1.2395677094049124e-26,5.376055019621313e-11,0.9999999999462403
RJP_0013,27.625,76.125,463242.7318748832,2,1.0,3,0.8199561901545539,50,2.0802386055082073e-37,5.326947996241131e-35,1.0
RJP_0014,27.125,75.875,461256.095228076,2,1.0,3,0.8199561901545539,50,8.347204978458575e-24,2.6582124518002255e-26,1.0
RJP_0015,27.125,76.625,455782.20474520326,2,1.0,3,0.8199561901545539,50,1.0181099269596137e-30,4.362391086779663e-39,1.0
RJP_0016,23.625,74.125,455467.8696575165,0,1.0,3,0.8199561901545539,50,1.0,1.6136980711801138e-118,1.583589647800871e-77
RJP_0017,23.375,74.375,446141.2500662804,0,1.0,3,0.8199561901545539,50,1.0,1.7333552307389283e-122,8.059453026337733e-82
RJP_0018,27.125,75.625,442390.8795146942,2,1.0,3,0.8199561901545539,50,3.1417359323166552e-24,5.591285699472445e-24,1.0
RJP_0019,26.875,76.375,438017.5918968916,2,1.0,3,0.8199561901545539,50,9.427975056333114e-16,3.1608440503348706e-35,1.0
RJP_0020,26.125,74.375,435141.01568478346,2,0.9999999617369973,3,0.8199561901545539,50,1.4044711136394114e-14,3.826298909954289e-08,0.9999999617369973
RJP_0021,28.125,76.875,422225.856395781,2,1.0,3,0.8199561901545539,50,3.1572138339384445e-57,1.6286405949954445e-38,1.0
RJP_0022,27.875,76.375,421737.7472658157,2,1.0,3,0.8199561901545539,50,3.373440929938659e-44,9.828149672048045e-36,1.0
RJP_0023,27.625,77.125,409875.52309674025,2,1.0,3,0.8199561901545539,50,6.195661133729178e-44,7.787926307045646e-43,1.0
RJP_0024,26.625,74.875,398900.5337185264,2,0.999999999846672,3,0.8199561901545539,50,7.070725957248466e-18,1.533277540919317e-10,0.999999999846672
RJP_0025,27.375,75.875,388324.2154954672,2,1.0,3,0.8199561901545539,50,1.7627734919797231e-25,6.778703555758736e-27,1.0
RJP_0026,27.375,77.125,386566.85621380806,2,1.0,3,0.8199561901545539,50,3.3165517742868594e-42,5.3415516132914454e-42,1.0
RJP_0027,26.875,77.875,383851.6025726795,2,1.0,3,0.8199561901545539,50,8.756430669586427e-22,2.6398513870834747e-39,1.0
RJP_0028,23.625,74.375,382106.88644075394,0,1.0,3,0.8199561901545539,50,1.0,2.198149738181779e-119,1.269906327556948e-78
RJP_0029,27.125,77.125,377731.64031112194,2,1.0,3,0.8199561901545539,50,3.275326491938137e-40,7.596247630257882e-41,1.0
RJP_0030,26.125,73.125,376786.1268905252,1,1.0,3,0.8199561901545539,50,1.537650985576096e-45,1.0,2.318850472379426e-23
RJP_0031,27.875,76.625,374308.9735670686,2,1.0,3,0.8199561901545539,50,8.857671802710438e-44,1.7495935141945097e-37,1.0
RJP_0032,26.625,76.875,372735.6868137717,2,1.0,3,0.8199561901545539,50,4.505364496445421e-16,1.9715365596427128e-36,1.0
RJP_0033,29.875,73.875,366981.5729411245,2,1.0,3,0.8199561901545539,50,4.5306605351728865e-81,6.669443660532389e-20,1.0
RJP_0034,29.625,74.375,364302.2188515067,2,1.0,3,0.8199561901545539,50,3.037719343297347e-77,1.4058357047374029e-27,1.0
RJP_0035,23.625,73.875,362251.59481680393,0,1.0,3,0.8199561901545539,50,1.0,2.8976130561846e-78,3.1060320425879094e-47
RJP_0036,27.375,76.875,359881.0615261793,2,1.0,3,0.8199561901545539,50,7.873921398891944e-36,5.5300794863099894e-39,1.0
RJP_0037,26.875,77.125,356995.65363645554,2,1.0,3,0.8199561901545539,50,1.3913819321062092e-19,1.4999193099914493e-37,1.0
RJP_0038,26.375,72.875,356387.3596659601,1,1.0,3,0.8199561901545539,50,7.945576590649253e-93,1.0,3.8933131441246476e-44
RJP_0039,27.125,76.875,351152.97289443016,2,1.0,3,0.8199561901545539,50,4.3298887414012415e-33,3.756675598071611e-37,1.0
RJP_0040,26.625,77.125,350523.20013064146,2,1.0,3,0.8199561901545539,50,1.9198545957599467e-17,7.050275953016849e-38,1.0
RJP_0041,24.875,74.625,348176.0788972974,0,1.0,3,0.8199561901545539,50,1.0,4.335885448763571e-62,1.0361323417054856e-22
RJP_0042,23.875,74.125,342884.25374019146,0,1.0,3,0.8199561901545539,50,1.0,1.1853665767229399e-116,1.7737868613179806e-76
RJP_0043,25.125,73.875,332687.63337373734,0,0.8404589399070959,3,0.8199561901545539,50,0.8404589399070959,9.550944321211258e-28,0.15954106009290095
RJP_0044,28.375,75.625,330821.5254701376,2,0.99725780465878,3,0.8199561901545539,50,1.345501533532439e-46,0.0027421953412218236,0.99725780465878
RJP_0045,23.375,74.125,329354.86923897266,0,1.0,3,0.8199561901545539,50,1.0,1.7543340674801536e-121,9.791318710138903e-80
RJP_0046,27.375,75.625,328853.0743364096,2,1.0,3,0.8199561901545539,50,2.264719089001597e-25,8.84148873481915e-25,1.0
RJP_0047,27.875,75.375,326767.62616693974,2,0.9999999999991687,3,0.8199561901545539,50,2.3408615610380507e-31,8.303587037930883e-13,0.9999999999991687
RJP_0048,26.875,76.875,324430.9313597083,2,1.0,3,0.8199561901545539,50,5.3922556219545105e-17,4.553515863336953e-35,1.0
RJP_0049,27.875,73.375,323311.6623095572,1,1.0,3,0.8199561901545539,50,3.5331586452297427e-102,1.0,1.3993626784393562e-55
RJP_0050,24.625,73.875,319973.6179908514,0,1.0,3,0.8199561901545539,50,1.0,2.7826155508302006e-67,5.415449543324272e-29
RJP_0051,27.375,77.375,317377.86096024513,2,1.0,3,0.8199561901545539,50,9.309441973817875e-46,2.7739358716659888e-45,1.0
RJP_0052,27.375,76.625,317296.92674696445,2,1.0,3,0.8199561901545539,50,1.8079033045815292e-35,5.788404908603115e-41,1.0
RJP_0053,24.625,76.125,314299.2565076351,0,1.0,3,0.8199561901545539,50,1.0,6.312907811096428e-93,6.491313374794803e-53
RJP_0054,23.875,73.625,314095.24462109804,0,1.0,3,0.8199561901545539,50,1.0,1.0562106979097954e-82,1.1266421202540027e-44
RJP_0055,26.625,76.375,312614.9599727988,2,0.9999999999999964,3,0.8199561901545539,50,2.967898448155384e-15,8.493728615515532e-34,0.9999999999999964
RJP_0056,26.375,76.625,309943.33269801736,2,0.9999999999999396,3,0.8199561901545539,50,6.085465747284343e-14,1.247032948535901e-35,0.9999999999999396
RJP_0057,26.125,75.875,309619.64065110683,2,0.9999999991544577,3,0.8199561901545539,50,8.455428481823872e-10,1.8133546971619477e-25,0.9999999991544577
RJP_0058,28.125,75.375,305722.7351038456,1,0.9999999997153992,3,0.8199561901545539,50,1.3322320058360255e-49,0.9999999997153992,2.846032264084923e-10
RJP_0059,27.875,75.125,301127.8346581459,1,0.9978656360948653,3,0.8199561901545539,50,7.00255804335091e-30,0.9978656360948653,0.0021343639051311747
RJP_0060,26.125,76.375,297003.9912921488,2,0.9999999999404459,3,0.8199561901545539,50,5.955277520428596e-11,1.4379131931649943e-30,0.9999999999404459
RJP_0061,27.875,75.875,296026.15887868404,2,1.0,3,0.8199561901545539,50,3.8001336629941824e-32,5.40570450235105e-22,1.0
RJP_0062,27.625,76.875,294541.73929446936,2,1.0,3,0.8199561901545539,50,4.3871273106178474e-38,3.9799598797728695e-38,1.0
RJP_0063,26.125,72.875,290171.8888748288,1,1.0,3,0.8199561901545539,50,4.9267505326753124e-92,1.0,2.2361370486805357e-49
