cluster_id,pcm_id,family,pcm_type,Tm_C,latent_heat_kJ_kg,cycles_tested,supercooling_K,flammable_raw,encapsulated_raw,source,breakeven_kappa,rescuable_by_kappa,calibrated_kappa,calibration_status,c1_melting_window,c2_absolute_band,c3_latent_heat,c4_cycling,c5_supercooling,c6_charging_feasibility,c7_corrosion_veto,c8_safety,survives_all,upstream_cluster_profile_fingerprint,density_kg_m3,TC_W_mK,Cp_kJ_kgK,cost,corrosion_score,any_property_imputed,name,Tm_target_C,L_required_kJ_per_kg,Tm_fitness,latent_heat,vol_latent_heat,thermal_conductivity,cycling,supercooling,corrosion,topsis_score,promethee_flow,vikor_Q,vikor_S,vikor_R,gra_grade,topsis_rank,promethee_rank,vikor_rank,gra_rank,borda_score,copeland_score,consensus_rank,copeland_rank,kendall_w,borda_copeland_agree,weight_Tm_fitness,entropy_weight_Tm_fitness,prior_weight_Tm_fitness,weight_latent_heat,entropy_weight_latent_heat,prior_weight_latent_heat,weight_vol_latent_heat,entropy_weight_vol_latent_heat,prior_weight_vol_latent_heat,weight_thermal_conductivity,entropy_weight_thermal_conductivity,prior_weight_thermal_conductivity,weight_cycling,entropy_weight_cycling,prior_weight_cycling,weight_supercooling,entropy_weight_supercooling,prior_weight_supercooling,weight_corrosion,entropy_weight_corrosion,prior_weight_corrosion,weight_cost,entropy_weight_cost,prior_weight_cost,mc_top3_inclusion_pct,mc_top1_retention_pct,mc_rank_reversal_freq_cluster,mc_mean_spearman_vs_baseline_cluster,top3_inclusion_probability,top1_retention_rate,mean_spearman_rho_vs_baseline,n_draws
0,savE® OM42,Pluss Advanced Technologies,Organic,44.0,199.0,2000.0,1.0,Yes,,manufacturer_datasheet_MICE_RF_PMM_completed,0.6362019257736636,True,0.5,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,2554_3_1788253415.653,903.0,0.429,2.78,,1.0,True,savE® OM42,57.0,312.79377181702625,0.005086069231012701,199.0,179.697,0.429,2000.0,1.0,1.0,0.4137200831226109,0.1488758051211111,0.7063416552848485,0.5236013707145747,0.26509153430115845,0.13622794844122396,6,4,6,2,18.0,0,5,5,0.3875,True,0.26509153430115845,0.30376797426269425,0.22641509433962262,0.09911434468691235,0.00954944409080583,0.18867924528301888,0.05997024848693253,0.006732949804053756,0.11320754716981131,0.07692149502591467,0.03120148061786707,0.12264150943396226,0.05720507975127525,0.010636574596890134,0.10377358490566037,0.3567916373704482,0.6381115766276889,0.07547169811320754,0.056603773584905655,0.0,0.11320754716981131,0.028301886792452827,0.0,0.056603773584905655,25.8,2.7,0.999,0.7411902519178084,25.8,2.7,0.7411902519178084,1000
0,RT47,Rubitherm Technologies,Organic (RT-line),44.5,160.0,1665.0,0.0,No,,manufacturer_datasheet_MICE_RF_PMM_completed,0.511519136300433,True,0.5,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=No,True,2554_3_1788253415.653,880.0,0.2,2.0,,1.0,True,RT47,57.0,312.79377181702625,0.0075756774442599355,160.0,140.8,0.2,1665.0,0.0,1.0,0.5943528770030002,0.0936857604503897,0.7619061841176371,0.5742262862376515,0.2562296626647373,0.1309234658322344,4,7,7,9,9.0,-4,8,7,0.3875,False,0.26509153430115845,0.30376797426269425,0.22641509433962262,0.09911434468691235,0.00954944409080583,0.18867924528301888,0.05997024848693253,0.006732949804053756,0.11320754716981131,0.07692149502591467,0.03120148061786707,0.12264150943396226,0.05720507975127525,0.010636574596890134,0.10377358490566037,0.3567916373704482,0.6381115766276889,0.07547169811320754,0.056603773584905655,0.0,0.11320754716981131,0.028301886792452827,0.0,0.056603773584905655,1.7000000000000002,0.0,0.999,0.7411902519178084,1.7000000000000002,0.0,0.7411902519178084,1000
0,n-Docosane (C22),Literature,Organic n-alkane,44.5,249.0,1440.0,0.2000000000000028,No,,manufacturer_datasheet_MICE_RF_PMM_completed,0.7960516558675489,True,0.5,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=No,True,2554_3_1788253415.653,880.0,0.2,2.06,,1.0,True,n-Docosane (C22),57.0,312.79377181702625,0.0075756774442599355,249.0,219.12,0.2,1440.0,0.2000000000000028,1.0,0.5673546628455335,0.16275158923402744,0.5899424422218948,0.4545777825413418,0.2562296626647373,0.13390264194507823,5,2,4,5,20.0,3,3,3,0.3875,True,0.26509153430115845,0.30376797426269425,0.22641509433962262,0.09911434468691235,0.00954944409080583,0.18867924528301888,0.05997024848693253,0.006732949804053756,0.11320754716981131,0.07692149502591467,0.03120148061786707,0.12264150943396226,0.05720507975127525,0.010636574596890134,0.10377358490566037,0.3567916373704482,0.6381115766276889,0.07547169811320754,0.056603773584905655,0.0,0.11320754716981131,0.028301886792452827,0.0,0.056603773584905655,54.3,13.2,0.999,0.7411902519178084,54.3,13.2,0.7411902519178084,1000
0,Lauric acid (C12),Literature,Organic fatty acid,44.8,184.0,2000.0,0.0,Yes,,manufacturer_datasheet_MICE_RF_PMM_completed,0.588247006745498,True,0.5,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,2554_3_1788253415.653,960.0,0.2,1.6,,1.0,True,Lauric acid (C12),57.0,312.79377181702625,0.00954965739502029,184.0,176.64,0.2,2000.0,0.0,1.0,0.6012497866857964,0.12476045733135682,0.6251860354899728,0.48858588183797447,0.24920319285979936,0.13588438788243948,3,5,5,3,20.0,1,3,4,0.3875,False,0.26509153430115845,0.30376797426269425,0.22641509433962262,0.09911434468691235,0.00954944409080583,0.18867924528301888,0.05997024848693253,0.006732949804053756,0.11320754716981131,0.07692149502591467,0.03120148061786707,0.12264150943396226,0.05720507975127525,0.010636574596890134,0.10377358490566037,0.3567916373704482,0.6381115766276889,0.07547169811320754,0.056603773584905655,0.0,0.11320754716981131,0.028301886792452827,0.0,0.056603773584905655,62.3,9.4,0.999,0.7411902519178084,62.3,9.4,0.7411902519178084,1000
0,RT45HC,Rubitherm Technologies,Organic (RT-line),45.0,240.0,1216.0,0.0,No,,manufacturer_datasheet_MICE_RF_PMM_completed,0.7672787044506495,True,0.5,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=No,True,2554_3_1788253415.653,880.0,0.2,2.0,,1.0,True,RT45HC,57.0,312.79377181702625,0.011108996538242306,240.0,211.2,0.2,1216.0,0.0,1.0,0.6065497726161713,0.15609861447117102,0.5609899988368383,0.451413474643762,0.24365265552972828,0.13280050427371187,2,3,3,6,22.0,4,2,2,0.3875,True,0.26509153430115845,0.30376797426269425,0.22641509433962262,0.09911434468691235,0.00954944409080583,0.18867924528301888,0.05997024848693253,0.006732949804053756,0.11320754716981131,0.07692149502591467,0.03120148061786707,0.12264150943396226,0.05720507975127525,0.010636574596890134,0.10377358490566037,0.3567916373704482,0.6381115766276889,0.07547169811320754,0.056603773584905655,0.0,0.11320754716981131,0.028301886792452827,0.0,0.056603773584905655,60.8,20.8,0.999,0.7411902519178084,60.8,20.8,0.7411902519178084,1000
0,savE® OM46,Pluss Advanced Technologies,Organic,47.0,177.0,2000.0,2.0,No,,manufacturer_datasheet_MICE_RF_PMM_completed,0.5658680445323541,True,0.5,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=No,True,2554_3_1788253415.653,917.0,0.35,2.7,,1.0,True,savE® OM46,57.0,312.79377181702625,0.04393693362340742,177.0,162.309,0.35,2000.0,2.0,1.0,0.29455347821550265,0.09523343427753984,0.8094267828488544,0.564754601770239,0.2877351914277807,0.13520379659029408,7,6,8,4,11.0,-4,7,7,0.3875,True,0.26509153430115845,0.30376797426269425,0.22641509433962262,0.09911434468691235,0.00954944409080583,0.18867924528301888,0.05997024848693253,0.006732949804053756,0.11320754716981131,0.07692149502591467,0.03120148061786707,0.12264150943396226,0.05720507975127525,0.010636574596890134,0.10377358490566037,0.3567916373704482,0.6381115766276889,0.07547169811320754,0.056603773584905655,0.0,0.11320754716981131,0.028301886792452827,0.0,0.056603773584905655,11.2,3.3000000000000003,0.999,0.7411902519178084,11.2,3.3000000000000003,0.7411902519178084,1000
0,n-Tricosane (C23),Literature,Organic n-alkane,47.5,232.0,1216.0,2.6000000000000014,No,,manufacturer_datasheet_MICE_RF_PMM_completed,0.7417027476356279,True,0.5,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=No,True,2554_3_1788253415.653,797.0,0.209,2.39,,1.0,True,n-Tricosane (C23),57.0,312.79377181702625,0.059587318761986086,232.0,184.904,0.209,1216.0,2.6000000000000014,1.0,0.28887072767348604,0.08424131727060098,1.0,0.6041184163557622,0.3567916373704483,0.13168161745851295,8,8,9,7,4.0,-7,9,9,0.3875,True,0.26509153430115845,0.30376797426269425,0.22641509433962262,0.09911434468691235,0.00954944409080583,0.18867924528301888,0.05997024848693253,0.006732949804053756,0.11320754716981131,0.07692149502591467,0.03120148061786707,0.12264150943396226,0.05720507975127525,0.010636574596890134,0.10377358490566037,0.3567916373704482,0.6381115766276889,0.07547169811320754,0.056603773584905655,0.0,0.11320754716981131,0.028301886792452827,0.0,0.056603773584905655,6.800000000000001,1.7000000000000002,0.999,0.7411902519178084,6.800000000000001,1.7000000000000002,0.7411902519178084,1000
0,RT50,Rubitherm Technologies,Organic (RT-line),48.0,160.0,1675.0,-0.5,Yes,,manufacturer_datasheet_MICE_RF_PMM_completed,0.511519136300433,True,0.5,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,2554_3_1788253415.653,880.0,0.2,2.0,,1.0,True,RT50,57.0,312.79377181702625,0.07955950871822769,160.0,140.8,0.2,1675.0,-0.5,1.0,0.9255223577607801,0.19245208785707663,0.005016353584456527,0.25971992865787746,0.09911434468691235,0.13105680565669392,1,1,1,8,25.0,8,1,1,0.3875,True,0.26509153430115845,0.30376797426269425,0.22641509433962262,0.09911434468691235,0.00954944409080583,0.18867924528301888,0.05997024848693253,0.006732949804053756,0.11320754716981131,0.07692149502591467,0.03120148061786707,0.12264150943396226,0.05720507975127525,0.010636574596890134,0.10377358490566037,0.3567916373704482,0.6381115766276889,0.07547169811320754,0.056603773584905655,0.0,0.11320754716981131,0.028301886792452827,0.0,0.056603773584905655,90.8,61.6,0.999,0.7411902519178084,90.8,61.6,0.7411902519178084,1000
0,C22H46 (docosane-class paraffin),Paraffin,Organic,44.5,249.0,,,not_reported,,Singh2025_Table2_literature,0.7960516558675489,True,0.5,in_band,pass,pass,pass,flag_unreported,flag_unknown,pass,not_applicable,flag_unverified_flammability_and_toxicity,True,2554_3_1788253415.653,,,,,1.0,False,C22H46 (docosane-class paraffin),57.0,312.79377181702625,0.0075756774442599355,249.0,,,,,1.0,0.08148257075326436,0.05442936625362743,0.3048683807982738,0.2562296626647373,0.2562296626647373,0.14025366072092862,9,9,2,1,15.0,-1,6,6,0.3875,True,0.26509153430115845,0.30376797426269425,0.22641509433962262,0.09911434468691235,0.00954944409080583,0.18867924528301888,0.05997024848693253,0.006732949804053756,0.11320754716981131,0.07692149502591467,0.03120148061786707,0.12264150943396226,0.05720507975127525,0.010636574596890134,0.10377358490566037,0.3567916373704482,0.6381115766276889,0.07547169811320754,0.056603773584905655,0.0,0.11320754716981131,0.028301886792452827,0.0,0.056603773584905655,4.9,0.6,0.999,0.7411902519178084,4.9,0.6,0.7411902519178084,1000
1,savE® OM42,Pluss Advanced Technologies,Organic,44.0,199.0,2000.0,1.0,Yes,,manufacturer_datasheet_MICE_RF_PMM_completed,0.6543639759468594,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,2554_3_1788253415.653,903.0,0.429,2.78,,1.0,True,savE® OM42,56.99999999999999,304.1120955841871,0.0050860692310127275,199.0,179.697,0.429,2000.0,1.0,1.0,0.3760817770098018,0.152740771949525,0.7483733554162197,0.5415699099434593,0.34167481685652135,0.13609455194322248,11,9,11,2,23.0,-5,8,10,0.6346153846153846,False,0.34167481685652135,0.4537625491373066,0.22958708457573612,0.09919606984709961,0.007069569214419087,0.19132257047978013,0.059076696095881606,0.003359849903895149,0.11479354228786806,0.07765502652396657,0.030950382236076063,0.12435967081185707,0.062028140766530446,0.01882886776918182,0.10522741376387906,0.2812789049655165,0.48602878173912095,0.07652902819191204,0.050391959372516885,2.7293691080603743e-16,0.1007839187450335,0.028698385571967015,0.0,0.05739677114393403,2.2,0.0,1.0,0.7550937965825951,2.2,0.0,0.7550937965825951,1000
