timestamp_utc,GHI_Wm2,T_amb_C,RH_pct,WS_ms,local_hour,local_date,year,point_id,cluster_id
2016-01-01 00:00:00+00:00,0.0,12.84,51.45,2.9,5,2016-01-01,2016,RJP_0094,0
2016-01-01 01:00:00+00:00,0.0,12.52,52.69,2.85,6,2016-01-01,2016,RJP_0094,0
2016-01-01 02:00:00+00:00,99.28,15.09,44.8,3.03,7,2016-01-01,2016,RJP_0094,0
2016-01-01 03:00:00+00:00,301.23,18.53,36.26,2.99,8,2016-01-01,2016,RJP_0094,0
2016-01-01 04:00:00+00:00,490.12,22.84,27.54,1.5,9,2016-01-01,2016,RJP_0094,0
2016-01-01 05:00:00+00:00,631.92,28.43,16.72,1.28,10,2016-01-01,2016,RJP_0094,0
2016-01-01 06:00:00+00:00,672.92,30.59,13.14,2.4,11,2016-01-01,2016,RJP_0094,0
2016-01-01 07:00:00+00:00,662.45,31.49,11.65,2.76,12,2016-01-01,2016,RJP_0094,0
2016-01-01 08:00:00+00:00,622.5,31.85,10.87,3.05,13,2016-01-01,2016,RJP_0094,0
2016-01-01 09:00:00+00:00,475.48,31.79,10.53,3.08,14,2016-01-01,2016,RJP_0094,0
2016-01-01 10:00:00+00:00,301.45,31.18,10.62,2.84,15,2016-01-01,2016,RJP_0094,0
2016-01-01 11:00:00+00:00,113.45,28.62,12.79,1.63,16,2016-01-01,2016,RJP_0094,0
2016-01-01 12:00:00+00:00,4.47,26.09,14.56,1.26,17,2016-01-01,2016,RJP_0094,0
2016-01-01 13:00:00+00:00,0.0,24.72,15.75,1.38,18,2016-01-01,2016,RJP_0094,0
2016-01-01 14:00:00+00:00,0.0,22.66,18.02,1.87,19,2016-01-01,2016,RJP_0094,0
2016-01-01 15:00:00+00:00,0.0,20.73,21.0,2.46,20,2016-01-01,2016,RJP_0094,0
2016-01-01 16:00:00+00:00,0.0,18.73,25.1,2.98,21,2016-01-01,2016,RJP_0094,0
2016-01-01 17:00:00+00:00,0.0,17.4,29.35,3.31,22,2016-01-01,2016,RJP_0094,0
2016-01-01 18:00:00+00:00,0.0,16.47,33.74,3.41,23,2016-01-01,2016,RJP_0094,0
2016-01-01 19:00:00+00:00,0.0,15.76,38.02,3.52,0,2016-01-02,2016,RJP_0094,0
2016-01-01 20:00:00+00:00,0.0,15.15,41.63,3.67,1,2016-01-02,2016,RJP_0094,0
2016-01-01 21:00:00+00:00,0.0,14.53,44.45,3.71,2,2016-01-02,2016,RJP_0094,0
2016-01-01 22:00:00+00:00,0.0,13.91,46.86,3.65,3,2016-01-02,2016,RJP_0094,0
2016-01-01 23:00:00+00:00,0.0,13.38,48.5,3.55,4,2016-01-02,2016,RJP_0094,0
2016-01-02 00:00:00+00:00,0.0,12.94,49.73,3.48,5,2016-01-02,2016,RJP_0094,0
2016-01-02 01:00:00+00:00,0.0,12.56,50.48,3.41,6,2016-01-02,2016,RJP_0094,0
2016-01-02 02:00:00+00:00,79.88,14.7,43.29,4.27,7,2016-01-02,2016,RJP_0094,0
2016-01-02 03:00:00+00:00,260.8,17.9,34.86,3.91,8,2016-01-02,2016,RJP_0094,0
2016-01-02 04:00:00+00:00,442.73,22.7,25.12,3.01,9,2016-01-02,2016,RJP_0094,0
2016-01-02 05:00:00+00:00,582.25,27.14,17.52,2.14,10,2016-01-02,2016,RJP_0094,0
2016-01-02 06:00:00+00:00,631.83,28.8,14.61,0.97,11,2016-01-02,2016,RJP_0094,0
2016-01-02 07:00:00+00:00,615.0,29.95,12.58,0.91,12,2016-01-02,2016,RJP_0094,0
2016-01-02 08:00:00+00:00,563.28,30.52,11.76,1.41,13,2016-01-02,2016,RJP_0094,0
2016-01-02 09:00:00+00:00,452.85,30.36,11.83,1.79,14,2016-01-02,2016,RJP_0094,0
2016-01-02 10:00:00+00:00,281.5,29.59,12.36,1.93,15,2016-01-02,2016,RJP_0094,0
2016-01-02 11:00:00+00:00,102.38,26.84,15.13,1.49,16,2016-01-02,2016,RJP_0094,0
2016-01-02 12:00:00+00:00,4.53,23.45,18.14,2.01,17,2016-01-02,2016,RJP_0094,0
2016-01-02 13:00:00+00:00,0.0,21.47,20.3,2.61,18,2016-01-02,2016,RJP_0094,0
2016-01-02 14:00:00+00:00,0.0,19.79,22.66,3.13,19,2016-01-02,2016,RJP_0094,0
2016-01-02 15:00:00+00:00,0.0,18.57,24.83,3.43,20,2016-01-02,2016,RJP_0094,0
2016-01-02 16:00:00+00:00,0.0,17.66,26.92,3.5,21,2016-01-02,2016,RJP_0094,0
2016-01-02 17:00:00+00:00,0.0,16.81,29.23,3.47,22,2016-01-02,2016,RJP_0094,0
2016-01-02 18:00:00+00:00,0.0,15.99,31.56,3.4,23,2016-01-02,2016,RJP_0094,0
2016-01-02 19:00:00+00:00,0.0,15.26,33.78,3.38,0,2016-01-03,2016,RJP_0094,0
2016-01-02 20:00:00+00:00,0.0,14.64,35.8,3.4,1,2016-01-03,2016,RJP_0094,0
2016-01-02 21:00:00+00:00,0.0,14.09,37.86,3.43,2,2016-01-03,2016,RJP_0094,0
2016-01-02 22:00:00+00:00,0.0,13.59,39.81,3.44,3,2016-01-03,2016,RJP_0094,0
2016-01-02 23:00:00+00:00,0.0,13.15,41.71,3.44,4,2016-01-03,2016,RJP_0094,0
2016-01-03 00:00:00+00:00,0.0,12.78,43.38,3.45,5,2016-01-03,2016,RJP_0094,0
2016-01-03 01:00:00+00:00,0.0,12.43,44.96,3.44,6,2016-01-03,2016,RJP_0094,0
2016-01-03 02:00:00+00:00,72.22,14.11,40.81,4.04,7,2016-01-03,2016,RJP_0094,0
2016-01-03 03:00:00+00:00,234.5,16.95,34.28,4.2,8,2016-01-03,2016,RJP_0094,0
2016-01-03 04:00:00+00:00,407.0,20.75,26.72,3.14,9,2016-01-03,2016,RJP_0094,0
2016-01-03 05:00:00+00:00,546.4,25.69,17.92,2.79,10,2016-01-03,2016,RJP_0094,0
2016-01-03 06:00:00+00:00,631.83,28.23,14.93,2.02,11,2016-01-03,2016,RJP_0094,0
2016-01-03 07:00:00+00:00,638.7,29.55,13.62,1.72,12,2016-01-03,2016,RJP_0094,0
