point_id,date,n_hours,GHI_Wh_m2,GHI_clearsky_Wh_m2,kt_daily,T2M_min,T2M_max,T2M_mean,RH2M_mean,WS10M_mean,cluster_id
RJP_0094,2016-01-01,24,4375.27,4449.91,0.9832266270553788,12.52,31.85,21.47083333333333,28.168333333333337,2.7116666666666664,0
RJP_0094,2016-01-02,24,4017.03,4086.38,0.983028988982914,12.56,30.52,20.35291666666667,27.577916666666667,2.806666666666667,0
RJP_0094,2016-01-03,24,3960.72,4130.25,0.9589540584710368,12.43,30.08,19.944166666666668,26.74125,2.7158333333333338,0
RJP_0094,2016-01-04,24,4282.22,4322.879999999999,0.9905942334739806,12.65,30.52,21.995000000000005,22.13333333333333,1.49625,0
RJP_0094,2016-01-05,24,4369.530000000001,4410.04,0.9908141422753536,13.82,31.04,21.574583333333333,26.90333333333333,2.108333333333333,0
RJP_0094,2016-01-06,24,4324.02,4408.3,0.9808815189528844,13.68,30.0,20.940416666666668,35.48291666666666,3.119166666666666,0
RJP_0094,2016-01-07,24,3954.13,4338.84,0.9113334439619806,14.1,30.75,21.857916666666668,36.01208333333333,2.630416666666666,0
RJP_0094,2016-01-08,24,4321.290000000001,4395.09,0.983208534978806,13.08,29.85,20.69458333333333,35.806666666666665,3.03125,0
RJP_0094,2016-01-09,24,4393.87,4477.73,0.9812717604679158,11.85,28.96,19.279166666666665,25.890416666666663,2.6495833333333336,0
RJP_0094,2016-01-10,24,4466.17,4600.5,0.9708009998913162,11.46,29.67,20.36625,20.155833333333334,2.07,0
RJP_0094,2016-01-11,24,4322.64,4459.5,0.9693104608139926,12.01,29.69,20.445833333333336,20.4075,2.224166666666666,0
RJP_0094,2016-01-12,24,4025.06,4132.6,0.9739776411944052,12.34,28.99,19.765,30.857916666666664,3.02125,0
RJP_0094,2016-01-13,24,4086.15,4241.24,0.9634328639737436,11.26,29.07,20.104166666666668,32.95916666666667,2.2504166666666667,0
RJP_0094,2016-01-14,24,4066.28,4128.92,0.984828962537419,10.31,28.27,19.374583333333334,32.60625,2.68125,0
RJP_0094,2016-01-15,24,3825.68,3854.81,0.9924432073176108,11.11,28.22,18.82958333333333,37.865,3.0308333333333337,0
RJP_0094,2016-01-16,24,3614.44,3710.6,0.9740850536301408,11.27,27.79,18.863333333333333,32.11083333333334,2.992083333333333,0
RJP_0094,2016-01-17,24,3331.3500000000004,3364.19,0.9902383634693644,12.48,28.02,20.47125,34.655,2.953333333333333,0
RJP_0094,2016-01-18,24,2313.84,3260.87,0.709577505389666,14.4,27.52,20.8425,47.73500000000001,2.6758333333333333,0
RJP_0094,2016-01-19,24,2528.64,2999.64,0.8429811577389287,10.67,24.92,17.913333333333334,59.41125,3.3175000000000003,0
RJP_0094,2016-01-20,24,3938.35,4151.83,0.9485817097520852,8.3,24.81,16.087500000000002,35.4975,2.410416666666667,0
RJP_0094,2016-01-21,24,4533.37,4689.59,0.9666879194129976,7.32,25.14,15.517916666666665,22.297083333333333,2.265416666666667,0
RJP_0094,2016-01-22,24,4915.93,5081.719999999999,0.9673752194138994,7.07,26.39,16.222916666666666,19.187083333333334,2.3754166666666667,0
RJP_0094,2016-01-23,24,5046.01,5228.09,0.9651727495127284,7.35,27.72,17.37875,18.41708333333333,2.3058333333333336,0
RJP_0094,2016-01-24,24,4963.56,5164.599999999999,0.9610734616427216,7.7,28.55,17.8725,16.483333333333334,2.63125,0
RJP_0094,2016-01-25,24,4919.47,5144.799999999999,0.9562023791012286,8.78,29.51,19.75958333333333,13.702916666666669,1.9654166666666668,0
RJP_0094,2016-01-26,24,4891.03,5064.11,0.9658222274002736,10.16,30.51,19.30875,17.02541666666667,2.9008333333333334,0
RJP_0094,2016-01-27,24,4727.9400000000005,4884.57,0.9679337178093468,10.94,29.85,19.94333333333333,29.197916666666668,2.9266666666666663,0
RJP_0094,2016-01-28,24,4755.18,4840.02,0.9824711468134428,12.8,30.95,22.43958333333333,31.032083333333333,1.899166666666667,0
RJP_0094,2016-01-29,24,4757.68,4876.2,0.9756941880972888,14.33,33.09,23.56375,31.17291666666667,2.7466666666666666,0
RJP_0094,2016-01-30,24,4903.91,5002.53,0.9802859752965,14.85,32.52,22.620416666666667,36.33958333333334,3.200833333333333,0
RJP_0094,2016-01-31,24,4960.92,5065.75,0.9793061244633076,14.32,32.13,22.41291666666666,38.79375,2.7466666666666666,0
RJP_0094,2016-02-01,24,5002.1900000000005,5079.67,0.9847470406542158,13.98,30.8,21.625,37.67625,2.9958333333333336,0
RJP_0094,2016-02-02,24,4708.99,4802.53,0.9805227661253548,13.09,29.35,20.42833333333333,35.55291666666667,2.6833333333333336,0
RJP_0094,2016-02-03,24,5124.35,5324.68,0.9623770818152452,10.15,29.1,18.887916666666666,24.3925,3.70625,0
RJP_0094,2016-02-04,24,5384.2,5585.530000000001,0.9639550767787478,9.48,29.7,18.79041666666667,15.363333333333337,3.39125,0
RJP_0094,2016-02-05,24,5263.25,5456.58,0.9645693822870736,10.36,31.24,20.38,14.9775,2.6758333333333333,0
RJP_0094,2016-02-06,24,4882.860000000001,4959.73,0.984501172442855,11.61,31.05,20.325416666666666,18.98583333333333,3.9379166666666654,0
RJP_0094,2016-02-07,24,5362.56,5508.31,0.9735399786867478,10.96,29.65,19.383333333333333,16.069166666666664,3.43125,0
RJP_0094,2016-02-08,24,5089.02,5251.9400000000005,0.9689790820154076,10.31,29.66,19.21375,21.71875,3.751666666666667,0
RJP_0094,2016-02-09,24,5037.86,5177.34,0.9730595247752706,10.82,30.31,20.3925,20.517083333333336,2.6620833333333334,0
RJP_0094,2016-02-10,24,5271.76,5391.4,0.9778091033868757,11.26,30.66,19.96291666666667,18.1725,3.40125,0
RJP_0094,2016-02-11,24,5266.88,5530.09,0.9524040295908384,11.93,29.82,20.245833333333334,25.28375,3.8170833333333327,0
RJP_0094,2016-02-12,24,5396.49,5604.38,0.9629057986788904,11.3,28.91,19.63958333333333,26.24125,3.561666666666666,0
RJP_0094,2016-02-13,24,5239.630000000001,5469.469999999999,0.9579776468286691,10.9,29.4,19.242083333333337,20.594166666666663,3.4704166666666665,0
RJP_0094,2016-02-14,24,5365.06,5512.94,0.9731758372120864,10.19,29.23,19.61375,22.16333333333333,3.0675000000000003,0
RJP_0094,2016-02-15,24,4889.85,4953.17,0.9872162675619855,12.25,30.8,21.80458333333333,29.725833333333338,3.810833333333333,0
RJP_0094,2016-02-16,24,4188.61,4467.04,0.9376701350334896,15.43,31.2,23.3825,34.284166666666664,5.029166666666667,0
RJP_0094,2016-02-17,24,4490.8,4820.360000000001,0.9316316623654664,17.19,34.34,26.317083333333333,34.05625,3.79125,0
RJP_0094,2016-02-18,24,5108.619999999999,5268.7,0.969616793516427,18.6,36.33,27.214583333333334,22.28333333333333,3.628333333333333,0
RJP_0094,2016-02-19,24,4581.31,5177.27,0.8848891404157017,18.08,35.57,27.187083333333334,34.903333333333336,3.2983333333333333,0
RJP_0094,2016-02-20,24,3516.34,4962.49,0.7085837956348527,17.87,30.78,24.672916666666666,41.450833333333335,2.8441666666666667,0
RJP_0094,2016-02-21,24,5721.4,5801.68,0.9861626287558084,15.8,32.8,23.69333333333333,24.25,3.0691666666666664,0
RJP_0094,2016-02-22,24,5692.08,6116.19,0.9306578114806768,14.08,33.8,23.241666666666664,13.87625,2.6466666666666665,0
RJP_0094,2016-02-23,24,6209.56,6341.15,0.9792482436151172,13.56,34.92,24.136666666666667,9.89125,2.5575,0
RJP_0094,2016-02-24,24,6189.1900000000005,6340.34,0.9761605844481528,14.12,35.33,24.602083333333336,10.535833333333334,3.2416666666666667,0
RJP_0094,2016-02-25,24,5630.68,6153.71,0.9150057445020972,15.14,35.31,25.20958333333333,10.749583333333334,3.5108333333333337,0
RJP_0094,2016-02-26,24,5855.59,6003.85,0.975305845415858,15.22,34.77,24.39333333333333,12.509583333333332,4.170833333333333,0
RJP_0094,2016-02-27,24,5949.41,6034.219999999999,0.9859451594406567,14.54,35.28,24.05375,12.779166666666669,4.037916666666667,0
RJP_0094,2016-02-28,24,5989.490000000001,6097.89,0.982223359227536,15.08,35.94,24.760416666666668,11.249166666666666,3.77,0
RJP_0094,2016-02-29,24,5702.74,5810.76,0.9814103490765408,16.59,36.5,25.907916666666665,12.95375,3.834583333333333,0
RJP_0094,2016-03-01,24,5837.74,5965.69,0.9785523552179212,17.74,36.8,27.425416666666667,16.376250000000002,3.395416666666667,0
RJP_0094,2016-03-02,24,5215.61,5596.280000000001,0.9319780282616308,20.13,36.91,28.395416666666662,29.142916666666665,3.39875,0
RJP_0094,2016-03-03,24,5482.02,5617.629999999999,0.9758599266950654,20.0,36.93,27.821250000000003,30.74541666666666,3.3779166666666662,0
RJP_0094,2016-03-04,24,5213.7,5836.01,0.8933672149293781,20.55,36.03,27.67083333333333,26.29625,2.85,0
RJP_0094,2016-03-05,24,5316.08,5907.06,0.8999536148270036,18.73,35.74,26.520416666666662,28.37333333333333,3.8516666666666666,0
RJP_0094,2016-03-06,24,5943.83,6325.77,0.9396215796654004,18.34,34.56,25.659166666666664,27.84875,3.429583333333333,0
RJP_0094,2016-03-07,24,5506.99,6181.52,0.8908795894860811,17.6,33.81,25.286666666666672,31.04833333333333,3.769583333333333,0
RJP_0094,2016-03-08,24,6262.6900000000005,6289.85,0.995681932001558,17.0,34.33,25.74791666666667,26.854166666666668,2.5050000000000003,0
RJP_0094,2016-03-09,24,6292.96,6336.570000000001,0.9931177277296708,18.41,35.31,27.122083333333336,23.756666666666664,1.9879166666666668,0
RJP_0094,2016-03-10,24,6146.56,6299.049999999999,0.9757915876203554,20.65,36.79,27.99708333333333,27.866666666666664,3.0125,0
RJP_0094,2016-03-11,24,6384.26,6515.030000000001,0.9799279512143458,19.96,37.62,28.375,29.05666666666666,3.462916666666666,0
RJP_0094,2016-03-12,24,5625.37,6229.1900000000005,0.903066048715804,19.48,34.44,26.233750000000004,31.035833333333333,3.937083333333333,0
RJP_0094,2016-03-13,24,5249.49,6444.31,0.8145930285786995,18.19,31.83,24.164583333333336,31.66625,3.360416666666667,0
RJP_0094,2016-03-14,24,6401.9,6697.7,0.9558355853501947,17.92,33.45,25.545416666666664,26.85041666666667,2.28125,0
RJP_0094,2016-03-15,24,4560.1,6433.9800000000005,0.7087525917083982,18.72,34.67,26.67708333333333,27.59375,3.0629166666666663,0
RJP_0094,2016-03-16,24,6488.51,6628.57,0.9788702540668652,19.11,35.39,27.07375,24.711250000000003,2.709166666666667,0
