timestamp_utc,GHI_Wm2,T_amb_C,RH_pct,WS_ms,local_hour,local_date,year,point_id,cluster_id
2016-01-01 00:00:00+00:00,0.0,10.98,44.06,2.07,5,2016-01-01,2016,RJP_0083,2
2016-01-01 01:00:00+00:00,0.0,10.62,44.93,2.07,6,2016-01-01,2016,RJP_0083,2
2016-01-01 02:00:00+00:00,96.3,11.63,41.59,1.9,7,2016-01-01,2016,RJP_0083,2
2016-01-01 03:00:00+00:00,292.38,14.78,33.6,2.55,8,2016-01-01,2016,RJP_0083,2
2016-01-01 04:00:00+00:00,472.5,17.73,27.93,2.39,9,2016-01-01,2016,RJP_0083,2
2016-01-01 05:00:00+00:00,604.65,21.74,23.1,3.01,10,2016-01-01,2016,RJP_0083,2
2016-01-01 06:00:00+00:00,624.47,24.71,20.9,3.1,11,2016-01-01,2016,RJP_0083,2
2016-01-01 07:00:00+00:00,624.78,26.07,19.96,2.81,12,2016-01-01,2016,RJP_0083,2
2016-01-01 08:00:00+00:00,554.8,26.57,19.76,2.4,13,2016-01-01,2016,RJP_0083,2
2016-01-01 09:00:00+00:00,423.65,26.51,19.96,1.96,14,2016-01-01,2016,RJP_0083,2
2016-01-01 10:00:00+00:00,250.73,25.77,20.8,1.63,15,2016-01-01,2016,RJP_0083,2
2016-01-01 11:00:00+00:00,81.85,22.73,25.13,1.56,16,2016-01-01,2016,RJP_0083,2
2016-01-01 12:00:00+00:00,0.0,20.0,29.05,2.17,17,2016-01-01,2016,RJP_0083,2
2016-01-01 13:00:00+00:00,0.0,18.36,31.76,2.59,18,2016-01-01,2016,RJP_0083,2
2016-01-01 14:00:00+00:00,0.0,17.18,33.51,2.85,19,2016-01-01,2016,RJP_0083,2
2016-01-01 15:00:00+00:00,0.0,16.15,34.86,3.01,20,2016-01-01,2016,RJP_0083,2
2016-01-01 16:00:00+00:00,0.0,15.23,35.8,3.08,21,2016-01-01,2016,RJP_0083,2
