point_id,season,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3
TNP_0001,Winter,1,1.0,4,0.8156636274587128,50,5.514719496425235e-273,1.0,3.605357844026903e-34,4.926654778344747e-271
TNP_0001,Summer,3,1.0,4,0.8156636274587128,50,2.3322807779413256e-54,9.416460592755295e-30,9.323171382379783e-76,1.0
TNP_0001,Monsoon,0,1.0,4,0.8156636274587128,50,1.0,1.4455941133984428e-29,1.1087312005337286e-30,1.6927006889772519e-102
TNP_0001,Retreat,2,0.9999999999511333,4,0.8156636274587128,50,4.064272703686381e-114,4.8866836356612326e-11,0.9999999999511333,2.0058110219430903e-153
TNP_0002,Winter,1,1.0,4,0.8156636274587128,50,3.6551664917050334e-252,1.0,1.2215691788217576e-26,4.4963219570762194e-270
TNP_0002,Summer,3,1.0,4,0.8156636274587128,50,2.7026913996817678e-48,4.062399001331403e-28,3.99656709200706e-69,1.0
TNP_0002,Monsoon,0,1.0,4,0.8156636274587128,50,1.0,1.0077812130707176e-27,9.547380011023597e-28,1.3144703718369664e-101
TNP_0002,Retreat,2,0.9999999996563211,4,0.8156636274587128,50,3.8637131209306223e-115,3.436794225251221e-10,0.9999999996563211,2.114371126222228e-158
TNP_0003,Winter,1,1.0,4,0.8156636274587128,50,8.461513525476898e-234,1.0,2.3541129235494753e-28,1.0388566607003892e-270
TNP_0003,Summer,3,1.0,4,0.8156636274587128,50,3.549539135590783e-48,1.429816859748629e-16,5.662696773105418e-55,1.0
TNP_0003,Monsoon,0,1.0,4,0.8156636274587128,50,1.0,1.1268557089826644e-20,6.351686370965464e-20,2.8914643968929685e-94
TNP_0003,Retreat,2,0.9999997700141685,4,0.8156636274587128,50,1.94199920888363e-109,2.2998583004064201e-07,0.9999997700141685,8.284543351057887e-153
TNP_0004,Winter,1,1.0,4,0.8156636274587128,50,5.75960060205179e-216,1.0,6.996500747977957e-25,3.18871869176173e-206
TNP_0004,Summer,3,1.0,4,0.8156636274587128,50,2.975684684189381e-31,2.2782934424093834e-33,5.07600315261322e-72,1.0
TNP_0004,Monsoon,0,1.0,4,0.8156636274587128,50,1.0,2.663236147547624e-24,6.712184286273057e-24,4.9732785686958175e-56
TNP_0004,Retreat,2,0.999999999949944,4,0.8156636274587128,50,1.9051556343607736e-76,5.005624043069244e-11,0.999999999949944,1.36181698365634e-130
TNP_0005,Winter,1,1.0,4,0.8156636274587128,50,1.820408435719657e-279,1.0,7.545945355006455e-46,1.5343265609683191e-235
TNP_0005,Summer,3,1.0,4,0.8156636274587128,50,4.088486064050847e-49,3.6610187949400023e-29,5.6025764229866704e-67,1.0
TNP_0005,Monsoon,2,0.9999999997406785,4,0.8156636274587128,50,1.0954093119528464e-39,2.593212222758436e-10,0.9999999997406785,3.8235467734713174e-109
TNP_0005,Retreat,2,0.9967216225481844,4,0.8156636274587128,50,2.1812419676074787e-136,0.003278377451816163,0.9967216225481844,4.888384622014522e-149
TNP_0006,Winter,1,1.0,4,0.8156636274587128,50,3.896288916605067e-190,1.0,3.3084060908905075e-16,3.130854587244094e-221
TNP_0006,Summer,3,1.0,4,0.8156636274587128,50,4.091532253283638e-40,4.353488995373789e-38,4.769873572757606e-93,1.0
TNP_0006,Monsoon,0,1.0,4,0.8156636274587128,50,1.0,1.0704610248171252e-28,7.198962259173412e-32,9.070334224269683e-59
TNP_0006,Retreat,2,0.99999999999139,4,0.8156636274587128,50,2.306984809386597e-79,8.609929189709591e-12,0.99999999999139,4.078826086498121e-127
TNP_0007,Winter,1,1.0,4,0.8156636274587128,50,0.0,1.0,4.072893225885129e-89,9.255425844589292e-212
TNP_0007,Summer,1,0.9997756736532318,4,0.8156636274587128,50,2.0321296656720134e-101,0.9997756736532318,1.437678176243509e-27,0.00022432634676749014
TNP_0007,Monsoon,1,1.0,4,0.8156636274587128,50,3.934505238320884e-256,1.0,3.9540258687383076e-56,2.982402539785946e-197
TNP_0007,Retreat,1,1.0,4,0.8156636274587128,50,6.648714412932213e-292,1.0,1.4286336000493196e-48,1.079186230953923e-174
TNP_0008,Winter,1,1.0,4,0.8156636274587128,50,1.3464319500734125e-262,1.0,3.2962515318463404e-45,1.3805217416938735e-218
TNP_0008,Summer,3,1.0,4,0.8156636274587128,50,8.33844354118241e-49,2.562237833284725e-26,1.793208840751521e-56,1.0
TNP_0008,Monsoon,2,0.9999837214358968,4,0.8156636274587128,50,2.0484651905074225e-72,1.6278564103502515e-05,0.9999837214358968,4.2932441386484506e-103
TNP_0008,Retreat,1,0.9996964593786464,4,0.8156636274587128,50,3.136395012074454e-151,0.9996964593786464,0.0003035406213547092,3.2877811923115364e-139
TNP_0009,Winter,1,1.0,4,0.8156636274587128,50,0.0,1.0,6.23241848554425e-79,9.1905673595048e-287
TNP_0009,Summer,3,1.0,4,0.8156636274587128,50,2.0497030333689887e-78,1.8541608737683875e-29,7.077359735944883e-81,1.0
TNP_0009,Monsoon,2,0.9987418017794945,4,0.8156636274587128,50,0.0012581981778663337,4.2640820173151096e-11,0.9987418017794945,1.7911841383396008e-118
TNP_0009,Retreat,1,0.9919949276875378,4,0.8156636274587128,50,1.3856500947285862e-166,0.9919949276875378,0.0080050723124621,2.2753021463422295e-159
TNP_0010,Winter,1,1.0,4,0.8156636274587128,50,2.7238478824409863e-226,1.0,3.1426496447880465e-20,3.380678858393402e-254
TNP_0010,Summer,3,1.0,4,0.8156636274587128,50,6.34471791452894e-39,1.2218478596310214e-28,1.8218331466005033e-63,1.0
TNP_0010,Monsoon,0,1.0,4,0.8156636274587128,50,1.0,4.160809773818854e-31,7.50594072338198e-36,6.353321719558226e-71
TNP_0010,Retreat,2,0.9999999999449711,4,0.8156636274587128,50,7.492585583107367e-99,5.5029313828672646e-11,0.9999999999449711,6.42822957730851e-151
TNP_0011,Winter,1,1.0,4,0.8156636274587128,50,7.337979446214263e-131,1.0,5.829766142007367e-28,1.775358358075469e-126
TNP_0011,Summer,1,0.6136574612123061,4,0.8156636274587128,50,3.794111668988998e-32,0.6136574612123061,2.7037395261092398e-21,0.38634253878769353
TNP_0011,Monsoon,1,0.999999999999865,4,0.8156636274587128,50,7.535511913674437e-92,0.999999999999865,1.3381170082643422e-13,5.6107343876853484e-73
TNP_0011,Retreat,1,0.999999994201918,4,0.8156636274587128,50,3.0199857031242614e-124,0.999999994201918,5.798083208509566e-09,3.1336917769624585e-116
TNP_0012,Winter,1,1.0,4,0.8156636274587128,50,6.676019534454015e-302,1.0,1.073358472392835e-55,6.389631712296438e-231
TNP_0012,Summer,3,1.0,4,0.8156636274587128,50,3.743998381314334e-54,1.0621110754361026e-22,1.946524123240995e-49,1.0
TNP_0012,Monsoon,2,0.6825053896949026,4,0.8156636274587128,50,7.432747484226136e-86,0.3174946103050975,0.6825053896949026,1.1222747908130767e-110
TNP_0012,Retreat,1,0.9999999999980922,4,0.8156636274587128,50,6.502288901411064e-187,0.9999999999980922,1.9093858368319343e-12,5.742002741288319e-156
TNP_0013,Winter,1,1.0,4,0.8156636274587128,50,2.179285629980291e-233,1.0,2.5046391429154388e-22,5.059945056621973e-256
TNP_0013,Summer,3,1.0,4,0.8156636274587128,50,2.3438328923236126e-42,3.232645642409301e-28,4.7393970693613494e-64,1.0
TNP_0013,Monsoon,0,1.0,4,0.8156636274587128,50,1.0,1.6940865897255704e-31,2.151139677987956e-34,1.0148775948836669e-81
TNP_0013,Retreat,2,0.9999999999434825,4,0.8156636274587128,50,6.626203819562383e-102,5.651788859021532e-11,0.9999999999434825,7.180372326382835e-152
TNP_0014,Winter,1,0.9999999999999503,4,0.8156636274587128,50,1.3399818833840339e-204,0.9999999999999503,5.0262352272678315e-14,1.7932351441792973e-252
TNP_0014,Summer,3,1.0,4,0.8156636274587128,50,4.753290806536966e-32,6.399812019245225e-30,1.168414208971385e-62,1.0
TNP_0014,Monsoon,0,1.0,4,0.8156636274587128,50,1.0,6.4302116202556504e-34,7.017262570327378e-45,7.320665906750638e-59
TNP_0014,Retreat,2,0.9999999999968203,4,0.8156636274587128,50,1.066293139080115e-81,3.1796520009263236e-12,0.9999999999968203,7.118849667257641e-145
TNP_0015,Winter,1,1.0,4,0.8156636274587128,50,0.0,1.0,1.8371862820294e-88,1.0995253742184398e-231
TNP_0015,Summer,3,0.9999999948452043,4,0.8156636274587128,50,4.114476601518279e-87,5.154794123459072e-09,3.852201447474011e-37,0.9999999948452043
TNP_0015,Monsoon,1,1.0,4,0.8156636274587128,50,1.0359669566891387e-143,1.0,1.2592539457292654e-15,2.7798100593005034e-136
TNP_0015,Retreat,1,1.0,4,0.8156636274587128,50,3.3436327095887416e-231,1.0,1.3875183638155917e-27,1.31568729895154e-158
TNP_0016,Winter,1,0.9999999999999893,4,0.8156636274587128,50,8.809939837975644e-207,0.9999999999999893,9.837863240617615e-15,5.385825803947565e-252
TNP_0016,Summer,3,1.0,4,0.8156636274587128,50,2.6903598694542362e-33,5.693217700098958e-29,7.221539312144327e-61,1.0
TNP_0016,Monsoon,0,1.0,4,0.8156636274587128,50,1.0,4.4423413430519407e-32,3.877911690528742e-41,6.732930403974372e-57
TNP_0016,Retreat,2,0.9999999999877689,4,0.8156636274587128,50,2.1155270380940204e-90,1.2230817246928017e-11,0.9999999999877689,1.7189244181198228e-146
TNP_0017,Winter,1,1.0,4,0.8156636274587128,50,0.0,1.0,1.4505128755935681e-263,9.928980339033669e-301
TNP_0017,Summer,1,1.0,4,0.8156636274587128,50,0.0,1.0,1.81941208678541e-108,6.701544240637565e-58
TNP_0017,Monsoon,1,1.0,4,0.8156636274587128,50,0.0,1.0,1.885702677071019e-143,5.48391921100401e-231
TNP_0017,Retreat,1,1.0,4,0.8156636274587128,50,0.0,1.0,5.086231120094458e-160,3.117146260902298e-231
TNP_0018,Winter,1,1.0,4,0.8156636274587128,50,1.2438827496545824e-267,1.0,5.66530620691613e-53,3.8873894906279427e-205
TNP_0018,Summer,3,1.0,4,0.8156636274587128,50,1.2442129341077227e-51,2.4613206900733398e-21,3.5558503339105126e-47,1.0
TNP_0018,Monsoon,1,0.9999999999882689,4,0.8156636274587128,50,1.450282796559136e-127,0.9999999999882689,1.1729507380895302e-11,2.368170905211716e-138
TNP_0018,Retreat,1,0.999999999992216,4,0.8156636274587128,50,5.2445711644823004e-176,0.999999999992216,7.785060424365335e-12,5.94883884336706e-144
TNP_0019,Winter,1,1.0,4,0.8156636274587128,50,1.0380413318806676e-193,1.0,1.5799410262872803e-23,2.073722897880718e-210
TNP_0019,Summer,3,1.0,4,0.8156636274587128,50,1.7357542371879694e-41,1.023999462265127e-37,3.745112195491905e-86,1.0
TNP_0019,Monsoon,2,0.9999999999845564,4,0.8156636274587128,50,4.246341375951465e-28,1.54436526221405e-11,0.9999999999845564,8.657900686962207e-95
TNP_0019,Retreat,2,0.9999999913912268,4,0.8156636274587128,50,3.569923178909869e-108,8.608773290140077e-09,0.9999999913912268,8.37770479803322e-141
