k,kmeans_silhouette
2,0.22531841247565604
3,0.2528318623155744
4,0.2590056570090097
5,0.2701315079889177
6,0.2848112812651432
7,0.2693272635151363
8,0.24113480739499585
9,0.24424267592804494
10,0.2570418021160829
11,0.2598034382654367
12,0.23702824782256637
