cluster_id,year,ghi_daily_kWh_mean,ta_mean_true_mean,n_days,ghi_10yr_mean,ta_10yr_mean,ghi_scale,tamb_offset_C
0,2016,5.567988067143506,28.011754350306195,366,5.318122424415992,27.41596892876426,1.046983807965826,0.5957854215419331
0,2017,5.384301024897838,27.484575491028213,365,5.318122424415992,27.41596892876426,1.012443978381922,0.06860656226395179
0,2018,5.293032512674589,27.278032305598124,365,5.318122424415992,27.41596892876426,0.9952821861290344,-0.1379366231661372
0,2019,5.399675808278816,27.99417169690311,365,5.318122424415992,27.41596892876426,1.0153349955782147,0.5782027681388477
0,2020,5.328845257682854,27.477472217245985,366,5.318122424415992,27.41596892876426,1.0020162817647131,0.06150328848172393
0,2021,5.207953877851961,26.628558308419645,365,5.318122424415992,27.41596892876426,0.9792843154459482,-0.7874106203446161
0,2022,5.214866997816552,26.774857006807295,365,5.318122424415992,27.41596892876426,0.9805842328628268,-0.6411119219569663
0,2023,5.37476777939791,27.52895930430966,365,5.318122424415992,27.41596892876426,1.0106513822851941,0.11299037554539737
0,2024,5.219637301540333,27.741206013611013,366,5.318122424415992,27.41596892876426,0.9814812230678435,0.3252370848467514
0,2025,5.190155616875566,27.240102593413344,365,5.318122424415992,27.41596892876426,0.9759375965184782,-0.17586633535091778
1,2016,5.475900424633372,26.555853132466147,366,5.2378463276407015,25.9004686958668,1.0454488509402105,0.6553844365993484
1,2017,5.276819581470837,25.894307552281756,365,5.2378463276407015,25.9004686958668,1.007440702035199,-0.00616114358504305
1,2018,5.276999268111391,25.844504687699043,365,5.2378463276407015,25.9004686958668,1.0074750074785652,-0.05596400816775571
1,2019,5.359762010441632,26.426355462801077,365,5.2378463276407015,25.9004686958668,1.0232759182256967,0.5258867669342777
1,2020,5.258506527583382,25.942893862827017,366,5.2378463276407015,25.9004686958668,1.003944407424413,0.04242516696021781
1,2021,5.090896879595757,25.11616602385782,365,5.2378463276407015,25.9004686958668,0.971944681295922,-0.7843026720089803
1,2022,5.079192392305923,25.18689092687875,365,5.2378463276407015,25.9004686958668,0.9697100820813425,-0.7135777689880491
1,2023,5.309602598980985,26.05606899885214,365,5.2378463276407015,25.9004686958668,1.0136995755224083,0.15560030298534144
1,2024,5.149421853020341,26.31231329654377,366,5.2378463276407015,25.9004686958668,0.9831181617235055,0.4118446006769716
1,2025,5.101361740263391,25.66933301446046,365,5.2378463276407015,25.9004686958668,0.9739426132727365,-0.23113568140633944
2,2016,5.461637751690351,28.153430496919103,366,5.228216622253163,27.968580862929635,1.044646415078454,0.18484963398946874
2,2017,5.244155077047096,28.12932226417556,365,5.228216622253163,27.968580862929635,1.0030485452201985,0.16074140124592518
2,2018,5.274826653498048,27.95936986376792,365,5.228216622253163,27.968580862929635,1.0089150918205063,-0.009210999161712863
2,2019,5.351172635532814,28.387880664601333,365,5.228216622253163,27.968580862929635,1.0235177732988923,0.41929980167169845
2,2020,5.184982788914355,27.936212991113578,366,5.228216622253163,27.968580862929635,0.991730672911526,-0.03236787181605649
2,2021,5.159608137446864,27.475397642679578,365,5.228216622253163,27.968580862929635,0.9868772681464121,-0.49318322025005656
2,2022,5.111776965767805,27.522866013272825,365,5.228216622253163,27.968580862929635,0.9777286090270726,-0.4457148496568095
2,2023,5.230660198229861,28.021914917587488,365,5.228216622253163,27.968580862929635,1.0004673823127943,0.0533340546578529
2,2024,5.157629358831773,28.34063829118022,366,5.228216622253163,27.968580862929635,0.986498787536663,0.3720574282505851
2,2025,5.105716655572667,27.758775483998747,365,5.228216622253163,27.968580862929635,0.9765694546474811,-0.2098053789308878
