,PC1,PC2,PC3,PC4
Ta_mean,0.4627663935981825,0.056723933235526304,0.1789156318971237,0.11279345513224513
Ta_p95,0.3859589960562291,-0.3608127209316102,0.11926492852613294,0.6046659441596514
Ta_p05,0.38438005854916235,0.4025568564283427,0.06226920298067737,-0.4544490198529019
HDD18,-0.30930123876955495,0.1233058544770321,0.9285996582654747,-0.026325475024920858
CDD24,0.45588435970418784,0.04418142829297883,0.2577006833883442,0.1549142784084916
RH_mean,-0.07325451580345206,0.8245767712070521,-0.14476076205329977,0.5118659632824769
elev_proxy,0.4245831592235685,0.08637921732792331,0.014999135536143071,-0.3583777227317201
