cluster_id,name,family,pcm_type,Tm_C,Tm_target_C,Tm_target_capped_C,L_required_kJ_per_kg,latent_heat_kJ_kg,cycles_tested,supercooling_K,breakeven_kappa,rescuable_by_kappa,calibrated_kappa,calibration_status,c1_melting_window,c2_absolute_band,c3_latent_heat,c4_cycling,c5_supercooling,c6_charging_feasibility,c7_corrosion_veto,c8_safety,survives_all,passes_all,upstream_cluster_profile_fingerprint,Tm_freezing_C,density_liquid_kg_m3,density_solid_kg_m3,Cp_liquid_kJ_kgK,Cp_solid_kJ_kgK,TC_W_mK,cycles_tested_status,flammable,n_properties_imputed,any_property_imputed,source,rho_H_MJ_m3,Cp_avg_kJ_kgK,cycles_confidence,in_absolute_band,corrosion_class,survives_c1_c2_c3_c6,survives_c7_corrosion,survives_c8_safety,f_Tm,latent_heat_margin_ratio,cycles_confidence_imputed,topsis_score,gra_grade,promethee_flow,vikor_Q,vikor_S,vikor_R,topsis_rank,gra_rank,promethee_rank,vikor_rank,vikor_compromise_note,borda_score,copeland_score,consensus_rank,copeland_rank,kendall_w,borda_copeland_agree,weight_f_Tm,weight_latent_heat_margin_ratio,weight_rho_H_MJ_m3,weight_TC_W_mK,weight_cycles_confidence,top3_inclusion_probability,top1_retention_rate,mean_spearman_rho_vs_baseline,n_draws
0,Paraffin/HDPE PCM3,Literature,Organic blend,49.9,57.0,53.34587615848573,276.0703663181191,187.0,2000.0,-0.1000000000000014,0.6773635377602162,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,True,2505_3_1788855388.673,50.0,851.0,952.0,2.19,2.02,0.174,Estimated via MICE-RF-PMM,Yes,11,True,manufacturer_datasheet_MICE_RF_PMM_completed,178.024,2.105,1.0,True,low_organic,True,True,True,0.2069428729276775,0.6773635377602162,False,0.24909982026718838,0.46844841918743496,-0.1750943845126273,0.7871815089498602,0.6829756161058368,0.2271840447645338,12,11,10,9,single VIKOR winner acceptable,14.0,-7.0,11,10,0.9059065934065934,True,0.2317775912806892,0.20990161516565103,0.18571398696105504,0.2578358603280026,0.11477094626460208,0.0018,0.0,0.7666307692307691,5000
0,Palmitic-Stearic eutectic (64.2/35.8),Eutectic,Organic,52.3,57.0,53.34587615848573,276.0703663181191,181.7,,,0.6581655337488304,True,0.6,in_band,pass,pass,pass,flag_unreported,flag_unknown,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Likely (organic),True,True,2505_3_1788855388.673,,,,,,,not_reported,Likely (organic),0,False,Singh2025_Table2_literature,,,0.977544241901108,True,low_organic,True,True,True,0.50141935103294,0.6581655337488304,True,0.261053784416798,0.4539355337577031,-0.2599064491183374,0.9207073975421385,0.7146389954250586,0.2578358603280026,9,12,12,13,single VIKOR winner acceptable,10.0,-10.0,12,12,0.9059065934065934,True,0.2317775912806892,0.20990161516565103,0.18571398696105504,0.2578358603280026,0.11477094626460208,0.0046,0.0002,0.7666307692307691,5000
0,PlusICE A50,PCM Products Ltd.,Organic PCM,50.0,57.0,53.34587615848573,276.0703663181191,190.0,1526.0,1.1000000000000014,0.6882303324836422,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,True,2505_3_1788855388.673,48.9,810.0,810.0,2.15,2.15,0.18,Estimated via MICE-RF-PMM,Yes,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,153.9,2.15,0.9644352426742184,True,low_organic,True,True,True,0.2162651668298873,0.6882303324836422,False,0.1882974343146378,0.3885146618102211,-0.4291676325059092,0.8606060606026733,0.7969680178842338,0.21636575691860357,13,13,13,11,single VIKOR winner acceptable,6.0,-12.0,13,13,0.9059065934065934,True,0.2317775912806892,0.20990161516565103,0.18571398696105504,0.2578358603280026,0.11477094626460208,0.0,0.0,0.7666307692307691,5000
1,n-Tetracosane (C24),Literature,Organic n-alkane,52.0,57.0,52.6050358242751,308.769419760062,255.0,1368.0,2.700000000000003,0.8258589862887165,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,True,2505_3_1788855388.673,49.3,799.0,799.0,2.39,2.0,0.2395,Estimated via MICE-RF-PMM,Yes,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,203.745,2.1950000000000003,0.9500662519113888,True,low_organic,True,True,True,0.45783336177161427,0.8258589862887165,False,0.7633184333018513,0.785956697454371,0.6132496232800305,0.0,0.21702856413922367,0.11728385201211759,1,1,1,1,single VIKOR winner acceptable,52.0,12.0,1,1,0.9306318681318682,True,0.27290707194569386,0.259022599014713,0.13833772704355699,0.17199337363011682,0.1577392283659195,0.9714,0.805,0.6866065934065934,5000
1,PlusICE A52,PCM Products Ltd.,Organic PCM,52.0,57.0,52.6050358242751,308.769419760062,220.0,1447.0,2.799999999999997,0.712505792092226,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,True,2505_3_1788855388.673,49.2,810.0,810.0,2.15,2.15,0.18,Estimated via MICE-RF-PMM,Yes,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,178.2,2.15,0.957446830545145,True,low_organic,True,True,True,0.45783336177161427,0.712505792092226,False,0.5804808335399658,0.5989567819283316,0.19448952868698802,0.273839778534314,0.4532201953229227,0.1333204553752199,2,3,3,2,single VIKOR winner acceptable,46.0,9.0,2,2,0.9306318681318682,True,0.27290707194569386,0.259022599014713,0.13833772704355699,0.17199337363011682,0.1577392283659195,0.6234,0.1032,0.6866065934065934,5000
1,n-Docosane (C22),Literature,Organic n-alkane,44.5,57.0,52.6050358242751,308.769419760062,249.0,1440.0,0.2000000000000028,0.8064270101407467,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=No,True,True,2505_3_1788855388.673,44.3,880.0,880.0,2.06,2.0,0.24,Estimated via MICE-RF-PMM,No,7,True,manufacturer_datasheet_MICE_RF_PMM_completed,219.12,2.03,0.9568093196316532,True,low_organic,True,True,True,0.0075756774442599355,0.8064270101407467,False,0.4871591728280687,0.6157472242096461,0.20827451862478488,0.726026893808831,0.4622852077694486,0.27140638558276364,3,2,2,4,single VIKOR winner acceptable,45.0,9.0,3,2,0.9306318681318682,True,0.27290707194569386,0.259022599014713,0.13833772704355699,0.17199337363011682,0.1577392283659195,0.3468,0.0238,0.6866065934065934,5000
1,savE® OM49,Pluss Advanced Technologies,Organic,49.0,57.0,52.6050358242751,308.769419760062,224.0,1200.0,3.5,0.7254604428575392,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=No,True,True,2505_3_1788855388.673,45.5,780.0,816.0,2.4,2.1,0.3,Reported by manufacturer,No,1,True,manufacturer_datasheet_MICE_RF_PMM_completed,182.784,2.25,0.9328423243457084,True,low_organic,True,True,True,0.1353352832366127,0.7254604428575392,False,0.4861675870345438,0.5380489771610135,0.06123482531420691,0.5586108128987584,0.5472905524539644,0.19439543376884344,4,4,4,3,single VIKOR winner acceptable,41.0,6.0,4,4,0.9306318681318682,True,0.27290707194569386,0.259022599014713,0.13833772704355699,0.17199337363011682,0.1577392283659195,0.3406,0.0378,0.6866065934065934,5000
1,RT45HC,Rubitherm Technologies,Organic (RT-line),45.0,57.0,52.6050358242751,308.769419760062,240.0,1216.0,0.0,0.7772790459187919,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=No,True,True,2505_3_1788855388.673,45.0,770.0,880.0,2.0,2.0,0.24,Estimated via MICE-RF-PMM,No,4,True,manufacturer_datasheet_MICE_RF_PMM_completed,211.2,2.0,0.9345833545300116,True,low_organic,True,True,True,0.011108996538242306,0.7772790459187919,False,0.44213874608637976,0.5332642085303699,0.05545564893950794,0.8143971492739024,0.5634409661219383,0.2692765710392519,5,5,5,8,single VIKOR winner acceptable,33.0,4.0,5,5,0.9306318681318682,True,0.27290707194569386,0.259022599014713,0.13833772704355699,0.17199337363011682,0.1577392283659195,0.144,0.004,0.6866065934065934,5000
1,Paraffin/HDPE PCM2,Literature,Organic blend,50.6,57.0,52.6050358242751,308.769419760062,187.0,2000.0,1.3999999999999986,0.605629923278392,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,True,2505_3_1788855388.673,49.2,846.0,954.0,2.06,2.02,0.177,Estimated via MICE-RF-PMM,Yes,11,True,manufacturer_datasheet_MICE_RF_PMM_completed,178.398,2.04,1.0,True,low_organic,True,True,True,0.2780373004531943,0.605629923278392,False,0.41031239808545306,0.5241800843767032,-0.01638399373925418,0.8066960790786604,0.5902603316112381,0.259022599014713,6,6,6,7,single VIKOR winner acceptable,31.0,2.0,6,6,0.9306318681318682,True,0.27290707194569386,0.259022599014713,0.13833772704355699,0.17199337363011682,0.1577392283659195,0.182,0.0116,0.6866065934065934,5000
1,Paraffin/HDPE PCM6,Literature,Organic blend,50.3,57.0,52.6050358242751,308.769419760062,187.0,2000.0,1.0,0.605629923278392,True,0.6,in_band,pass,pass,pass,pass,pass,pass,not_applicable,flag_unverified_toxicity_flammable_raw=Yes,True,True,2505_3_1788855388.673,49.3,851.0,953.0,2.19,2.02,0.1745,Estimated via MICE-RF-PMM,Yes,11,True,manufacturer_datasheet_MICE_RF_PMM_completed,178.211,2.105,1.0,True,low_organic,True,True,True,0.24590438437706738,0.605629923278392,False,0.38581092030024433,0.5120539954818281,-0.03996164413515283,0.8279117360538478,0.6128001461290207,0.259022599014713,8,7,7,9,single VIKOR winner acceptable,25.0,-1.0,7,7,0.9306318681318682,True,0.27290707194569386,0.259022599014713,0.13833772704355699,0.17199337363011682,0.1577392283659195,0.1168,0.0056,0.6866065934065934,5000
