config_label,collector_area_m2,tank_volume_L,storage_collector_ratio_Lm2,regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,solar_fraction_pct,useful_energy_kWh,max_water_temp_C,max_pcm_temp_C,n_safety_violations,meets_temperature_safety
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,0,NONE_plain_tank,0.0409388043445947,9,0.0158789250889713,True,54.965636282666686,1585.697079983394,68.5890814408164,68.5890814408164,0,True
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,1,NONE_plain_tank,0.0400376241125504,8,0.018275533922346,True,58.22767178623138,1673.3612712344016,72.37973414445759,72.37973414445759,0,True
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,2,NONE_plain_tank,0.0427647187312085,10,0.0125453189486936,True,53.88226158347974,1592.2735801480922,68.71929693905922,68.71929693905922,0,True
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,0,Myristic acid/NBR-0.5,0.0400970798986782,9,0.0314963421478992,True,54.95727066621414,1586.7549797596623,68.65965574769416,68.60746509149492,2265,False
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,0,Palmitic-stearic acid/Expanded graphite,0.0407027930255427,10,0.0357514768269417,True,54.96340523668191,1586.7828089979143,68.65682531948617,68.60408947174783,2208,False
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,0,savE® OM55,0.0400586073454453,12,0.0267901061955944,True,54.96536754588146,1586.7301983151533,68.64057367851184,68.57840007139362,1437,False
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,1,CrodaTherm 60,0.041240189985132,13,0.0166176936225915,True,58.163650353141186,1674.386602733022,72.22675845433336,72.21209891871663,10800,False
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,1,PureTemp 60,0.0415381434800603,9,0.0377612311436646,True,58.18850233839468,1674.2735212883938,72.2361077480714,72.22144826253624,7935,False
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,1,n-Heptacosane (C27),0.0400376722261537,13,0.0182869197727085,True,58.180614845443245,1674.5670223180196,72.3401279669165,72.33043656984601,9631,False
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,2,PlusICE A58,0.0411300551484907,8,0.0183858206157784,True,53.86238304559833,1593.199211027963,68.62156249185301,68.58996084709625,1223,False
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,2,PureTemp 58,0.040006621689109,11,0.0258943174795292,True,53.86040484198149,1593.1619435218267,68.56413008930026,68.5272339294884,1184,False
frozen_33.3_Lm2,1.5,50.0,33.333333333333336,2,n-Heptacosane (C27),0.0405808949992341,8,0.0111939190063811,True,53.860928581203325,1593.4991575343981,68.62674545365648,68.59502532582496,1539,False
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,0,NONE_plain_tank,0.0409388043445947,9,0.0158789250889713,True,60.64776666591778,1615.2595986764295,60.3546458180032,60.3546458180032,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,1,NONE_plain_tank,0.0400376241125504,8,0.018275533922346,True,65.27968503077615,1706.9287381133324,63.16884922596118,63.16884922596118,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,2,NONE_plain_tank,0.0427647187312085,10,0.0125453189486936,True,59.65074983118126,1624.9686365623343,60.44039102018679,60.44039102018679,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,0,Myristic acid/NBR-0.5,0.0400970798986782,9,0.0314963421478992,True,60.67367505637233,1616.3650538729955,60.331479783468176,60.29911236481555,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,0,Palmitic-stearic acid/Expanded graphite,0.0407027930255427,10,0.0357514768269417,True,60.67424024350172,1616.355624204042,60.3010161953488,60.227340177400166,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,0,savE® OM55,0.0400586073454453,12,0.0267901061955944,True,60.63436118538864,1615.2949864477046,60.29811572076759,60.076103331044735,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,1,CrodaTherm 60,0.041240189985132,13,0.0166176936225915,True,65.2991741362609,1708.317034052639,63.110948127119755,62.788801110130606,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,1,PureTemp 60,0.0415381434800603,9,0.0377612311436646,True,65.29811454298111,1708.0020858125436,63.16235468111297,61.79490656528229,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,1,n-Heptacosane (C27),0.0400376722261537,13,0.0182869197727085,True,65.30430699552787,1708.3666030533066,63.068333383840226,63.03394970636604,0,True
caseA_tank_resize_75.0_Lm2,1.5,112.5,75.0,2,PlusICE A58,0.0411300551484907,8,0.0183858206157784,True,59.6773431324957,1626.0343034381663,60.421801862747316,59.898001888380776,0,True
