target,arr_single_layer,arr_staggered,arr_radial,combined
useful_energy_kWh,2.3782126134994945e-07,4.566793955782615e-07,1.2082694812688477e-07,8.153276050550958e-07
solar_fraction,4.162018466105803e-05,2.088591058898989e-05,2.0941338689592727e-05,8.344743393964065e-05
unmet_energy_kWh,2.0747078624382375e-05,1.252274394150879e-05,1.608399417710916e-05,4.9353816743000326e-05
pump_energy_kWh,0.0007657604767362435,0.0007328133123343908,0.00022617057936859237,0.0017247443684392267
pcm_mass_kg,0.00023309768689941748,0.00015274545642954255,0.0005551149807050484,0.0009409581240340084
