regime_id,pcm_id,n_draws,p_meets_delivery_temp,p_meets_annual_demand,p_temperature_violation,p_exceeds_max_safe_temp,useful_energy_p05_kWh,useful_energy_p50_kWh,useful_energy_p95_kWh,solar_fraction_p05,solar_fraction_p95,pump_energy_p05_kWh,pump_energy_p95_kWh,pcm_mass_p05_kg,pcm_mass_p95_kg,max_water_temp_p95_C,robust_per_framework_rule,mean_shield_water_activations,mean_shield_pcm_activations
0,NONE_plain_tank,120,1.0,0.875,0.0,0.0,1438.2835880635146,1566.0186124526126,1666.6217440826304,0.4800057856854257,0.6316296903294221,4.962362143820863e-11,5.363682400630255e-11,0.0,0.0,72.70739525372784,True,408.7083333333333,0.0
1,NONE_plain_tank,120,1.0,0.9916666666666667,0.0,0.0,1502.0653345198677,1650.4502384942723,1771.3315814081102,0.5114539920792824,0.651382675094521,6.118856816290826e-11,6.684685513736374e-11,0.0,0.0,72.79485559208982,True,653.6833333333333,0.0
2,NONE_plain_tank,120,1.0,0.8,0.0,0.0,1444.871842651625,1558.3813106511948,1689.0073380080821,0.46961221488745675,0.6085139243795561,3.246824577476603e-11,3.453109134314038e-11,0.0,0.0,72.70585279074174,True,293.9583333333333,0.0
