config_label,delivery_target_temp_C,regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,solar_fraction_pct,in_gate4_band,useful_energy_kWh,unmet_energy_kWh,delivery_temp_hours,max_water_temp_C,max_pcm_temp_C,n_safety_violations,meets_temperature_safety
frozen_45C,45.0,0,NONE_plain_tank,0.0409117947436242,11,0.0267097428346113,True,54.965636282666686,True,1585.697079983394,1141.517320529455,2910,68.5890814408164,68.5890814408164,0,True
frozen_45C,45.0,1,NONE_plain_tank,0.0412526753840802,8,0.0359486983656569,True,58.22736272381002,True,1673.3426178819548,1022.0880895458874,3447,72.03380786332438,72.03380786332438,0,True
frozen_45C,45.0,2,NONE_plain_tank,0.0425343520779349,31,0.0243935120975381,True,53.88226158347974,False,1592.2735801480922,1202.3307789221287,2752,68.71929693905922,68.71929693905922,0,True
frozen_45C,45.0,0,Lauric acid (C12),0.0441119964755064,37,0.0232765877986536,True,55.28380560099671,True,1587.5937768236113,1133.452461658251,2855,68.8665359992855,62.11802207841701,0,True
frozen_45C,45.0,0,RT45HC,0.0430323406442994,34,0.0269553772076858,True,55.33616065426319,True,1588.3402072852143,1132.1253817311078,2853,68.82787570565658,62.09763651100593,0,True
frozen_45C,45.0,0,RT50,0.0409117947436242,11,0.0267097428346113,True,54.992118828057656,True,1586.8852517851194,1140.846049043413,2913,68.70149976336417,62.104978393939994,0,True
frozen_45C,45.0,1,Paraffin/HDPE PCM3,0.0409225846685407,23,0.0390720795632669,True,58.32368940355048,True,1674.752884919437,1019.7311794131307,3459,72.05423130653395,62.15505124637944,0,True
frozen_45C,45.0,1,Paraffin/HDPE PCM6,0.0401401632169361,25,0.0401073665905664,True,58.31602553089752,True,1674.7412607492458,1019.9186981686885,3459,72.06844668254729,62.1299452249968,0,True
frozen_45C,45.0,1,savE® OM50,0.0403521537357055,17,0.0262002762188304,True,58.33116760587607,True,1675.0659355583734,1019.5482036178113,3455,72.0107606474947,62.1612005498265,0,True
frozen_45C,45.0,2,Paraffin/HDPE PCM3,0.0421704260720027,30,0.0307687566820631,True,53.95690707156222,False,1593.1548933696954,1200.3847041380911,2773,68.93469550330255,62.16467263536827,0,True
frozen_45C,45.0,2,Paraffin/HDPE PCM6,0.0403443830801294,29,0.0415599248500223,True,53.9365912818254,False,1593.212274447613,1200.9143549869268,2772,68.91828229449574,62.09719770480764,0,True
frozen_45C,45.0,2,savE® OM50,0.0404288998135213,33,0.0277519536914665,True,54.02438817013934,True,1593.8641415692637,1198.6254114103783,2767,68.91163436112987,62.12265409375503,0,True
o1_reconciled_60C,60.0,0,NONE_plain_tank,0.0409117947436242,11,0.0267097428346113,True,35.64799357217466,False,1585.697079983394,2860.2098767683524,430,68.5890814408164,68.5890814408164,0,True
o1_reconciled_60C,60.0,1,NONE_plain_tank,0.0412526753840802,8,0.0359486983656569,True,38.32221331877125,False,1673.3426178819548,2687.0859169073506,610,72.03380786332438,72.03380786332438,0,True
o1_reconciled_60C,60.0,2,NONE_plain_tank,0.0425343520779349,31,0.0243935120975381,True,35.217966800178665,False,1592.2735801480922,2926.1734327954077,320,68.71929693905922,68.71929693905922,0,True
o1_reconciled_60C,60.0,0,Lauric acid (C12),0.0441119964755064,37,0.0232765877986536,True,35.691300682975836,False,1587.5937768236113,2858.285035059077,427,68.8665359992855,62.11802207841701,0,True
o1_reconciled_60C,60.0,0,RT45HC,0.0430323406442994,34,0.0269553772076858,True,35.7085139977376,False,1588.3402072852143,2857.5199665611935,425,68.82787570565658,62.09763651100593,0,True
o1_reconciled_60C,60.0,0,RT50,0.0409117947436242,11,0.0267097428346113,True,35.673737700627804,False,1586.8852517851194,2859.0656449944286,435,68.70149976336417,62.104978393939994,0,True
o1_reconciled_60C,60.0,1,Paraffin/HDPE PCM3,0.0409225846685407,23,0.0390720795632669,True,38.35506152241941,False,1674.752884919437,2685.6548353110725,599,72.05423130653395,62.15505124637944,0,True
o1_reconciled_60C,60.0,1,Paraffin/HDPE PCM6,0.0401401632169361,25,0.0401073665905664,True,38.354763993582644,False,1674.7412607492458,2685.6677976041474,597,72.06844668254729,62.1299452249968,0,True
o1_reconciled_60C,60.0,1,savE® OM50,0.0403521537357055,17,0.0262002762188304,True,38.362192286361626,False,1675.0659355583734,2685.3441728117036,604,72.0107606474947,62.1612005498265,0,True
o1_reconciled_60C,60.0,2,Paraffin/HDPE PCM3,0.0421704260720027,30,0.0307687566820631,True,35.24038672258117,False,1593.1548933696954,2925.160735631409,312,68.93469550330255,62.16467263536827,0,True
o1_reconciled_60C,60.0,2,Paraffin/HDPE PCM6,0.0403443830801294,29,0.0415599248500223,True,35.24094448749321,False,1593.212274447613,2925.1355416572974,313,68.91828229449574,62.09719770480764,0,True
o1_reconciled_60C,60.0,2,savE® OM50,0.0404288998135213,33,0.0277519536914665,True,35.2570990774452,False,1593.8641415692637,2924.405846561291,310,68.91163436112987,62.12265409375503,0,True
