regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,arrangement,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,predicted_feasible_proba
0,savE® OM42,0.04030219385280099,34,0.03627416722026698,radial,True,0.020151096926400495,0.023307387568518464,0.6588355770310624,0.0009618591329619826,5.815106505233995e-08,28.449184875462738,1586.903508096012,0.5528817847474173,1131.312754116135,2.2033240344512595e-07,1.0226875163148896,1.0
0,savE® OM42,0.04075175292501562,28,0.015434807047697775,single-layer,True,0.02037587646250781,0.019843831603080363,0.7110482646435422,0.0001747982574288046,4.496628959479006e-09,12.240275373525499,1586.8962786184206,0.5525184461277494,1132.079353892858,1.6293720282145732e-08,0.89643531308274,1.0
0,savE® OM42,0.04028414477607004,36,0.026524432042105722,staggered,True,0.02014207238803502,0.024645269014055674,0.6344513575996574,0.0007628272359431979,3.3722598632737835e-08,20.793324468624604,1586.8906550817965,0.5529160877980192,1131.245181037852,1.266940759374772e-07,1.0586459653250002,1.0
0,savE® OM42,0.04123588112888576,25,0.04646945342670742,single-layer,True,0.02061794056444288,0.018356693798865675,0.73491788340694,0.000700163833029503,5.422705105004907e-08,37.28949763014197,1586.882688074115,0.5523626105176975,1132.462454497385,2.0594392780438381e-07,0.8286116771257758,1.0
0,savE® OM42,0.04139574338268757,32,0.04163405835618864,single-layer,True,0.020697871691343784,0.023770901607127037,0.6604281582238845,0.0011511568519840063,7.987888592104756e-08,33.53884649617392,1586.8523676072946,0.5529168698128302,1131.2318107636538,3.015176669572054e-07,1.0191905002707566,1.0
0,savE® OM42,0.04148141972668045,37,0.034478703053006814,radial,True,0.020740709863340225,0.027656115350419758,0.6059125762571849,0.0014059143629457822,8.07901730632748e-08,27.83224394139711,1586.8517523361973,0.5532372808848777,1130.5502290793443,3.071310101140206e-07,1.1650326772944923,1.0
0,savE® OM42,0.041401020780665994,25,0.04834362147838286,staggered,True,0.020700510390332997,0.018578120447310904,0.7336182601486242,0.0007543571444372137,6.078059375031074e-08,38.948785419582364,1586.8500367243937,0.5524108572711441,1132.4165427603514,2.3362214066345177e-07,0.8382903104441641,1.0
0,savE® OM42,0.0402198393482719,25,0.03789268255497629,staggered,True,0.02010991967413595,0.01703294018424847,0.7462311498714168,0.0004593390587983568,2.9009315233579542e-08,29.65783005728067,1586.8451075673022,0.5521217972091351,1133.0111318074373,1.12360635459212e-07,0.7826796482352255,1.0
0,savE® OM42,0.041526332286199216,37,0.02685843032089559,single-layer,True,0.020763166143099608,0.027746043728104134,0.5970457926305701,0.0010672561830665933,4.7774709712398476e-08,21.7044053501372,1586.8398735101289,0.5531935012375953,1130.6243816035706,1.726814209730663e-07,1.1585623342356104,1.0
0,savE® OM42,0.04001536855999967,27,0.021258636281738665,single-layer,True,0.020007684279999834,0.01811643941777351,0.7290291242192115,0.00022960145960417382,8.13502319913574e-09,16.55411287133965,1586.8284814224824,0.5523364772675049,1132.5193093539901,2.569823622243362e-08,0.8309376373134102,1.0
0,savE® OM42,0.041827944788723266,36,0.011748319265168804,radial,True,0.020913972394361633,0.0275886657182043,0.6099126142601146,0.0003216045302620322,6.297187831071661e-09,9.562819432465133,1586.8080998146945,0.5531308702939132,1130.561935510631,2.5454333587071512e-08,1.1389073858887144,1.0
0,savE® OM42,0.04252862219504842,29,0.041625520587812825,staggered,True,0.02126431109752421,0.023359877179123547,0.6676559186359694,0.0010642088351881852,7.383041129809685e-08,34.449639395482336,1586.8074110343923,0.552936728270861,1131.2160681688233,2.8178126876912875e-07,1.0105780634295547,1.0
