regime_id,pcm_id_unshielded,pcm_id_shielded,selection_unchanged,solar_fraction_unshielded_pct,solar_fraction_shielded_pct,solar_fraction_delta_pp,useful_energy_unshielded_kWh,useful_energy_shielded_kWh,max_water_temp_unshielded_C,max_water_temp_shielded_C,max_pcm_temp_unshielded_C,max_pcm_temp_shielded_C,n_safety_violations_unshielded,n_safety_violations_shielded,meets_temperature_safety_unshielded,meets_temperature_safety_shielded
0,NONE_plain_tank,savE® OM55,False,54.96563628266718,54.9454130157786,-0.020223266888574898,1585.697079983394,1585.613072945578,68.5890814408164,68.65852398285847,68.5890814408164,62.76543518328251,0,0,True,True
1,NONE_plain_tank,CrodaTherm 60,False,58.227671786231824,58.173558880370415,-0.05411290586141426,1673.3612712344016,1674.4568278333631,72.37973414445759,72.00502766910846,72.37973414445759,63.323000788957806,0,0,True,True
2,NONE_plain_tank,PlusICE A58,False,53.88226158348024,53.84570312140329,-0.036558462076952125,1592.2735801480922,1592.9479862418495,68.71929693905922,68.50058858303355,68.71929693905922,63.31447786786216,0,0,True,True
