regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,predicted_feasible_proba,sim_useful_energy_kWh,sim_solar_fraction,sim_unmet_energy_kWh,sim_pump_energy_kWh,sim_residual_pct_of_collector,sim_pcm_mass_kg,sim_max_water_temp_C,sim_max_pcm_temp_C,sim_n_safety_violations,sim_mean_f_melt,surrogate_vs_sim_error_pct,large_surrogate_error,meets_temperature_safety,constraint_margin_C,selection_rule_pool_size,best_useful_energy_in_regime_kWh,plain_tank_useful_energy_kWh,pcm_vs_plain_tank_pct,deployment_note
0,RT45HC,0.05002188349184461,24,0.01754733814779665,True,0.025010941745922305,0.031457194002482806,0.9685428059975172,3.6795388893741586e-06,1.0761018853302749e-10,17.08106615830035,1587.8411129326203,0.5532118739918873,1132.6348999420518,2.936517505657039e-09,1.3712279702909107,0.97,1587.8750710756547,0.5533485999855283,1132.1583503554841,4.1057471766070194e-10,0.0004135583597124848,1.3841165361092436,68.83820799311098,62.138828140793166,0,0.2934054023201689,0.0021385903496421214,False,True,2.8611718592068343,15,1587.9508149412643,1585.697079983394,0.13735227993757565,Meets this project's precautionary temperature-safety margin as-is.
1,Paraffin/HDPE PCM6,0.04139992799114439,15,0.030168723889503764,True,0.020699963995572196,0.011145989618867657,0.9888540103811323,3.2886729888722917e-06,1.6535844560692877e-10,24.3052568652849,1674.6613480959018,0.5828921990692063,1020.5596764342537,2.936517505657039e-09,0.5300954640988274,0.95,1674.6871504373391,0.5828071277861435,1020.7827265344117,6.26327265768087e-10,0.000572841800388432,0.531106405339044,72.0124368800423,62.16408698480934,0,0.22459685624099768,0.0015407260652024232,False,True,2.8359130151906626,15,1674.7553256481692,1673.3426178819548,0.0803501052932141,Meets this project's precautionary temperature-safety margin as-is.
2,Paraffin/HDPE PCM3,0.0416415423822142,8,0.01811428651715439,True,0.0208207711911071,0.006049215085614643,0.9939507849143854,6.309476269404518e-07,1.9048610152863307e-11,14.678839745239218,1593.441680793782,0.5390096561932066,1201.848511045221,2.9365175056570395e-09,0.2830006829827298,0.9933333333333333,1593.456128070333,0.5390123072409003,1201.8362364231132,7.326069008387924e-11,0.001782364208677203,0.287942638075257,68.81804577394043,62.1411996021989,0,0.16962684558116453,0.0009066629633837077,False,True,2.8588003978010974,15,1593.7145350925002,1592.2735801480922,0.07426788568148845,Meets this project's precautionary temperature-safety margin as-is.
