cluster_id,pcm_id,capsule_diameter_m,n_capsule,valid,reason,pcm_volume_fraction,useful_energy_kWh,gain_over_plain_tank_pct
1,PureTemp 60,0.04,26,True,,0.017425367251911385,1844.214803575856,0.04489194061617825
1,PureTemp 60,0.04,32,True,,0.02144660584850632,1844.0832554676763,0.03775572403104343
1,PureTemp 60,0.04,37,True,,0.024797638012335435,1843.9688100629933,0.031547294230777526
1,PureTemp 60,0.05,8,True,,0.010471975511965978,1844.3548156202687,0.05248730848032165
1,PureTemp 60,0.05,14,True,,0.01832595714594046,1844.0328805703755,0.0350229885887261
1,PureTemp 60,0.05,20,True,,0.026179938779914945,1843.6909324223775,0.016472998940329463
1,PureTemp 60,0.05,26,True,,0.034033920413889425,1843.3459689295566,-0.0022405670151127636
1,PureTemp 60,0.05,32,True,,0.04188790204786391,1842.9933461764301,-0.021369632221585992
1,PureTemp 60,0.05,37,True,,0.04843288674284265,1842.6902233826631,-0.03781342558467764
1,PureTemp 60,0.06,8,True,,0.018095573684677204,1842.7327350426267,-0.035507254731355874
1,PureTemp 60,0.06,14,True,,0.031667253948185106,1842.0450472339292,-0.07281291585967212
1,PureTemp 60,0.06,20,True,,0.045238934211693005,1841.3378571838134,-0.11117653381140177
1,PureTemp 60,0.06,26,True,,0.05881061447520091,1840.5915031300035,-0.15166471909116058
1,PureTemp 60,0.06,32,True,,0.07238229473870882,1839.8288939029062,-0.19303471437041606
1,PureTemp 60,0.06,37,True,,0.08369202829163205,1839.1808489849045,-0.2281898295275196
1,PureTemp 60,0.07,8,True,,0.028735100804834646,1841.967501293395,-0.07701962498387031
1,PureTemp 60,0.07,14,True,,0.050286426408460635,1840.6476209368057,-0.14862044252067677
1,PureTemp 60,0.07,20,True,,0.07183775201208661,1839.2985163396454,-0.22180661550756658
1,PureTemp 60,0.07,26,True,,0.09338907761571259,1837.8829036684067,-0.29860071587442116
1,PureTemp 60,0.07,32,True,,0.11494040321933859,1836.4175784305364,-0.3780916215955667
