draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,arrangement,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,n_shield_water_activations,n_shield_pcm_activations,mean_f_melt,min_f_melt,max_f_melt
19,0,RT44HC,True,1.0072260544664178,1.0678194456242984,0.8763714923964852,1.1641728315527335,0.4598302014197675,-0.575156851574345,rajasthan,0,RT44HC,single-layer,24.554843148425654,1725.5408951115462,0.5199621887050196,2922,1454.7695291302348,6.792827694269036e-07,1799.213079195581,74.02604375286778,35.48157396388157,35.489800866228414,0.0016974837327783754,1.225217894247827,72.13085901056766,62.14828221087696,0,0.0,322,8760,3568,42016,0.3593594498697872,0.0,1.0
20,0,RT44HC,True,0.9674257005553658,1.0330327551653518,-0.3434694549265922,1.1451494745358892,0.1639728369690554,1.9425693564382636,rajasthan,0,RT44HC,single-layer,27.07256935643826,1583.830440453771,0.5374030985002693,3125,1209.1878955760467,6.631122073233426e-07,1672.4570149609287,88.91603814950633,34.13599853399129,34.142621429936895,0.006006987378261658,1.225217894247827,72.12191579836549,62.15536568956831,0,0.0,323,8760,3609,44054,0.386291284478132,0.0,1.0
21,0,RT44HC,True,0.9144815052972218,0.9524711362412871,0.09573502268184075,0.8397810742388558,-0.33007884822481826,0.16032864846167216,rajasthan,0,RT44HC,single-layer,25.29032864846167,1465.2627763208925,0.5993632258599089,3176,844.320080765985,6.831014780130965e-07,1548.240155072142,83.24146910336336,30.855077304348537,30.86257446166492,0.00011975437213971477,1.225217894247827,71.1857972200005,62.091908761283236,0,0.0,297,8760,0,22616,0.42123274293704904,0.0,1.0
22,0,RT44HC,True,0.9048186099972729,1.0164684625749996,0.6674721599851039,0.9340819632699635,0.2969194507946511,-0.823734897876629,rajasthan,0,RT44HC,single-layer,24.30626510212337,1586.3895264426687,0.5756792075425436,3165,1044.3090055863856,6.704981744266615e-07,1666.754296338095,80.68601401196659,32.84714527114077,32.8553046620064,0.0002141991857610449,1.225217894247827,72.13246930794897,62.15204875880617,0,0.0,327,8760,4764,48334,0.38984932736478173,0.0,1.0
23,0,RT44HC,True,0.9842489103747063,0.9843834258889504,-1.4174957262810064,1.007368258518019,0.00225618679237527,-0.5872826216646807,rajasthan,0,RT44HC,single-layer,24.54271737833532,1516.5501342960029,0.5298786431817928,2816,1233.550775929578,6.696978765145747e-07,1601.0955495398446,84.90102549776066,33.89543219926628,33.90363742212052,0.0021276853612767666,1.225217894247827,72.11879757493412,62.150625826498406,0,0.0,318,8760,2137,37829,0.3514381716364463,0.0,1.0
24,0,RT44HC,True,0.9932587975800775,0.9440830073280239,-1.3537809545988966,0.8777916119510766,0.2800615218085223,1.4585460741095444,rajasthan,0,RT44HC,single-layer,26.588546074109544,1374.3939396878916,0.587013141788249,3196,849.8192929563306,6.533546318329737e-07,1470.5711880496044,96.40259293476808,34.46068864619414,34.46741654528759,0.0018720284211239959,1.225217894247827,72.10414555387662,62.13912860618878,0,0.0,325,8760,3201,44323,0.39771288979673414,0.0,1.0
25,0,RT44HC,True,0.970475159015124,1.0134026556572322,1.3426866060783667,1.1795759304812874,-0.43568585843452223,1.8828360887407958,rajasthan,0,RT44HC,single-layer,27.012836088740794,1639.422262370511,0.5315428085653395,2861,1265.52097341433,6.972079278989867e-07,1712.3740460299048,73.18957850036317,32.21056930588034,32.21717987510191,0.0029135406452772076,1.225217894247827,67.68253537294842,62.07838177795496,0,0.0,285,8760,0,12622,0.3981998885542981,0.0,1.0
26,0,RT44HC,True,0.9001777162479994,0.9321383677590088,-0.9675884419108969,0.858551047216648,-0.20623939921497036,-0.6548197401959328,rajasthan,0,RT44HC,single-layer,24.475180259804066,1438.4190547474489,0.571187834194399,2730,962.1070887284274,6.826384665395749e-07,1519.684626360951,81.57983463176673,29.018545729191324,29.026629110403785,0.00019122082159731191,1.225217894247827,69.45510074164083,62.07342676304488,0,0.0,273,8760,0,14730,0.37864076940328845,0.0,1.0
27,0,RT44HC,True,0.9293584354576265,0.9426344082753575,-0.6513970444288041,1.009946693674918,0.42233713676890405,1.2769387384980178,rajasthan,0,RT44HC,single-layer,26.406938738498017,1429.2450662287913,0.539910690416526,2942,1100.024446164176,6.663638909537437e-07,1515.2134077588687,86.24810353077642,32.35352787553301,32.36053146625635,0.0038856005878915847,1.225217894247827,72.10832283673618,62.13139477429344,0,0.0,321,8760,1639,37535,0.3700881319804483,0.0,1.0
28,0,RT44HC,True,0.9742623769705956,0.981374558590893,0.14676339549523854,0.910800328017567,-0.32819979842562275,-1.200295698963945,rajasthan,0,RT44HC,single-layer,23.929704301036054,1564.5443933621148,0.5687399627839005,2814,1053.7652367963994,6.951453304409649e-07,1639.5820813196203,75.3819902609494,31.529180917996552,31.537641793124003,8.346241872376953e-05,1.225217894247827,70.6374543334385,62.07779862149718,0,0.0,278,8760,0,17199,0.38433885441594123,0.0,1.0
29,0,RT44HC,True,0.9747721730804043,1.051296502573536,-1.427871037723769,1.0537470043587873,0.4131459329189173,1.6232910070906765,rajasthan,0,RT44HC,single-layer,26.753291007090674,1567.7929428286245,0.5605216228862406,3234,1075.893424574407,6.554894328251176e-07,1664.4970244366468,96.98318451869713,34.58223735365067,34.58904261991123,0.004494484692865077,1.225217894247827,72.1267383445635,62.16028807035246,0,0.0,327,8760,4909,48430,0.3994947877434576,0.0,1.0
30,0,RT44HC,True,0.986186415491122,1.0308183006483431,-0.6483171704391041,1.120453759128901,0.35904707929899804,0.36677640117701715,rajasthan,0,RT44HC,single-layer,25.496776401177016,1607.5437101511711,0.5242055304696488,2949,1323.8249743060674,6.712510098758659e-07,1691.4541208025682,84.24704897640389,34.43630350094104,34.44395270969283,0.003645437033085178,1.225217894247827,72.12775642299536,62.145889671856274,0,0.0,321,8760,2898,41356,0.3636164989638186,0.0,1.0
