case_id,lf_valid,lf_runtime_s,lf_useful_energy_kWh,lf_solar_fraction,lf_unmet_energy_kWh,lf_pump_energy_kWh
c0_baseline_noPCM,True,0.7623093128204346,1537.3712182492661,0.39010525042433675,2286.9565026887885,2.6620333466890173e-09
c0_RT42_lhs_000,True,0.9646437168121338,1536.5496233964568,0.39280717753412675,2276.8249352702715,2.5098300620950798e-08
c0_RT42_lhs_001,True,0.9922454357147217,1537.463562244337,0.3916522591526347,2281.1555974123307,5.438023530838509e-09
c0_RT42_lhs_002,True,0.9937663078308105,1537.6626249677963,0.39064018031289127,2284.9506461242527,2.2653007318688402e-09
c0_RT42_lhs_003,False,0.0,,,,
c0_RT42_lhs_004,False,0.0,,,,
c0_RT42_lhs_005,False,0.0,,,,
c0_RT42_lhs_006,True,0.9943411350250244,1536.9807927502077,0.39097960323391645,2283.6778929862066,2.9866611091708737e-09
c0_RT42_lhs_007,True,1.0470364093780518,1537.7486999732364,0.39075557593570676,2284.5179406940724,1.7679300627931848e-10
c0_RT42_bnd_dmin_fmin,False,0.0,,,,
c0_RT42_bnd_dmin_fmax,False,0.0,,,,
c0_RT42_bnd_dmax_fmin,True,1.0199987888336182,1534.6714848562574,0.3918485231094746,2280.419655460624,1.0592189833259861e-09
c0_RT42_bnd_dmax_fmax,True,1.020012378692627,1535.6893989461578,0.39226213264977894,2278.8687206010745,9.069135398867542e-08
c0_RT42_bnd_nmin,True,0.9925451278686523,1537.5312428623258,0.3903970352579458,2285.8623807553363,5.741457502007002e-10
c0_RT42_bnd_nmax,True,1.0247523784637451,1538.1349409427635,0.3914381863363626,2281.9583182417246,6.615978983026432e-09
c0_RT44HC_lhs_000,False,0.0,,,,
c0_RT44HC_lhs_001,True,0.9955587387084961,1538.2017417853585,0.39534211280246556,2267.319546512857,1.8224583357544245e-07
c0_RT44HC_lhs_002,True,1.0105721950531006,1538.570518690881,0.39349144067694486,2274.259115438068,8.06634411359749e-09
c0_RT44HC_lhs_003,True,0.9953658580780029,1538.1803367572309,0.39141439720044235,2282.0475216971145,3.239887128763901e-09
c0_RT44HC_lhs_004,False,0.0,,,,
c0_RT44HC_lhs_005,True,1.0454490184783936,1538.1005109910398,0.39400993950535657,2272.3148713400533,7.2532146852201646e-09
c0_RT44HC_lhs_006,False,0.0,,,,
c0_RT44HC_lhs_007,True,1.0614807605743408,1537.9050844780559,0.3910463414689094,2283.4276408884452,2.9174781718713903e-09
c0_RT44HC_bnd_dmin_fmin,False,0.0,,,,
c0_RT44HC_bnd_dmin_fmax,False,0.0,,,,
c0_RT44HC_bnd_dmax_fmin,True,1.002392292022705,1536.006020756344,0.3934310326309317,2274.485630871658,1.0599313336564582e-09
c0_RT44HC_bnd_dmax_fmax,True,1.0483763217926025,1537.2256285923581,0.39404892450249307,2272.168687112741,9.074054438721999e-08
c0_RT44HC_bnd_nmin,True,1.0108168125152588,1537.663865251801,0.3906019319182906,2285.094068271779,5.740710289352469e-10
c0_RT44HC_bnd_nmax,True,1.0140964984893799,1538.7545248950548,0.3923619477685234,2278.4944382596736,6.613825764585037e-09
c0_savE__OM42_lhs_000,False,0.0,,,,
c0_savE__OM42_lhs_001,True,0.9987707138061523,1537.871893709516,0.3910952569753683,2283.2442196741185,2.6256414475769015e-09
c0_savE__OM42_lhs_002,True,1.0116455554962158,1538.2166916216129,0.3923934342014601,2278.3763718185355,7.19424133100969e-09
c0_savE__OM42_lhs_003,True,1.0062534809112549,1537.4667639132967,0.3917539187840414,2280.774398598489,4.6884901393420246e-09
