draw,regime_id,pcm_id,valid,latent_heat_mult,annual_ghi_scale,annual_tamb_offset_C,demand_multiplier,timing_shift_hours,mains_delta_C,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,mean_f_melt,min_f_melt,max_f_melt
10,0,RT42,True,0.9020232832061246,1.0197786815388798,0.6848656202684793,1.0149743591966922,0.3715078060366036,-0.6503025617295286,uttarakhand,0,RT42,19.97969743827047,1607.3878148051494,0.4018641979599874,1366,2326.853269497494,8.815879559935284e-10,1692.0707699897919,85.32412757105743,9.301933684798101,9.306006630316926,0.0027140810147902113,0.49618403750283674,74.92220482402358,74.87814368507745,6002,0.0,281,8784,0.34710646268392137,0.0,1.0
11,0,RT42,True,0.9134935132391789,1.008326178381004,-0.1038906661511296,0.9952690275614118,0.2640444459233401,-0.4133846285244367,uttarakhand,0,RT42,20.216615371475562,1562.40283712814,0.40143468337894617,1334,2265.2970061681767,8.768773939069011e-10,1651.5401287675477,89.77845946089985,9.24459507516006,9.248609110310765,0.0035264022396706,0.49618403750283674,75.2247637040684,75.17812714842174,5965,0.0,281,8784,0.3447975180413661,0.0,1.0
12,0,RT42,True,1.0504365512131673,0.9544638661911995,-0.47783022507381956,1.1253630150837233,-0.08602037238041638,-1.4240229791090315,uttarakhand,0,RT42,19.205977020890966,1525.4976666216755,0.33689944268309446,597,2933.8474198511694,9.010788297945544e-10,1599.3631871753569,74.66442704088966,8.4404316283344,8.444728921058813,0.009795445382350774,0.49618403750283674,68.8034461812402,68.63628392395859,266,0.0,193,8784,0.24182201920994514,0.0,1.0
13,0,RT42,True,0.9058205572802017,1.0176285230644972,-0.3723552453170951,0.9866621382032511,0.39945807488591545,-1.357916332333855,uttarakhand,0,RT42,19.272083667666145,1588.0031128939697,0.40000457779616627,1285,2322.4617758765658,8.793113448692746e-10,1675.2754396773762,87.95004354067129,9.139704395113698,9.143969182322857,0.002521819119406779,0.49618403750283674,75.49089585994903,75.44763482864725,5561,0.0,277,8784,0.333700987126876,0.0,1.0
14,0,RT42,True,0.9600854441850354,1.0135702904114035,0.16916371523304818,0.819119279647695,0.13766575158358685,-4.68362436354397e-05,uttarakhand,0,RT42,20.629953163756362,1510.1659095068032,0.46628707565912264,1923,1639.3004959333664,8.674659027848265e-10,1610.327407279545,100.72191039944012,10.285137588170713,10.288958249294991,0.001114541357813005,0.49618403750283674,80.13515163905596,80.10086343146301,10852,0.0,316,8784,0.403926008090196,0.0,1.0
15,0,RT42,True,1.054544912688406,1.0178401052973087,0.01527173964042372,0.9280007133658924,0.3945622880493379,1.4211356708649712,uttarakhand,0,RT42,22.05113567086497,1516.3821836524555,0.4368638917535793,1730,1864.7684557549699,8.627585517152289e-10,1616.8595645320029,101.01889293261586,10.792745703785556,10.796259192367017,0.003920553441419737,0.49618403750283674,78.02785404450364,77.99195624616912,8823,0.0,309,8784,0.39559588747047486,0.0,1.0
16,0,RT42,True,0.9999334194716939,1.0248820211889669,0.9256642159612409,1.0825650839859864,-0.25762723119552977,0.7684833525142887,uttarakhand,0,RT42,21.398483352514287,1603.29907139415,0.3840794058929632,1093,2434.820039711721,8.961852397327129e-10,1687.3632425769924,84.7041776438636,9.601301126492197,9.60499144247227,0.0074024941933716875,0.49618403750283674,73.36742585325854,73.15812713712877,1905,0.0,267,8784,0.3465062187676446,0.0,1.0
17,0,RT42,True,0.962391242107807,1.0293079729326093,0.9694842686323477,1.07588985125486,-0.233560278086539,-1.8991864108155978,uttarakhand,0,RT42,18.7308135891844,1668.0839918675613,0.37332494443366726,925,2691.6951003639824,9.111100472166946e-10,1741.0793144405648,73.70336525291572,9.083861513053654,9.088259218206844,0.0025749982867420153,0.49618403750283674,71.02440921498204,70.89733239140486,1324,0.0,243,8784,0.3016195896416113,0.0,1.0
18,0,RT42,True,0.9016644983749538,1.0014674180953114,-0.24655275818946384,1.19255344409748,-0.13280534217037387,1.8151090614510377,uttarakhand,0,RT42,22.445109061451035,1541.3347707956468,0.351781761543428,871,2719.5488050943877,8.859709943357044e-10,1628.7482135095236,88.30633359967987,8.520524956263516,8.52396282009417,0.02643763111200301,0.49618403750283674,72.51963436987982,72.31667559723252,965,0.0,250,8784,0.3141328060374961,0.0,1.0
19,0,RT42,True,0.9409482268032529,0.9889733637003486,0.25864205330246137,0.8534586446740223,0.26513593816431036,-1.3252223663272353,uttarakhand,0,RT42,19.304777633672764,1515.2435617480326,0.4376224705586167,1519,1880.9631549468536,8.762223464183735e-10,1604.9992255171926,90.39018624605558,9.689641771155785,9.693836757839037,0.0008534314688155135,0.49618403750283674,77.62842797632717,77.58753344682708,7797,0.0,288,8784,0.36207585103182144,0.0,1.0
20,0,RT42,True,1.024264590201542,1.0055552896039166,-1.067577747778084,0.9569788295839298,0.4056138502095382,-0.188112438474481,uttarakhand,0,RT42,20.44188756152552,1517.74953269699,0.40783878073508095,1363,2138.5433221621643,8.68541593513642e-10,1613.4177986163595,96.30618911882104,9.95412388698359,9.958084057001326,0.0041038067040042436,0.49618403750283674,74.7374391332881,74.69690182945709,6181,0.0,280,8784,0.34653869770326606,0.0,1.0
21,0,RT42,True,1.0254757476798455,0.9900957080299456,-0.3023884958719595,0.8858816187200232,-0.3351919786375058,0.4391805260014592,uttarakhand,0,RT42,21.069180526001457,1473.9433870299517,0.4229492324404196,1286,1888.2066041109638,8.762287684523283e-10,1569.206415186038,95.83122669832706,9.772930729670064,9.776683312121076,0.0025482184911048197,0.49618403750283674,73.32374866695716,73.18420968544685,2391,0.0,273,8784,0.3711967853541918,0.0,1.0
22,0,RT42,True,1.0486741266636168,0.9600366853786247,-0.16629767976841694,1.1583070550667907,-0.3983869723018263,-1.2857153921247821,uttarakhand,0,RT42,19.344284607875217,1543.0625082217553,0.3326626749033136,579,3025.377944981209,9.034292943122153e-10,1615.1922243352317,72.94601596200988,8.468668074029024,8.472926692110658,0.011278885490514966,0.49618403750283674,68.80614994216675,68.59122799257894,156,0.0,194,8784,0.2401503201715669,0.0,1.0
23,0,RT42,True,0.9500374378323783,1.0060001291640268,-0.7448164830846286,0.9125197518110296,0.4206813888283951,-1.4729110636301654,uttarakhand,0,RT42,19.157088936369835,1537.9495548706327,0.4158951946206302,1366,2098.879364687989,8.760393184436953e-10,1629.0772183070592,91.79426079104657,9.513884872577426,9.518157254455808,0.0018129432391905506,0.49618403750283674,75.59724180591883,75.56020780391222,6390,0.0,281,8784,0.34216581988209704,0.0,1.0
24,0,RT42,True,0.9348695932165391,1.0067206034279939,0.35687748561246413,1.1267668799209867,-0.40280177888833446,0.7078209081858806,uttarakhand,0,RT42,21.33782090818588,1571.9799936194547,0.3648112422046986,942,2619.0581707515903,8.969783609566663e-10,1654.9100369035532,83.64920791017785,8.86147808430374,8.865200999011709,0.01191675450423284,0.49618403750283674,71.38983197271752,71.21594883766696,1152,0.0,255,8784,0.31768678615075246,0.0,1.0
25,0,RT42,True,0.997326367188861,1.0203667898401856,0.9202490402910052,0.8118393767823371,0.10420024947956252,-0.3781203289234796,uttarakhand,0,RT42,20.25187967107652,1540.116549127978,0.47298728570864546,1971,1624.9866514498642,8.73733808165228e-10,1636.605225299723,97.05578602831503,10.682250860086853,10.686149485152024,0.0005115272367636942,0.49618403750283674,80.58504897973337,80.54448522318836,12072,0.0,317,8784,0.4079816698925056,0.0,1.0
26,0,RT42,True,0.9512205890117458,0.9715895823784068,-0.29609368870715264,0.9627804889242642,0.04035406061015989,-1.9924343980977395,uttarakhand,0,RT42,18.63756560190226,1527.4860003625963,0.3889293202175884,1101,2355.7410826968635,8.807209813765774e-10,1609.2606440047964,82.47423833560755,8.963077094307106,8.967497310820985,0.0019650945357344326,0.49618403750283674,72.43445821725271,72.39202859423372,3644,0.0,253,8784,0.3046050271019998,0.0,1.0
27,0,RT42,True,0.9623044969764534,1.000268743469995,0.11769439009856471,1.1859728646547998,-0.3390731319055308,-0.4152730553985515,uttarakhand,0,RT42,20.21472694460145,1596.136204346164,0.3429023727006386,716,2963.5025179081285,9.035192027908575e-10,1672.415649639544,77.08988195013595,8.598431006594726,8.602456979818333,0.013457089824767869,0.49618403750283674,70.58619721611167,70.39280440532566,537,0.0,226,8784,0.2732439006278423,0.0,1.0
28,0,RT42,True,0.9023838588971405,1.0117377965156804,0.007988929650994167,0.8760116683510079,-0.2525409370268821,0.8409996331129079,uttarakhand,0,RT42,21.470999633112907,1500.932807186398,0.43612360564259456,1481,1799.1999192103362,8.768260176330103e-10,1598.9518384027801,98.56081788744018,9.264280454685881,9.267919889274413,0.0023313761721124033,0.49618403750283674,74.18128653961031,74.0926288682069,3553,0.0,283,8784,0.3940253035359187,0.0,1.0
29,0,RT42,True,1.021731801394452,0.9995818376484008,-0.2817420266195007,1.1654087260592667,-0.45857052557926303,1.771110756933738,uttarakhand,0,RT42,22.401110756933736,1531.731674265188,0.356707346971591,907,2641.663672547781,8.828819958848894e-10,1619.9448158377097,89.05008989309523,9.25645440109662,9.25989917278265,0.023040425697630065,0.49618403750283674,72.04466594026856,71.85032021460361,1045,0.0,251,8784,0.31834230947564146,0.0,1.0
30,0,RT42,True,0.907318857724594,0.9901055027021283,-0.3058556831070869,1.0561004261704616,-0.2525879389970612,-1.3604517337307875,uttarakhand,0,RT42,19.26954826626921,1563.0354083311247,0.3646110067452667,823,2632.7699535829693,8.976173533599258e-10,1641.8804088712623,79.56523783304398,8.320254582412362,8.324519644823878,0.005163229019350746,0.49618403750283674,69.98403497989845,69.8631403737846,695,0.0,230,8784,0.2860312780145082,0.0,1.0
31,0,RT42,True,1.026722435725286,0.990662719552517,-0.4925589198427773,1.0343430893162346,0.2739382868546174,1.6730440663845614,uttarakhand,0,RT42,22.30304406638456,1488.5993517039644,0.3947525873620603,1353,2213.750448201903,8.609892812928477e-10,1585.0335090792712,97.05177451080739,9.937153592196621,9.940642330156091,0.009124467386107345,0.49618403750283674,73.61021280566601,73.56729919664545,5483,0.0,284,8784,0.3556718231852304,0.0,1.0
32,0,RT42,True,0.9539646882178064,0.9989354410564092,-0.1670529725079882,0.9969422853925014,-0.39619673428414504,-1.5409714967064407,uttarakhand,0,RT42,19.08902850329356,1565.9960197960202,0.38229279947709927,950,2430.325249266351,8.957710185270152e-10,1646.878344600755,81.57153960751359,8.815389996388303,8.819690061910016,0.0028179379731992165,0.49618403750283674,70.52212170133438,70.386521217848,1058,0.0,237,8784,0.30727306510460456,0.0,1.0
