regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,predicted_feasible_proba,sim_mains_temp_C,sim_useful_energy_kWh,sim_solar_fraction,sim_delivery_temp_hours,sim_unmet_energy_kWh,sim_pump_energy_kWh,sim_residual_pct_of_collector,sim_pcm_mass_kg,sim_max_water_temp_C,sim_max_pcm_temp_C,sim_n_safety_violations,sim_mean_f_melt,surrogate_vs_sim_error_pct,large_surrogate_error,meets_temperature_safety,constraint_margin_C
0,PureTemp 58,0.04861754787787535,9,0.01792631837424901,True,0.024308773938937676,0.0108305442004245,0.9891694557995755,1.1324700780397051e-06,3.383503194708396e-11,16.96007799065835,1675.726878192316,0.40684288817655145,2317.3362291091657,2.8691985005159803e-09,0.510244665436874,0.9933333333333333,19.4,1675.6989100181509,0.4068906189565368,1153,2317.1560525824398,1.3548110708802862e-10,0.0002069558786693524,0.48195921691889027,75.01663342783796,74.65301448356234,650,0.027566685439248187,0.0016690453158348128,False,False,-9.653014483562345
0,PureTemp 58,0.0471519384050718,10,0.023415421373951976,True,0.0235759692025359,0.010978102251145186,0.9890218977488549,1.9425645349404905e-06,7.58099452195444e-11,21.485487785036828,1675.726878192316,0.4068429272812801,2317.3399531288132,2.8691985005159803e-09,0.49110817231008375,0.9966666666666667,19.4,1675.6899698201694,0.4068859645766614,1153,2317.17423628488,3.0355565564985844e-10,0.00020732420543216102,0.48852555017596083,75.01592841832166,74.74851819333692,730,0.02759255836669614,0.002202577613482266,False,False,-9.74851819333692
0,PureTemp 58,0.04788026784312207,10,0.029704257537966815,True,0.023940133921561035,0.011494718274369308,0.9885052817256307,3.249683977773606e-06,1.6088241632131938e-10,27.67699669972876,1675.6846059379207,0.40687049463649266,2317.344778248912,2.8691985005159803e-09,0.5040971709192055,0.9966666666666667,19.4,1675.64589314852,0.40687051198990276,1153,2317.2346063550226,6.442000086867483e-10,0.00020807249643613155,0.5115149632094342,75.00897838128705,74.7013288120069,1102,0.027515337190761213,0.0023103204298130457,False,False,-9.701328812006906
0,PureTemp 58,0.042672810180289414,13,0.01764801356946895,True,0.021336405090144707,0.010578539253621747,0.9894214607463783,1.087200910471268e-06,3.1978227367893224e-11,14.65516667453329,1675.6433761644205,0.40683007340909516,2317.3932911530187,2.8691985005159803e-09,0.46184880086822955,0.9966666666666667,19.4,1675.7335388030558,0.40689287320630074,1152,2317.1472456934384,1.2804792865384996e-10,0.0002069752327078913,0.47074499678616777,75.0384394422077,74.7912537412615,1294,0.027799835604951154,0.005380487801164466,False,False,-9.7912537412615
0,PureTemp 58,0.04121736964669916,11,0.02076171727934991,True,0.02060868482334958,0.008066072523245317,0.9919339274767547,1.1193802211873296e-06,3.8733759467312505e-11,16.65279880611065,1675.6323779803902,0.40683235242375837,2317.3675606471093,2.8691985005159803e-09,0.414433342853896,0.9933333333333333,19.4,1675.9527641307473,0.4069540848880373,1151,2316.9081042747425,1.5510342212925262e-10,0.00020338038527870452,0.35894022728441666,75.09760722065202,74.88065723513688,1401,0.02778344494614199,0.01911665753439374,False,False,-9.88065723513688
0,n-Octacosane (C28),0.047271992625329905,8,0.02834187101378697,True,0.023635996312664952,0.008849736353453565,0.9911502636465465,2.2470065074934355e-06,1.061406143375315e-10,26.072106146043946,1675.5373047487349,0.40674730712945356,2317.730632576385,2.8691985005159807e-09,0.44946614124507034,1.0,19.4,1675.7091120097334,0.4068135315334742,1151,2317.457217248919,4.2498996815747273e-10,0.00020704190239098627,0.40266300408213723,75.01702632057217,74.65313930878997,606,0.011231104771167413,0.010252809378860167,False,False,-9.653139308789974
0,n-Octacosane (C28),0.048558975234611786,9,0.02451209038136721,True,0.024279487617305893,0.010791446611203955,0.9892085533887961,2.0800573052912436e-06,8.497758777620348e-11,23.162933028055516,1675.5350740237627,0.4067388889502032,2317.742685299243,2.8691985005159807e-09,0.495248879607008,0.9966666666666667,19.4,1675.505645014508,0.4067347201915812,1153,2317.765116910796,3.4024790096700215e-10,0.00021048775712785976,0.49101082080978,74.96912612915936,74.4148996264507,533,0.011038673997558824,0.0017564255508355695,False,False,-9.414899626450705
0,n-Octacosane (C28),0.04610830260788626,10,0.017491324360462156,True,0.02305415130394313,0.010265167074051226,0.9897348329259488,1.0246568233414918e-06,2.9871008092044674e-11,15.694428917133495,1675.5350740237627,0.4067414803486201,2317.745090272981,2.8691985005159807e-09,0.4925034759842466,1.0,19.4,1675.5624630190905,0.406756559051234,1151,2317.6797969893055,1.1960310152565072e-10,0.00020958184299810087,0.4670651018693308,74.97720245505262,74.5375524368751,572,0.011217830338225716,0.0016346149983828442,False,False,-9.537552436875103
0,n-Octacosane (C28),0.04590462354391609,11,0.019107746187012456,True,0.022952311771958046,0.011142703993900886,0.9888572960060991,1.3310838795378925e-06,4.239002153972319e-11,17.069059140863338,1675.5329161586537,0.4067373607987659,2317.7321516405646,2.8691985005159807e-09,0.5059558092153982,1.0,19.4,1675.4727751128285,0.40672093109922447,1153,2317.818988051323,1.697278799941429e-10,0.00021119672563338785,0.5069930317224903,74.95042391557388,74.55893083831187,604,0.01127973406296102,0.0035894970493463153,False,False,-9.558930838311866
0,n-Octacosane (C28),0.04955884847499637,8,0.03015907689794245,True,0.024779424237498186,0.010197230241462355,0.9898027697585376,2.938418243031096e-06,1.4769996958315297e-10,29.08592906025158,1675.5316915063736,0.4067465776724032,2317.7216420165246,2.8691985005159807e-09,0.4678079331267377,1.0,19.4,1675.5664842098886,0.40675858225954775,1151,2317.671892731609,5.913906782106214e-10,0.0002093977281186913,0.46397397598653717,74.98735344882881,74.41880219716698,526,0.010979933962119518,0.0020764740667035685,False,False,-9.418802197166983
