case_id,lf_valid,lf_runtime_s,lf_useful_energy_kWh,lf_solar_fraction,lf_unmet_energy_kWh,lf_pump_energy_kWh
c1_RT64HC_lhs_000,True,11.192362785339355,1805.825990508289,0.5275066143465337,1243.2909958268865,2.6546268200780832e-09
c1_RT64HC_lhs_001,False,9.72747802734375e-05,,,,
c1_RT64HC_lhs_002,True,11.77701187133789,1803.199390547643,0.5252222619465303,1249.3019048818185,3.5450487638532597e-09
c1_RT64HC_lhs_003,True,10.202635288238525,1803.8390056359235,0.5257350023286361,1247.9527103330156,2.8712837277718166e-08
c1_RT64HC_lhs_004,True,9.930721998214722,1806.7445051255709,0.528278629146498,1241.2595619939807,5.551327464013187e-09
c1_RT64HC_lhs_005,False,2.765655517578125e-05,,,,
c1_RT64HC_lhs_006,True,11.840119361877441,1808.358410402052,0.5297239821237265,1237.4563461248433,7.20345446684443e-11
c1_RT64HC_lhs_007,False,2.2411346435546875e-05,,,,
c1_RT64HC_bnd_dmin_fmin,False,6.67572021484375e-06,,,,
c1_RT64HC_bnd_dmin_fmax,False,4.76837158203125e-06,,,,
c1_RT64HC_bnd_dmax_fmin,True,13.125374794006348,1799.9804989923257,0.5225686343729762,1256.2845026676368,6.414161893903223e-10
c1_RT64HC_bnd_dmax_fmax,True,21.14019012451172,1800.0834453380148,0.5225913389227199,1256.2247592656809,5.960283661314224e-08
c1_RT64HC_bnd_nmin,True,15.745778799057007,1808.796993749117,0.5301165079925987,1236.4234768970061,5.955284856645748e-10
c1_RT64HC_bnd_nmax,True,15.800246715545654,1806.499337726015,0.5280613303929802,1241.8313490112305,2.019639041362893e-09
c1_n_Hexacosane__C26__lhs_000,False,2.1696090698242188e-05,,,,
c1_n_Hexacosane__C26__lhs_001,True,17.151262998580933,1807.8777227200894,0.5303943237242243,1235.692449102508,2.928351814457063e-09
c1_n_Hexacosane__C26__lhs_002,True,16.942462921142578,1805.8662911632855,0.5296114325330347,1237.7525024244655,7.698265676451271e-10
c1_n_Hexacosane__C26__lhs_003,False,2.4080276489257812e-05,,,,
c1_n_Hexacosane__C26__lhs_004,True,9.379145383834839,1808.83795341199,0.530710680594328,1234.8600064482605,2.995420871044238e-10
c1_n_Hexacosane__C26__lhs_005,True,8.454982280731201,1801.467537548144,0.5275927637305422,1243.0643074611103,7.365624913865127e-08
c1_n_Hexacosane__C26__lhs_006,True,6.432351350784302,1806.554147620563,0.5297842989321127,1237.2976320622965,1.8916628269032205e-10
c1_n_Hexacosane__C26__lhs_007,True,5.554983139038086,1809.5219350406333,0.5309626998610435,1234.196857937411,2.605404081407499e-10
c1_n_Hexacosane__C26__bnd_dmin_fmin,False,5.91278076171875e-05,,,,
c1_n_Hexacosane__C26__bnd_dmin_fmax,False,1.4781951904296875e-05,,,,
c1_n_Hexacosane__C26__bnd_dmax_fmin,True,6.977829217910767,1802.3417148267063,0.5275247560283007,1243.2432588843708,6.408802914962688e-10
c1_n_Hexacosane__C26__bnd_dmax_fmax,True,6.226531982421875,1802.6409893500604,0.5279189020421808,1242.2061265033099,5.95455716796822e-08
c1_n_Hexacosane__C26__bnd_nmin,True,6.815911531448364,1809.1320293275826,0.5308476057557713,1234.499709721378,5.954786714876059e-10
c1_n_Hexacosane__C26__bnd_nmax,True,6.212318658828735,1807.5272653458505,0.5302354536461121,1236.110490378049,2.018668121939961e-09
c2_baseline_noPCM,True,5.084924697875977,1749.798578875721,0.5330281915884771,1136.649422171359,2.713885889861092e-09
c2_n_Octacosane__C28__lhs_000,True,6.343195199966431,1748.5354371122592,0.5320226622941178,1139.096966692939,7.964038121245021e-10
c2_n_Octacosane__C28__lhs_001,False,2.1457672119140625e-05,,,,
