regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,arrangement,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,predicted_feasible_proba,sim_mains_temp_C,sim_useful_energy_kWh,sim_solar_fraction,sim_delivery_temp_hours,sim_unmet_energy_kWh,sim_pump_energy_kWh,sim_residual_pct_of_collector,sim_pcm_mass_kg,sim_max_water_temp_C,sim_max_pcm_temp_C,sim_n_safety_violations,sim_mean_f_melt,surrogate_vs_sim_error_pct,large_surrogate_error,meets_temperature_safety,constraint_margin_C
0,RT57HC,0.04097017799017234,16,0.03513238773346294,radial,True,0.02048508899508617,0.011522644224509056,0.5955182925923577,0.001596573550790246,9.34857350522577e-08,28.010393307254496,1756.2895487046196,0.5606654769033491,927.4877979418333,3.8034667865723675e-07,0.7172997990678236,0.9233333333333333,28.463,1756.3886739439697,0.5606814864401823,4602,927.5456547639468,3.6187029625806946e-07,4.384577692577534e-05,0.5185189901029076,71.95508858841576,71.9307976125369,8796,0.21002936922574605,0.005643696114681812,False,False,-6.930797612536907
0,RT57HC,0.041007352004679115,24,0.034725439567375775,radial,True,0.020503676002339558,0.01733105650851717,0.5954432315426199,0.001570069686253535,9.086893334427629e-08,27.711061824704803,1756.284535180756,0.5607445189230449,927.3099882728721,3.726888474509426e-07,0.8120094551687348,0.9233333333333333,28.463,1756.3128594272234,0.5609737919241398,4607,926.9285018938995,3.516703444536285e-07,4.755517927468832e-05,0.7798975428832727,71.86017277042872,71.8345802593769,8535,0.2102941127906546,0.0016127107602416889,False,False,-6.8345802593769065
0,RT57HC,0.04219910582842135,11,0.03813575124759597,radial,True,0.021099552914210676,0.008656275080433063,0.5930976290231272,0.001805935363611684,1.1478450299321991e-07,31.31693449611412,1756.2610401752409,0.5606720466348228,927.4351819258385,4.5247262642216707e-07,0.7185969780385616,0.9333333333333333,28.463,1756.4260444040058,0.5605421763293383,4599,927.8397841575182,4.4436110144139815e-07,4.2117453413089934e-05,0.38953237861948786,72.0006983369346,71.97507467423821,8734,0.20960307615389842,0.00939431690224783,False,False,-6.975074674238215
0,RT57HC,0.04162114831902508,11,0.041652595606617084,radial,True,0.02081057415951254,0.00830545591858559,0.5942206417616438,0.0020545553005111615,1.426292684727051e-07,33.73648388839851,1756.2516919632337,0.5606618254416094,927.4216837660879,5.143269803363133e-07,0.7082416288382286,0.9266666666666666,28.463,1756.4311539949447,0.5605173887120691,4599,927.8921189578517,5.521555365373517e-07,4.1918880602601304e-05,0.3737455163363515,72.00715624604553,71.98347343941205,8902,0.2097183198407683,0.010217424765142334,False,False,-6.983473439412052
0,RT57HC,0.04091587532829531,27,0.04260078973073078,radial,True,0.020457937664147656,0.019367248367724767,0.5956281511257546,0.0021194548701847704,1.5048408544752451e-07,33.91979242579468,1756.2433360901277,0.5608390976125285,927.0162435648496,5.372869190613505e-07,0.8941240519563106,0.93,28.463,1756.2874958215898,0.5610589675953463,4607,926.7486680802068,5.823462399441364e-07,4.894117571691974e-05,0.8715261765476146,71.82872251605355,71.80464035976114,8564,0.21041541810963266,0.002514379426325161,False,False,-6.804640359761137
0,RT57HC,0.04005360472410553,23,0.040053287484483946,single-layer,True,0.020026802362052766,0.015476803789855869,0.5784055477285004,0.0022795685426340922,1.5217369029784898e-07,31.219321816843394,1756.2380662590149,0.5611367202405877,926.4845431135786,5.484702449197352e-07,0.8266404676048448,0.9433333333333334,28.463,1756.3433963296993,0.5608541894153998,4606,927.1810220674329,5.889586789686222e-07,4.635134784889458e-05,0.696456170543514,71.8955210299813,71.86892470844835,11044,0.21036642956973528,0.005997122823733876,False,False,-6.868924708448347
0,RT57HC,0.04069334760759308,17,0.04255334566059404,single-layer,True,0.02034667380379654,0.011996313151432653,0.5770169958293986,0.0024990948154469525,1.7724140920052107e-07,33.69774337393443,1756.237219486339,0.5611130188916705,926.4953468039979,6.508727842587331e-07,0.7912812144229945,0.93,28.463,1756.3826158091351,0.5606940896155972,4602,927.5190453217505,6.860621080384374e-07,4.414372088737557e-05,0.5398340918144694,71.9487005987461,71.92638636336822,8916,0.21008554773163743,0.00827816908955102,False,False,-6.926386363368223
0,RT57HC,0.043169423010329805,21,0.04156899941650727,single-layer,True,0.021584711505164902,0.0176919883549643,0.5719800488422311,0.0024376582992358575,1.6888502736429912e-07,34.92122775767303,1756.2207902678979,0.5612407812645109,926.30201562294,6.183094693777351e-07,0.8870012037757389,0.9733333333333334,28.463,1756.3016964136555,0.5610176278413275,4607,926.835949876957,6.535897471504244e-07,4.7765376203058466e-05,0.7961394759733935,71.85016191573659,71.82119966776084,8232,0.20972489865006894,0.004606620031330043,False,False,-6.821199667760837
0,RT57HC,0.04355219955913471,14,0.032438735968973516,single-layer,True,0.021776099779567355,0.012111193255917564,0.5712459009894629,0.0017000576843667432,9.19128705919955e-08,27.49271977754873,1756.2148189242203,0.5611383607744258,926.6341299572136,3.7587551535900346e-07,0.8065951303167148,0.97,28.463,1756.3767772623187,0.5607434962833742,4602,927.4147316208742,3.5576919070869064e-07,4.4175590346073976e-05,0.5450036965162904,71.9405911737952,71.9098234317294,8244,0.2093287805921333,0.009221161438428691,False,False,-6.909823431729393
0,RT57HC,0.042428407098570056,13,0.04945834004587378,radial,True,0.021214203549285028,0.010397816577130693,0.5926594372050327,0.0026735982233088438,2.2038621679075464e-07,40.835695109065966,1756.1563974826472,0.5608625241538305,927.106950245229,8.426299665921963e-07,0.7426361902492074,0.9233333333333333,28.463,1756.4013450043105,0.5606261929865892,4601,927.6623974029073,8.531181061161704e-07,4.3155976847122576e-05,0.46790174597088124,71.97282567003185,71.94837333131338,8764,0.2096067637104565,0.01394598804880404,False,False,-6.948373331313377
