regime_id,pcm_id,capsule_diameter_m,n_capsule,flow_rate_kg_s,arrangement,valid,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,pred_useful_energy_kWh,pred_solar_fraction,pred_unmet_energy_kWh,pred_pump_energy_kWh,pred_pcm_mass_kg,predicted_feasible_proba,sim_mains_temp_C,sim_useful_energy_kWh,sim_solar_fraction,sim_delivery_temp_hours,sim_unmet_energy_kWh,sim_pump_energy_kWh,sim_residual_pct_of_collector,sim_pcm_mass_kg,sim_max_water_temp_C,sim_max_pcm_temp_C,sim_n_safety_violations,sim_mean_f_melt,surrogate_vs_sim_error_pct,large_surrogate_error,meets_temperature_safety,constraint_margin_C,selection_rule_pool_size,best_useful_energy_in_regime_kWh,arrangement_rationale,plain_tank_useful_energy_kWh,pcm_vs_plain_tank_pct,deployment_note
0,RT57HC,0.042043793688977066,20,0.027359791274545575,radial,True,0.021021896844488533,0.015565543969508258,0.593396782091585,0.0011221960631924467,5.117175009677017e-08,22.385065286512553,1756.041667536594,0.5608325687029327,927.1728417642558,2.3382742713360135e-07,0.7805275303527389,0.93,28.463,1756.3332103159428,0.5609159159583526,4606,927.0506970642014,1.9805030868778446e-07,4.636630563054379e-05,0.7004494786278717,71.88538624224675,71.8556222637085,8269,0.20992485494910504,0.016599514126150884,False,False,-6.855622263708497,60,1756.4311539949447,arrangements tied within noise in this regime (margin -0.00% is inside the 0.03% surrogate-vs-sim noise band) -- arrangement not decisive here; next-best was single-layer,1754.6844647566022,0.0939625096395477,"Optimal PCM design per Objective 2's search, but exceeds the precautionary temperature-safety margin under nominal operation -- requires Objective 3's active bypass/discharge control before hardware deployment (see OBJECTIVE3_INPUTS_AND_NEXT_STEPS.md). Not a disqualification of the design; a specified precondition for deploying it."
1,n-Hexacosane (C26),0.044038495766859836,26,0.02186289667603649,single-layer,True,0.022019247883429918,0.023254092448832937,0.5703292639638138,0.0009862169482953076,3.593593206789388e-08,18.736301559929693,1623.4068070909611,0.5087393279265965,1318.8325616081922,1.6141440600629333e-07,0.9146715932871358,0.9333333333333333,23.969,1623.2152282678064,0.5086010751056365,3394,1319.450763321879,1.4172682408412774e-07,7.047232999923094e-08,0.8952825592800682,64.92725786815603,64.87641315875564,0,0.039348840986287256,0.011802428896576758,False,True,0.12358684124436081,60,1625.2276326316544,only arrangement=single-layer was simulator-confirmed for this regime/PCM pool -- no other arrangement to compare.,1623.961441665082,-0.045950191804461075,Meets this project's precautionary temperature-safety margin as-is.
2,n-Pentacosane (C25),0.04592361548340101,10,0.011867287534880125,single-layer,True,0.022961807741700504,0.010142308907224132,0.5669368747629692,0.00045123951538632333,8.924981793649105e-09,10.605501902949053,1633.4296177249328,0.5355181042013348,1021.8587348620517,6.164398794174487e-08,0.6724457017082595,0.9522222222222223,27.768,1633.981208321207,0.5340595138149673,4085,1025.0975553446353,3.5106663801416855e-08,0.00010763711101361972,0.4061994717343265,71.29884332486068,71.28948577611864,4115,0.21587465009822937,0.033757462660236284,False,False,-6.289485776118639,60,1634.3199998786379,arrangements tied within noise in this regime (margin -0.00% is inside the 0.03% surrogate-vs-sim noise band) -- arrangement not decisive here; next-best was radial,1632.7498160795021,0.07541830533851938,"Optimal PCM design per Objective 2's search, but exceeds the precautionary temperature-safety margin under nominal operation -- requires Objective 3's active bypass/discharge control before hardware deployment (see OBJECTIVE3_INPUTS_AND_NEXT_STEPS.md). Not a disqualification of the design; a specified precondition for deploying it."
