regime_id,pcm_id,n_draws,p_meets_delivery_temp,p_meets_annual_demand,p_temperature_violation,p_exceeds_max_safe_temp,useful_energy_p05_kWh,useful_energy_p50_kWh,useful_energy_p95_kWh,solar_fraction_p05,solar_fraction_p95,pump_energy_p05_kWh,pump_energy_p95_kWh,pcm_mass_p05_kg,pcm_mass_p95_kg,max_water_temp_p95_C,robust_per_framework_rule
0,RT57HC,120,1.0,1.0,1.0,1.0,1662.7336974769416,1755.5088692877655,1873.9558172298318,0.5119977543223243,0.6612789416053647,1.9005793873730172e-07,2.014894767255486e-07,0.7004494786278685,0.7004494786278685,79.58452802924322,False
1,n-Hexacosane (C26),120,0.9916666666666667,0.7166666666666667,0.8083333333333333,0.8083333333333333,1524.6346256147092,1632.042536443049,1732.392748255957,0.4709822657871842,0.6050686054330124,1.3575744152401294e-07,1.4297312712815678e-07,0.8952825592800662,0.8952825592800662,75.65942474515589,False
2,n-Pentacosane (C25),120,1.0,0.95,1.0,1.0,1516.8410112996485,1628.1176438006682,1726.0128277328165,0.5005892499175899,0.6314588225144648,3.310888100176373e-08,3.557618602070538e-08,0.4061994717343264,0.4061994717343264,76.37531656549369,False
